window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.49113607505999e-14,0,,177,100
1,5,805,3.751259946001818e-13,0,,178,100
2,11,811,1.890358421035212e-12,0,,178,100
3,15,815,8.740224034776063e-11,0,,178,100
4,21,821,1.6935872597756617e-13,0,,177,100
5,27,827,2.3514601883121608e-11,0,,178,100
6,31,831,3.895448219804833e-14,0,,178,100
7,35,835,1.0743269070968287e-13,0,,178,100
8,43,843,3.0970238926349526e-10,0,,180,100
9,51,851,6.791481575461888e-10,0,,181,100
10,57,857,5.577691079712625e-10,0,,180,100
11,60,860,1.677969615478159e-10,0,,179,100
12,65,865,6.176650412652717e-12,0,,179,100
13,76,876,2.447870775551939e-10,0,,180,100
14,78,878,8.955781319873094e-11,0,,179,100
15,82,882,1.1749929784134213e-10,0,,180,100
16,90,890,2.0421518023194322e-11,0,,181,100
17,100,900,3.890436994368183e-09,0,,182,100
18,103,903,3.336038947418528e-11,0,,182,100
19,112,912,1.3180624538380943e-11,0,,181,100
20,116,916,2.7780666646186215e-11,0,,183,100
21,126,926,5.013842321006935e-12,0,,184,100
22,129,929,1.133890674688498e-11,0,,182,100
23,133,933,1.9461917415528356e-11,0,,183,100
24,145,945,2.7594614074372555e-11,0,,184,100
25,150,950,1.9625317743146594e-12,0,,184,100
26,154,954,1.4895218423604843e-11,0,,183,100
27,158,958,3.2586333668568844e-14,0,,183,100
28,162,962,1.5062068842513523e-14,0,,183,100
29,170,970,2.537224365376976e-16,0,,183,100
30,178,978,8.221118712980194e-14,0,,181,100
31,182,982,1.112827158584411e-14,0,,180,100
32,185,985,2.636900258597031e-13,0,,180,100
33,189,989,2.9589303139697627e-13,0,,180,100
34,197,997,4.889436415886797e-13,0,,180,100
35,200,1000,1.3612322777116645e-13,0,,180,100
36,202,1002,1.2634142947169036e-13,0,,180,100
37,208,1008,2.5225644910762665e-14,0,,181,100
38,214,1014,1.3940960348465847e-15,0,,181,100
39,219,1019,2.9552845078405193e-13,0,,180,100
40,227,1027,2.0224894760139074e-13,0,,181,100
41,235,1035,3.697756438986835e-14,0,,182,100
42,240,1040,2.2362421513547823e-14,0,,182,100
43,248,1048,1.464131844382159e-15,0,,182,100
44,251,1051,1.2018966767408731e-15,0,,182,100
45,255,1055,8.78344157399971e-17,0,,182,100
46,262,1062,2.003213648340104e-16,0,,182,100
47,265,1065,5.896633736997745e-17,0,,182,100
48,275,1075,3.1004503855834092e-15,0,,183,100
49,279,1079,2.8164229436955933e-16,0,,182,100
50,282,1082,2.0642404713113569e-16,0,,183,100
51,293,1093,3.9124600141783017e-13,0,,180,100
52,297,1097,7.766770660395926e-16,0,,181,100
53,302,1102,7.455105276966311e-16,0,,182,100
54,310,1110,8.433748901154205e-19,0,,180,100
55,313,1113,2.064952841430281e-17,0,,180,100
56,317,1117,2.785934472974032e-17,0,,180,100
57,321,1121,6.294468580125639e-17,0,,179,100
58,324,1124,3.2611989127554645e-16,0,,179,100
59,326,1126,3.8862620346743004e-15,0,,178,100
60,332,1132,1.450437170051338e-16,0,,178,100
61,345,1145,1.4899171239808026e-13,0,,178,100
62,348,1148,5.031448647337348e-15,0,,178,100
63,353,1153,7.03565770353984e-15,0,,177,100
64,358,1158,1.3023806151841372e-12,0,,176,100
65,361,1161,3.6338604689261615e-16,0,,176,100
66,366,1166,3.680592288145913e-14,0,,175,100
67,371,1171,2.8282578903389997e-16,0,,176,100
68,374,1174,2.639698673865364e-17,0,,177,100
69,383,1183,4.843416909186257e-13,0,,176,100
70,385,1185,7.204558022609585e-15,0,,176,100
71,393,1193,5.868837106726725e-13,0,,176,100
72,396,1196,2.2558024679496254e-12,0,,176,100
73,401,1201,4.429564072140424e-14,0,,176,100
74,408,1208,2.7506812211805174e-12,0,,174,100
75,411,1211,4.491104749497905e-14,0,,174,100
76,413,1213,3.159541005259761e-14,0,,174,100
77,419,1219,9.971281650182814e-14,0,,176,100
78,427,1227,4.599410490955555e-13,0,,174,100
79,433,1233,2.995285683605154e-13,0,,174,100
80,437,1237,1.184216739864008e-11,0,,174,100
81,443,1243,5.388661929885953e-13,0,,174,100
82,447,1247,3.338701931933007e-13,0,,174,100
83,452,1252,4.941769859544217e-13,0,,174,100
84,457,1257,1.9220528569805317e-11,0,,173,100
85,463,1263,2.004698013636993e-11,0,,175,100
86,469,1269,1.6437768327148687e-10,0,,174,100
87,474,1274,1.2477078786906276e-11,0,,173,100
88,479,1279,1.9074541964301743e-13,0,,173,100
89,486,1286,1.989914358652734e-13,0,,174,100
90,492,1292,3.7366798107639573e-13,0,,174,100
91,498,1298,8.468952280388568e-13,0,,174,100
92,501,1301,5.999020361706424e-13,0,,173,100
93,504,1304,3.9859064123971625e-13,0,,174,100
94,515,1315,4.633177314521273e-12,0,,174,100
95,523,1323,4.932209785356949e-12,0,,176,100
96,527,1327,5.477650399171193e-14,0,,175,100
97,534,1334,1.9994728859080765e-14,0,,176,100
98,539,1339,1.4879307462709409e-12,0,,177,100
99,542,1342,3.334511535604548e-13,0,,176,100
100,549,1349,2.0876222784342102e-13,0,,177,100
101,552,1352,5.838450251130047e-14,0,,176,100
102,559,1359,7.761665963636909e-15,0,,173,100
103,564,1364,5.081609277608761e-16,0,,172,100
104,567,1367,7.111718562829222e-13,0,,172,100
105,569,1369,7.029703980831989e-13,0,,173,100
106,576,1376,8.357118609630382e-15,0,,171,100
107,583,1383,4.871100183267337e-13,0,,171,100
108,586,1386,6.066873494839416e-12,0,,171,100
109,590,1390,1.282846663004046e-14,0,,170,100
110,594,1394,3.723985392750679e-14,0,,172,100
111,606,1406,1.1717153567741354e-12,0,,172,100
112,610,1410,2.514444208635847e-13,0,,172,100
113,614,1414,1.394808222139511e-13,0,,173,100
114,628,1428,1.6351613873604948e-14,0,,172,100
