window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.45380552564853177,1,,153,100
1,12,812,0.1417661859264095,1,,152,100
2,15,815,0.029564092612263938,1,,152,100
3,22,822,0.05101232619146568,1,,154,100
4,31,831,0.07138990777181292,1,,152,100
5,36,836,0.03770175439093652,1,,152,100
6,39,839,0.04062926235544148,1,,151,100
7,47,847,0.011437862046451426,1,,151,100
8,50,850,0.03247954928666141,1,,151,100
9,54,854,0.02492103325298221,1,,151,100
10,61,861,0.018340175940422507,1,,153,100
11,71,871,0.04506051556316257,1,,152,100
12,73,873,0.06896833548289745,1,,152,100
13,78,878,0.034270171199575275,1,,151,100
14,81,881,0.039683908945700015,1,,151,100
15,86,886,0.03599131938585337,1,,151,100
16,95,895,0.031078007655413006,1,,152,100
17,99,899,0.04341635907402926,1,,152,100
18,110,910,0.034499213713180266,1,,153,100
19,124,924,0.015647672338843663,1,,155,100
20,130,930,0.025999931001277305,1,,154,100
21,135,935,0.025971615177502252,1,,154,100
22,148,948,0.018803770354610328,1,,155,100
23,151,951,0.025206248736962998,1,,155,100
24,156,956,0.02601184245075294,1,,154,100
25,159,959,0.009165844523220631,1,,153,100
26,163,963,0.012543709436946802,1,,154,100
27,172,972,0.014645538631640292,1,,155,100
28,180,980,0.008916143593424802,1,,155,100
29,193,993,0.1317390773469574,1,,156,100
30,203,1003,0.4344460993019407,1,,157,100
31,211,1011,0.28048072191316425,1,,158,100
32,222,1022,0.42090971548288825,1,,157,100
33,226,1026,0.3292277059903438,1,,157,100
34,233,1033,0.3890375437079125,1,,156,100
35,236,1036,0.3910673738578537,1,,155,100
36,241,1041,0.2984193739865721,1,,153,100
37,247,1047,0.21218705388422407,1,,151,100
38,255,1055,0.3167348706617784,1,,149,100
39,262,1062,0.30532390208266197,1,,147,100
40,271,1071,0.13722121884810573,1,,146,100
41,283,1083,0.05882403335272735,1,,145,100
42,295,1095,0.08386359340237325,1,,141,100
43,302,1102,0.07019297149442802,1,,139,100
44,307,1107,0.03969359633606188,1,,139,100
45,314,1114,0.07048737050779688,1,,137,100
46,317,1117,0.09541624748720241,1,,136,100
47,321,1121,0.03385248617192806,1,,135,100
48,331,1131,0.12576072395911225,1,,133,100
49,335,1135,0.2474615807158965,1,,132,100
50,338,1138,0.15172374435875277,1,,132,100
51,345,1145,0.18244749426494158,1,,130,100
52,353,1153,0.37812609583352924,1,,129,100
53,356,1156,0.23346712852982582,1,,129,100
54,361,1161,0.26830749307199525,1,,127,100
55,365,1165,0.2035168613927497,1,,126,100
56,374,1174,0.26643932016904465,1,,125,100
57,377,1177,0.18075319804358247,1,,126,100
58,387,1187,0.4307979608571128,1,,123,100
59,390,1190,0.1910454437517111,1,,122,100
60,393,1193,0.4317514137135685,1,,121,100
61,397,1197,0.3146460088835748,1,,119,100
62,405,1205,0.42846488481722317,1,,118,100
63,408,1208,0.33406614516920924,1,,117,100
64,412,1212,0.4393817914205558,1,,116,100
65,422,1222,0.42540530256422826,1,,115,100
66,435,1235,0.5572194480943735,1,,111,100
67,439,1239,0.4679749030866929,1,,110,100
68,445,1245,0.3787460862711611,1,,109,100
69,455,1255,0.4482897580970002,1,,108,100
70,462,1262,0.48560816855516264,1,,107,100
71,466,1266,0.5327391936969027,1,,106,100
72,471,1271,0.39946957001266165,1,,105,100
73,482,1282,0.5027090032083884,1,,104,100
74,489,1289,0.56491086711358,1,,103,100
75,495,1295,0.4692960245208947,1,,102,100
76,498,1298,0.5414289887736953,1,,101,100
77,507,1307,0.4646626703024766,1,,100,100
