window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,7.945883814511497e-13,0,,182,100
1,10,810,1.0983053382818859e-17,0,,184,100
2,13,813,3.086805028892869e-19,0,,184,100
3,20,820,7.999739889812145e-19,0,,185,100
4,25,825,7.871233518788658e-18,0,,185,100
5,31,831,6.226267791280239e-16,0,,181,100
6,40,840,8.811946785136655e-18,0,,180,100
7,43,843,7.824048573557574e-17,0,,179,100
8,50,850,1.5826992443479004e-19,0,,178,100
9,55,855,1.7062340741300602e-21,0,,177,100
10,65,865,6.316399338399772e-17,0,,174,100
11,72,872,4.872084199178475e-16,0,,173,100
12,75,875,1.2752535923450212e-16,0,,172,100
13,82,882,1.2545949152622064e-15,0,,171,100
14,87,887,4.914641880505305e-17,0,,170,100
15,96,896,1.0024388773729709e-17,0,,167,100
16,104,904,2.3642378448208267e-15,0,,166,100
17,107,907,2.8550935973636977e-19,0,,165,100
18,114,914,1.0049721686842532e-19,0,,164,100
19,119,919,2.3107220546118568e-17,0,,163,100
20,132,932,4.555291768795267e-14,0,,160,100
21,137,937,4.925449618615514e-16,0,,159,100
22,140,940,3.68506181050664e-16,0,,158,100
23,147,947,4.113351664694837e-15,0,,157,100
24,152,952,3.475828077543784e-15,0,,156,100
25,160,960,1.5800192138011676e-14,0,,153,100
26,167,967,6.192449633439192e-14,0,,152,100
27,170,970,5.465140354810529e-21,0,,151,100
28,177,977,7.588980978774614e-19,0,,150,100
29,182,982,5.201486380639268e-19,0,,150,100
30,189,989,3.2585278734751975e-17,0,,146,100
31,201,1001,7.392357951806746e-20,0,,144,100
32,209,1009,1.3866394943914543e-18,0,,141,100
33,217,1017,1.3624836865243031e-18,0,,140,100
34,223,1023,7.895136965060492e-22,0,,139,100
35,230,1030,1.8146220052750078e-16,0,,137,100
36,238,1038,6.633554546094031e-20,0,,136,100
37,245,1045,7.740834767937502e-22,0,,135,100
38,248,1048,7.453664312351335e-21,0,,134,100
39,254,1054,1.0831446715732584e-18,0,,133,100
40,258,1058,2.288037836120132e-21,0,,132,100
41,265,1065,2.462343748788998e-18,0,,129,100
42,274,1074,6.809241654204555e-19,0,,130,100
43,287,1087,4.366452738927295e-18,0,,127,100
44,293,1093,8.545601295492955e-20,0,,127,100
45,301,1101,1.1230156494051125e-17,0,,123,100
46,308,1108,4.950175004928523e-20,0,,122,100
47,315,1115,2.964127562056766e-20,0,,121,100
48,321,1121,1.5607717923198458e-20,0,,120,100
49,326,1126,4.808135603228299e-21,0,,120,100
50,336,1136,2.0034636521987696e-18,0,,116,100
51,343,1143,8.455161839119475e-19,0,,116,100
52,354,1154,8.617820109282504e-23,0,,115,100
53,364,1164,1.410765957683032e-17,0,,111,100
54,367,1167,2.137893270008156e-21,0,,110,100
55,371,1171,7.229327959238697e-20,0,,109,100
56,376,1176,3.2556308347909763e-21,0,,108,100
57,379,1179,4.4576601011499104e-20,0,,108,100
58,390,1190,1.360522934335804e-23,0,,106,100
59,397,1197,1.1131200276386463e-21,0,,104,100
60,401,1201,1.7031413471329317e-22,0,,105,100
61,412,1212,1.0573191627986462e-22,0,,102,100
62,415,1215,8.689584536790575e-22,0,,102,100
