window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.0011486786302328028,1,,137,100
1,11,811,0.8344538629354561,1,,136,100
2,14,814,0.8071617359962542,1,,135,100
3,19,819,0.8572701098281688,1,,133,100
4,25,825,0.8993969887348715,1,,131,100
5,33,833,0.9882496902584595,1,,129,100
6,40,840,0.00150962719652444,1,,128,100
7,51,851,0.3898952455872177,1,,126,100
8,56,856,0.8214694866903102,1,,125,100
9,65,865,0.8976989568016893,1,,124,100
10,69,869,0.7155604207334538,1,,123,100
11,73,873,0.8554789101083813,1,,122,100
12,81,881,0.9823745353876893,1,,121,100
13,86,886,0.9647490707753785,1,,120,100
14,89,889,0.608019255278359,1,,119,100
15,97,897,0.002840216118153975,1,,118,100
16,101,901,0.00228907941505624,1,,117,100
17,104,904,0.004023472430463414,1,,117,100
18,111,911,0.705325422038113,1,,116,100
19,120,920,0.8918238019309191,1,,113,100
20,129,929,0.7285077391316385,1,,112,100
21,134,934,0.8534875467771545,1,,111,100
22,138,938,0.7698944868062008,1,,110,100
23,144,944,0.650654966825996,1,,109,100
24,154,954,0.004518030395217934,1,,108,100
25,161,961,0.005632974694106917,1,,107,100
26,165,965,0.6350978612235552,1,,106,100
27,170,970,0.5491822840625977,1,,105,100
28,181,981,0.770897962307189,1,,104,100
29,188,988,0.6889869394749177,1,,103,100
30,195,995,0.7590084605819774,1,,102,100
31,198,998,0.8617942356165667,1,,101,100
32,202,1002,0.7261412613342146,1,,101,100
