window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.005461293216767542,1,,162,100
1,6,806,0.0035854613237272094,1,,160,100
2,8,808,0.0031336121208038054,1,,159,100
3,16,816,0.0032768971936190626,1,,159,100
4,21,821,0.014801963205064371,1,,157,100
5,24,824,0.000873322376777328,0,,156,100
6,26,826,0.0007943756006678911,0,,156,100
7,35,835,2.0070144330680094e-05,0,,153,100
8,40,840,0.004794298518016111,1,,150,100
9,45,845,0.0001409603783698349,0,,148,100
10,49,849,0.0002629398096846032,0,,147,100
11,54,854,0.00025216224186000284,0,,147,100
12,61,861,2.5846158710725226e-05,0,,145,100
13,65,865,3.086717628860547e-06,0,,144,100
14,70,870,1.9790097959058264e-06,0,,144,100
15,81,881,0.00016081546461164156,0,,140,100
16,87,887,0.0015253928976609074,1,,139,100
17,93,893,0.00017644288133464276,0,,138,100
18,96,896,0.0007398754140807815,0,,137,100
19,102,902,2.447377169827366e-05,0,,136,100
20,106,906,2.112838867084364e-05,0,,136,100
21,114,914,3.7560201976435145e-08,0,,134,100
22,119,919,0.0003709214439964353,0,,133,100
23,122,922,3.3389525925863053e-06,0,,132,100
24,127,927,0.0017115011145283896,1,,129,100
25,131,931,0.00047504208978105337,0,,129,100
26,140,940,9.545305825298387e-07,0,,126,100
27,146,946,1.8054037083654147e-06,0,,126,100
28,151,951,1.4477321964860004e-08,0,,124,100
29,155,955,6.779907902139286e-06,0,,123,100
30,159,959,3.376541129857083e-08,0,,122,100
31,165,965,9.129755276899917e-05,0,,121,100
32,167,967,0.00012458579592052624,0,,120,100
33,173,973,0.0008441968052232794,0,,117,100
34,182,982,9.353702233131182e-07,0,,115,100
35,186,986,4.3115180710132925e-08,0,,114,100
36,190,990,7.450552640019709e-06,0,,113,100
37,194,994,1.3871621270838092e-05,0,,112,100
38,198,998,7.064324056302692e-05,0,,111,100
39,201,1001,0.00010572139719710663,0,,111,100
40,208,1008,0.00103916037450388,1,,110,100
41,216,1016,6.773507892154681e-07,0,,106,100
42,220,1020,1.5457323522197721e-06,0,,105,100
43,226,1026,1.2928331123140415e-06,0,,104,100
44,229,1029,1.981133534927609e-05,0,,103,100
45,233,1033,3.7004460664658353e-06,0,,102,100
46,238,1038,2.15851322024047e-06,0,,102,100
47,249,1049,0.00843660168698245,1,,100,100
