window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.0623177761844113e-72,0,,191,100
1,10,810,9.75245626137382e-72,0,,191,100
2,20,820,2.5802183679746e-62,0,,187,100
3,30,830,1.6991702317941942e-59,0,,186,100
4,40,840,1.1633512416907779e-58,0,,181,100
5,50,850,1.5767358186940678e-57,0,,182,100
6,60,860,3.5636820154259688e-59,0,,183,100
7,70,870,5.033272425386743e-57,0,,187,100
8,80,880,2.5304232202343964e-56,0,,187,100
9,90,890,1.643437527683216e-57,0,,187,100
10,100,900,8.231868891713791e-53,0,,187,100
11,110,910,7.465409598639149e-52,0,,190,100
12,120,920,1.9545208359017106e-50,0,,191,100
13,130,930,1.9001066625056508e-50,0,,192,100
14,140,940,2.330007998839996e-50,0,,194,100
15,150,950,4.775897919365896e-52,0,,192,100
16,160,960,6.180222853392746e-50,0,,192,100
17,170,970,1.4381125688218223e-50,0,,192,100
18,180,980,8.508776857310027e-52,0,,193,100
19,190,990,1.5716881896022766e-52,0,,192,100
20,200,1000,1.9161623062180282e-54,0,,190,100
21,210,1010,1.8472783184132918e-55,0,,192,100
22,220,1020,4.154740847346698e-59,0,,191,100
23,230,1030,1.396191735204345e-57,0,,195,100
24,240,1040,3.964630272697373e-58,0,,195,100
25,250,1050,1.88610559542566e-58,0,,194,100
26,260,1060,2.2273755391281768e-57,0,,195,100
27,270,1070,1.0173955700650034e-57,0,,195,100
28,280,1080,2.456087519641325e-58,0,,196,100
29,290,1090,6.408440418744061e-58,0,,197,100
30,300,1100,1.4133642171741032e-56,0,,199,100
31,310,1110,5.821392382146146e-55,0,,199,100
32,320,1120,1.4093165495749874e-59,0,,199,100
33,330,1130,8.279027203301199e-57,0,,197,100
34,340,1140,2.7855627136241765e-58,0,,196,100
35,350,1150,2.844750492128851e-60,0,,197,100
36,360,1160,1.5224194308810388e-62,0,,197,100
37,370,1170,2.0425338334316435e-62,0,,198,100
38,380,1180,1.8286630877340383e-65,0,,203,100
39,390,1190,1.2520867962633932e-66,0,,201,100
40,400,1200,7.539610657903944e-70,0,,202,100
41,410,1210,1.2161213104022244e-63,0,,200,100
42,420,1220,1.4355457529741172e-63,0,,198,100
43,430,1230,3.2713517022049614e-64,0,,199,100
44,440,1240,5.1080053621572945e-58,0,,199,100
45,450,1250,2.96090687788571e-57,0,,200,100
46,460,1260,6.798064132930654e-58,0,,202,100
47,470,1270,2.4030844735845456e-61,0,,203,100
48,480,1280,1.30568029658654e-65,0,,201,100
49,490,1290,2.7909064403476657e-62,0,,201,100
50,500,1300,2.3422008378803552e-60,0,,201,100
51,510,1310,7.45779016310051e-61,0,,203,100
52,520,1320,8.25868743094299e-66,0,,203,100
53,530,1330,8.551891469430357e-61,0,,201,100
54,540,1340,7.743512491278761e-62,0,,199,100
55,550,1350,2.679450510278042e-59,0,,200,100
56,560,1360,7.713983482555752e-57,0,,200,100
57,570,1370,1.3423892987433834e-53,0,,200,100
58,580,1380,2.404794587510867e-53,0,,199,100
59,590,1390,8.1129854800767875e-56,0,,199,100
60,600,1400,3.923466221604906e-54,0,,200,100
61,610,1410,1.3201907472773493e-54,0,,203,100
62,620,1420,3.8114343821312963e-54,0,,201,100
63,630,1430,2.0533418443627107e-52,0,,201,100
64,640,1440,4.333928646413326e-49,0,,199,100
65,650,1450,6.949165438509225e-52,0,,200,100
66,660,1460,9.48897065182375e-51,0,,199,100
67,670,1470,1.2124002425023948e-52,0,,200,100
68,680,1480,1.3418248861352342e-53,0,,200,100
69,690,1490,3.38997147347704e-53,0,,199,100
70,700,1500,3.011781789606998e-55,0,,196,100
71,710,1510,1.076515075859859e-56,0,,195,100
72,720,1520,1.6398137622073529e-52,0,,197,100
73,730,1530,1.6231833884589576e-50,0,,197,100
74,740,1540,7.114968901319656e-56,0,,196,100
75,750,1550,4.73614037269325e-59,0,,198,100
76,760,1560,5.368043299373758e-66,0,,199,100
77,770,1570,2.952445708942841e-63,0,,200,100
78,780,1580,9.448503064231431e-66,0,,200,100
79,790,1590,2.5150140263486363e-64,0,,199,100
80,800,1600,5.119550839733923e-63,0,,201,100
81,810,1610,1.0222838069311814e-60,0,,200,100
82,820,1620,3.2684823815011665e-64,0,,199,100
83,830,1630,2.9246170444460975e-65,0,,199,100
84,840,1640,2.1358401286575753e-64,0,,200,100
85,850,1650,6.054679506572421e-67,0,,203,100
86,860,1660,8.07320431225314e-71,0,,202,100
87,870,1670,1.188599398382242e-66,0,,197,100
88,880,1680,4.464574051596217e-65,0,,197,100
89,890,1690,4.824055914477402e-66,0,,197,100
90,900,1700,5.626456194831121e-60,0,,196,100
91,910,1710,8.555310047430117e-65,0,,194,100
92,920,1720,1.9765196434447022e-63,0,,196,100
93,930,1730,5.589022412916901e-62,0,,194,100
94,940,1740,1.60725647869875e-59,0,,195,100
95,950,1750,1.0136455813819931e-58,0,,196,100
96,960,1760,9.963633562537781e-58,0,,196,100
97,970,1770,5.771320055363809e-59,0,,195,100
98,980,1780,3.79520444896793e-65,0,,195,100
99,990,1790,2.6068983004802014e-64,0,,197,100
100,1000,1800,5.360633108739756e-66,0,,197,100
101,1010,1810,5.33081294912466e-65,0,,196,100
102,1020,1820,1.3979364507254722e-65,0,,195,100
103,1030,1830,1.8791368432935978e-69,0,,192,100
104,1040,1840,5.4622197047964846e-67,0,,193,100
105,1050,1850,3.3376043780784714e-70,0,,193,100
106,1060,1860,2.623492390017975e-66,0,,192,100
107,1070,1870,3.858688517125626e-68,0,,192,100
108,1080,1880,2.816891386047029e-67,0,,193,100
109,1090,1890,1.9350755634588704e-67,0,,193,100
110,1100,1900,5.0853306695601384e-73,0,,188,100
111,1110,1910,3.5973122228299157e-72,0,,189,100
112,1120,1920,6.10921646604641e-69,0,,190,100
113,1130,1930,1.421723078266558e-68,0,,190,100
114,1140,1940,1.4154826016555244e-67,0,,190,100
115,1150,1950,2.996325759393497e-60,0,,189,100
116,1160,1960,1.7761002083972066e-64,0,,189,100
117,1170,1970,7.800340394511823e-59,0,,190,100
118,1180,1980,1.4193588425789397e-57,0,,186,100
119,1190,1990,8.649732996522357e-59,0,,185,100
