window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,8.251712368544372e-05,0,,204,100
1,10,810,7.021710435229933e-07,0,,204,100
2,20,820,2.5448852541035996e-08,0,,204,100
3,30,830,6.202486211608657e-05,0,,199,100
4,40,840,8.362511741841616e-09,0,,201,100
5,50,850,8.923546466475498e-13,0,,200,100
6,60,860,9.195054423309172e-12,0,,201,100
7,70,870,2.1808597625577857e-16,0,,202,100
8,80,880,4.5351167786295285e-18,0,,201,100
9,90,890,8.462949569561906e-07,0,,202,100
10,100,900,7.730623789126265e-16,0,,202,100
11,110,910,2.9069821184323663e-09,0,,201,100
12,120,920,2.524534282527812e-07,0,,201,100
13,130,930,2.2257337541621722e-11,0,,202,100
14,140,940,6.837076457165446e-11,0,,200,100
15,150,950,2.539161399850519e-10,0,,200,100
16,160,960,3.7508886729308677e-07,0,,200,100
17,170,970,7.662209902607758e-07,0,,198,100
18,180,980,3.528102085270479e-07,0,,199,100
19,190,990,8.714666621514761e-09,0,,200,100
20,200,1000,1.603760818329993e-06,0,,200,100
21,210,1010,1.026261215460105e-07,0,,201,100
22,220,1020,8.587008801934951e-06,0,,201,100
23,230,1030,1.4961293490985092e-05,0,,199,100
24,240,1040,6.446179850917761e-10,0,,201,100
25,250,1050,6.112568057485187e-06,0,,200,100
26,260,1060,9.487614075002904e-10,0,,200,100
27,270,1070,1.0232120486215227e-12,0,,199,100
28,280,1080,2.980384716579648e-10,0,,197,100
29,290,1090,2.1909680362724083e-15,0,,199,100
30,300,1100,9.32537343124873e-13,0,,199,100
31,310,1110,4.5456580728323934e-14,0,,198,100
32,320,1120,5.1241194331781604e-14,0,,199,100
33,330,1130,3.29917449699123e-12,0,,198,100
34,340,1140,2.505418616492841e-06,0,,198,100
35,350,1150,2.53100049728698e-10,0,,198,100
36,360,1160,1.658029634882656e-08,0,,200,100
37,370,1170,2.163834896205737e-12,0,,199,100
38,380,1180,2.461033865882389e-10,0,,198,100
