window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,7.273008851130039e-35,0,,204,100
1,10,810,3.379060742566851e-36,0,,204,100
2,20,820,1.0240696273588034e-38,0,,204,100
3,30,830,1.5633185233094882e-37,0,,203,100
4,40,840,1.1170791814723037e-35,0,,201,100
5,50,850,2.5978391769649287e-35,0,,201,100
6,60,860,2.228797313239576e-35,0,,201,100
7,70,870,1.8685831095319468e-35,0,,203,100
8,80,880,4.452014035000195e-34,0,,202,100
9,90,890,3.226235125560504e-37,0,,202,100
10,100,900,3.3570484978099644e-33,0,,202,100
11,110,910,3.522088321219211e-35,0,,201,100
12,120,920,9.386373098944896e-39,0,,202,100
13,130,930,1.3284297878085527e-42,0,,203,100
14,140,940,1.9865009177403613e-45,0,,201,100
15,150,950,1.8481482859743296e-42,0,,201,100
16,160,960,3.4334176745202184e-30,0,,200,100
17,170,970,1.5333133498253395e-33,0,,200,100
18,180,980,1.0077154880305918e-33,0,,200,100
19,190,990,6.677326290867137e-35,0,,201,100
20,200,1000,2.929353431025314e-31,0,,202,100
21,210,1010,6.378712601811945e-32,0,,201,100
22,220,1020,6.203049138335831e-34,0,,201,100
23,230,1030,4.546193515290997e-34,0,,201,100
24,240,1040,3.932357697838837e-34,0,,203,100
25,250,1050,4.025328105283319e-46,0,,202,100
26,260,1060,1.458179818800302e-44,0,,201,100
27,270,1070,6.609123294258314e-44,0,,199,100
28,280,1080,1.2418282240132484e-42,0,,199,100
29,290,1090,1.1049273886470144e-44,0,,200,100
30,300,1100,3.968364639792005e-38,0,,199,100
31,310,1110,1.4193989957101892e-44,0,,199,100
32,320,1120,5.809773522434686e-45,0,,199,100
33,330,1130,2.339758982705219e-44,0,,202,100
34,340,1140,1.0491574861771923e-45,0,,198,100
35,350,1150,4.1414197387981705e-44,0,,201,100
36,360,1160,1.224182121560183e-44,0,,200,100
37,370,1170,8.636141450058762e-39,0,,200,100
38,380,1180,5.8391155974359996e-39,0,,198,100
39,390,1190,1.4037845213557811e-36,0,,199,100
40,400,1200,1.458592098172276e-39,0,,199,100
41,410,1210,1.7880767525780729e-40,0,,199,100
42,420,1220,5.605814211761135e-41,0,,199,100
43,430,1230,8.359047182253963e-44,0,,199,100
44,440,1240,1.5440488539915388e-41,0,,200,100
45,450,1250,1.0027700036164922e-38,0,,200,100
46,460,1260,3.548927030671977e-39,0,,200,100
47,470,1270,1.5288773388681195e-45,0,,201,100
48,480,1280,1.7658917351350792e-37,0,,201,100
49,490,1290,8.991063975461382e-41,0,,200,100
50,500,1300,2.802625689074578e-40,0,,199,100
51,510,1310,5.008110690219022e-40,0,,199,100
52,520,1320,4.743076635571957e-42,0,,201,100
53,530,1330,1.154118030715546e-51,0,,200,100
54,540,1340,5.70825111435393e-49,0,,202,100
55,550,1350,7.19023390893428e-50,0,,201,100
56,560,1360,7.652111338998189e-40,0,,199,100
57,570,1370,4.640089457652844e-38,0,,199,100
58,580,1380,3.5273745049530198e-40,0,,200,100
59,590,1390,1.1433986072637705e-40,0,,201,100
60,600,1400,5.026902377815917e-42,0,,200,100
61,610,1410,2.31962768232111e-41,0,,200,100
62,620,1420,4.4479342241245505e-41,0,,200,100
63,630,1430,2.620183765164675e-42,0,,197,100
64,640,1440,1.1636132308968215e-41,0,,195,100
65,650,1450,5.08222263103153e-41,0,,197,100
66,660,1460,1.2318313226126482e-39,0,,197,100
67,670,1470,1.0571785892972765e-33,0,,197,100
68,680,1480,2.4536028190783816e-36,0,,197,100
69,690,1490,3.1384970783841254e-41,0,,199,100
70,700,1500,1.2493264119072863e-37,0,,198,100
71,710,1510,1.4368041206332968e-43,0,,194,100
72,720,1520,2.9160819514325705e-40,0,,195,100
73,730,1530,1.2580129875786874e-38,0,,194,100
74,740,1540,1.0998952272547716e-41,0,,194,100
75,750,1550,3.6392333843612007e-40,0,,195,100
76,760,1560,1.3453979544404326e-40,0,,197,100
77,770,1570,9.447120265096443e-37,0,,192,100
78,780,1580,1.0684349020561477e-35,0,,193,100
79,790,1590,7.266708572304218e-33,0,,190,100
80,800,1600,1.7056253314473585e-34,0,,189,100
81,810,1610,9.799709055344363e-49,0,,189,100
82,820,1620,4.5202626180561626e-45,0,,189,100
83,830,1630,1.2948885514670887e-44,0,,191,100
84,840,1640,2.188182998571417e-41,0,,188,100
85,850,1650,1.7938552892895904e-41,0,,188,100
86,860,1660,5.961510689448575e-36,0,,188,100
87,870,1670,6.0007093086248276e-33,0,,187,100
88,880,1680,9.417689788498856e-41,0,,185,100
89,890,1690,8.004256543061087e-39,0,,187,100
90,900,1700,2.442530245143462e-36,0,,187,100
91,910,1710,1.3552666762112092e-46,0,,187,100
92,920,1720,7.553863596916094e-39,0,,187,100
93,930,1730,8.474146383797377e-39,0,,188,100
94,940,1740,4.497313872845376e-39,0,,190,100
95,950,1750,6.0083357417959355e-37,0,,189,100
96,960,1760,1.1868985074756739e-43,0,,190,100
97,970,1770,1.1340669876570279e-38,0,,192,100
98,980,1780,5.665190541048952e-32,0,,191,100
99,990,1790,9.909485652462462e-36,0,,190,100
100,1000,1800,1.83718928678403e-39,0,,190,100
101,1010,1810,2.7660176617625843e-46,0,,190,100
102,1020,1820,5.686729202515188e-49,0,,190,100
103,1030,1830,8.352394674601766e-46,0,,190,100
104,1040,1840,2.3227728771609894e-43,0,,189,100
105,1050,1850,2.738005870232278e-44,0,,190,100
106,1060,1860,7.523120324163263e-44,0,,188,100
107,1070,1870,2.5158391436859084e-41,0,,188,100
108,1080,1880,6.15064786246581e-41,0,,190,100
109,1090,1890,2.837199790800844e-36,0,,188,100
110,1100,1900,2.3574486409724657e-33,0,,189,100
111,1110,1910,4.830635980670987e-35,0,,190,100
112,1120,1920,3.23590385358576e-36,0,,190,100
113,1130,1930,3.5056245482141135e-27,0,,189,100
114,1140,1940,3.5212620593175635e-33,0,,191,100
115,1150,1950,1.823175250937655e-34,0,,192,100
116,1160,1960,8.357759223044588e-35,0,,192,100
117,1170,1970,8.837255936700482e-38,0,,193,100
118,1180,1980,2.728980898153321e-35,0,,193,100
119,1190,1990,3.184312949477723e-35,0,,192,100
120,1200,2000,6.731840069578916e-36,0,,190,100
121,1210,2010,7.819974503694787e-39,0,,191,100
122,1220,2020,3.7822031733372453e-39,0,,190,100
123,1230,2030,2.914838798527112e-40,0,,190,100
124,1240,2040,3.4704372924416432e-43,0,,191,100
125,1250,2050,6.411160526677058e-40,0,,190,100
126,1260,2060,6.410911510974266e-40,0,,191,100
127,1270,2070,1.0783640532959243e-37,0,,190,100
128,1280,2080,1.2001925264291842e-36,0,,191,100
129,1290,2090,1.0796999545523838e-36,0,,192,100
130,1300,2100,3.71279397576929e-33,0,,192,100
131,1310,2110,4.116651842723309e-31,0,,193,100
132,1320,2120,6.795026444615454e-29,0,,192,100
133,1330,2130,1.1807840380640837e-28,0,,193,100
134,1340,2140,3.370632850942955e-26,0,,193,100
135,1350,2150,2.8725485139889585e-33,0,,194,100
136,1360,2160,1.6242629126212074e-34,0,,195,100
137,1370,2170,4.496460997753891e-38,0,,192,100
138,1380,2180,4.756500145712341e-35,0,,192,100
139,1390,2190,1.0045943942008671e-32,0,,194,100
140,1400,2200,2.472822462200669e-33,0,,195,100
141,1410,2210,3.357559505651576e-33,0,,195,100
142,1420,2220,6.136306173067373e-35,0,,195,100
143,1430,2230,3.7721609759487983e-35,0,,200,100
144,1440,2240,3.398123691998178e-35,0,,199,100
145,1450,2250,2.2197156520060454e-34,0,,200,100
146,1460,2260,5.108278246269682e-33,0,,199,100
147,1470,2270,2.4674241055943706e-37,0,,199,100
148,1480,2280,2.3169680449065193e-33,0,,198,100
149,1490,2290,1.1859724000859734e-33,0,,198,100
150,1500,2300,1.054347233437092e-33,0,,198,100
151,1510,2310,2.2100832482140846e-34,0,,199,100
152,1520,2320,2.6348953629215688e-33,0,,199,100
153,1530,2330,2.411325930490255e-33,0,,200,100
154,1540,2340,6.737159963190202e-35,0,,198,100
155,1550,2350,5.51051396138328e-32,0,,197,100
156,1560,2360,5.005392895963091e-29,0,,196,100
157,1570,2370,1.1056203287613678e-30,0,,197,100
158,1580,2380,5.282694070442313e-29,0,,198,100
159,1590,2390,4.753074790471397e-29,0,,198,100
160,1600,2400,6.0662648613067304e-27,0,,199,100
161,1610,2410,1.8095472343249734e-29,0,,199,100
162,1620,2420,7.960636880055816e-31,0,,202,100
163,1630,2430,8.941681410015947e-34,0,,201,100
164,1640,2440,1.6240189104669514e-33,0,,201,100
165,1650,2450,1.9066998037439203e-35,0,,203,100
166,1660,2460,1.2454462145915406e-35,0,,204,100
167,1670,2470,1.5309646733521861e-41,0,,205,100
168,1680,2480,6.6350981598452706e-43,0,,206,100
169,1690,2490,1.4950021160442088e-40,0,,206,100
