window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.6609509378107985e-05,0,,204,100
1,10,810,4.773817263820611e-09,0,,204,100
2,20,820,1.667177771426855e-20,0,,204,100
3,30,830,0.0002241241255228554,0,,203,100
4,40,840,7.535077988955538e-18,0,,201,100
5,50,850,8.837933234392104e-10,0,,201,100
6,60,860,5.912831974529361e-20,0,,201,100
7,70,870,9.667844538041987e-10,0,,203,100
8,80,880,8.536650664132659e-14,0,,202,100
9,90,890,1.1711464905860028e-12,0,,202,100
10,100,900,1.1471958813658655e-18,0,,202,100
11,110,910,1.3683997761456033e-14,0,,201,100
12,120,920,7.758165716431228e-07,0,,202,100
13,130,930,1.463749697614459e-09,0,,203,100
14,140,940,2.417853681935367e-10,0,,201,100
15,150,950,2.908439497514802e-07,0,,201,100
16,160,960,2.585426298138633e-13,0,,200,100
17,170,970,1.8820999476707744e-08,0,,200,100
18,180,980,1.486952875079935e-09,0,,200,100
19,190,990,1.622110038439709e-09,0,,201,100
20,200,1000,1.283606571072773e-06,0,,202,100
21,210,1010,3.664305869206734e-16,0,,201,100
22,220,1020,9.975135851457678e-08,0,,201,100
23,230,1030,4.9973491524787144e-17,0,,201,100
24,240,1040,1.1055172762937798e-08,0,,203,100
25,250,1050,7.967941441937813e-14,0,,202,100
26,260,1060,7.977963182879194e-10,0,,201,100
27,270,1070,2.1156660586082153e-20,0,,199,100
28,280,1080,4.5957477785012654e-15,0,,199,100
29,290,1090,8.978913542831238e-11,0,,200,100
30,300,1100,4.851804399999861e-13,0,,199,100
31,310,1110,1.0965332384596642e-15,0,,199,100
32,320,1120,1.0648153845659403e-11,0,,199,100
33,330,1130,1.5195316772753463e-11,0,,202,100
34,340,1140,4.949387505075993e-10,0,,198,100
35,350,1150,1.745016196594678e-10,0,,201,100
36,360,1160,9.536058682731518e-11,0,,200,100
37,370,1170,1.504187275103283e-09,0,,200,100
38,380,1180,7.51895217443692e-09,0,,198,100
39,390,1190,1.2440109134804285e-14,0,,199,100
40,400,1200,8.661386958653387e-17,0,,199,100
41,410,1210,7.93531016830954e-10,0,,199,100
42,420,1220,9.336934352445796e-15,0,,199,100
43,430,1230,1.1874541609322972e-16,0,,199,100
44,440,1240,9.224720654094093e-12,0,,200,100
45,450,1250,1.5959357381247533e-12,0,,200,100
46,460,1260,1.0250855816659092e-06,0,,200,100
47,470,1270,6.3695058101557626e-15,0,,201,100
48,480,1280,8.749968102473595e-14,0,,201,100
49,490,1290,1.3266453434222e-07,0,,200,100
50,500,1300,4.3951909807429634e-13,0,,199,100
51,510,1310,7.820969691210397e-07,0,,199,100
52,520,1320,1.6565794923215963e-13,0,,201,100
53,530,1330,1.9842961814906515e-08,0,,200,100
54,540,1340,1.2445634857281496e-13,0,,202,100
55,550,1350,4.165701618883377e-12,0,,201,100
56,560,1360,9.551076700102023e-08,0,,199,100
57,570,1370,8.386329974767465e-07,0,,199,100
58,580,1380,5.812329721982102e-17,0,,200,100
59,590,1390,1.3292386174164631e-13,0,,201,100
60,600,1400,4.065264576069289e-21,0,,200,100
61,610,1410,1.8869568245561374e-18,0,,200,100
62,620,1420,5.6051026167486835e-12,0,,200,100
63,630,1430,3.8381215978415634e-16,0,,197,100
64,640,1440,6.482764381369002e-14,0,,195,100
65,650,1450,3.988730443158104e-17,0,,197,100
66,660,1460,1.9846051969258653e-16,0,,197,100
67,670,1470,1.3543594645936257e-05,0,,197,100
68,680,1480,3.2405227158288747e-18,0,,197,100
69,690,1490,9.256674333931955e-15,0,,199,100
70,700,1500,8.900492781102498e-09,0,,198,100
71,710,1510,2.8407615584205177e-07,0,,194,100
72,720,1520,2.4941773694677847e-17,0,,195,100
73,730,1530,4.925726058879111e-11,0,,194,100
74,740,1540,7.926566873074173e-21,0,,194,100
75,750,1550,2.1261751210369855e-11,0,,195,100
76,760,1560,3.678446578428089e-21,0,,197,100
77,770,1570,8.653864698530533e-12,0,,192,100
78,780,1580,3.536390605743485e-08,0,,193,100
79,790,1590,1.4246127272198113e-10,0,,190,100
80,800,1600,6.552150666486623e-16,0,,189,100
81,810,1610,1.457176096571788e-21,0,,189,100
82,820,1620,2.5541903814233433e-20,0,,189,100
