window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,2.9565213575741397e-43,0,,204,100
1,10,810,2.1531481516885105e-44,0,,204,100
2,20,820,2.181340997460609e-47,0,,204,100
3,30,830,1.2356063132625152e-46,0,,203,100
4,40,840,9.753092852356602e-51,0,,201,100
5,50,850,1.0185318722048175e-51,0,,201,100
6,60,860,1.741083137992366e-46,0,,201,100
7,70,870,1.548148531142459e-48,0,,203,100
8,80,880,4.482480098898761e-50,0,,202,100
9,90,890,5.581964106243349e-53,0,,202,100
10,100,900,5.476961687585667e-51,0,,202,100
11,110,910,1.2292758594429727e-46,0,,201,100
12,120,920,2.9148779600090227e-48,0,,202,100
13,130,930,3.164056284409674e-49,0,,203,100
14,140,940,8.463962307481058e-50,0,,201,100
15,150,950,6.095736262025404e-47,0,,201,100
16,160,960,1.570891283172315e-45,0,,200,100
17,170,970,8.834472696914935e-46,0,,200,100
18,180,980,7.899163250617712e-46,0,,200,100
19,190,990,1.077744739668556e-45,0,,201,100
20,200,1000,4.508791816939314e-45,0,,202,100
21,210,1010,4.800998504436006e-44,0,,201,100
22,220,1020,2.3695399800017885e-41,0,,201,100
23,230,1030,4.183594542135056e-44,0,,201,100
24,240,1040,3.661557533814454e-44,0,,203,100
25,250,1050,7.844264493501185e-48,0,,202,100
26,260,1060,1.178517288899834e-41,0,,201,100
27,270,1070,6.682912253840368e-44,0,,199,100
28,280,1080,3.0411649991351327e-44,0,,199,100
29,290,1090,2.314719176889994e-45,0,,200,100
30,300,1100,4.2484203088389416e-47,0,,199,100
31,310,1110,2.689718536412726e-50,0,,199,100
32,320,1120,4.408677372397608e-47,0,,199,100
33,330,1130,6.939560004831288e-47,0,,202,100
34,340,1140,8.114186749336415e-53,0,,198,100
35,350,1150,9.203392121905393e-53,0,,201,100
36,360,1160,1.2000676193625509e-53,0,,200,100
37,370,1170,1.5379490272483798e-52,0,,200,100
38,380,1180,2.619179684335372e-49,0,,198,100
39,390,1190,4.203732648500819e-46,0,,199,100
40,400,1200,9.693560621362697e-47,0,,199,100
41,410,1210,3.669502231069213e-49,0,,199,100
42,420,1220,8.301953864397503e-51,0,,199,100
43,430,1230,2.1372778498307732e-50,0,,199,100
44,440,1240,5.088330814160336e-50,0,,200,100
45,450,1250,3.141848582077922e-48,0,,200,100
46,460,1260,3.0589297828456235e-49,0,,200,100
47,470,1270,6.380946061996888e-47,0,,201,100
48,480,1280,3.501562440992747e-45,0,,201,100
49,490,1290,2.289549235432188e-45,0,,200,100
50,500,1300,9.044203788198302e-45,0,,199,100
51,510,1310,2.278480732288822e-45,0,,199,100
52,520,1320,3.9513663101613644e-47,0,,201,100
53,530,1330,2.1732109982562865e-46,0,,200,100
54,540,1340,7.262621232829576e-47,0,,202,100
55,550,1350,7.178850386788439e-45,0,,201,100
56,560,1360,5.882375143429586e-44,0,,199,100
57,570,1370,1.4476769314203773e-41,0,,199,100
58,580,1380,6.2756735842612745e-46,0,,200,100
59,590,1390,1.6629680715987192e-44,0,,201,100
60,600,1400,7.822573316695227e-48,0,,200,100
61,610,1410,9.32310369372903e-49,0,,200,100
62,620,1420,1.6013135206963094e-49,0,,200,100
63,630,1430,3.552516231907777e-44,0,,197,100
64,640,1440,2.1495734981968643e-44,0,,195,100
65,650,1450,3.941323880149639e-42,0,,197,100
66,660,1460,2.0108257620568204e-42,0,,197,100
67,670,1470,1.6548819734887224e-38,0,,197,100
68,680,1480,1.7313916368386185e-45,0,,197,100
69,690,1490,4.239606655867836e-46,0,,199,100
70,700,1500,1.763459465141832e-45,0,,198,100
71,710,1510,2.1707782649140993e-49,0,,194,100
72,720,1520,6.642962517615446e-46,0,,195,100
73,730,1530,1.1943555977283903e-46,0,,194,100
74,740,1540,2.616190196950326e-47,0,,194,100
75,750,1550,1.4903091337347555e-50,0,,195,100
76,760,1560,1.1063015040368748e-51,0,,197,100
77,770,1570,1.2390942070076017e-39,0,,192,100
78,780,1580,2.7957805476888672e-39,0,,193,100
79,790,1590,1.7591777895974301e-40,0,,190,100
80,800,1600,2.769577183010148e-38,0,,189,100
81,810,1610,6.038646725181897e-42,0,,189,100
82,820,1620,6.672143046939854e-41,0,,189,100
83,830,1630,5.039850606384208e-44,0,,191,100
84,840,1640,2.0165055719723394e-41,0,,188,100
85,850,1650,3.514046369719231e-38,0,,188,100
86,860,1660,9.685060919278551e-42,0,,188,100
87,870,1670,1.9144610842604452e-37,0,,187,100
88,880,1680,3.3679345417556506e-42,0,,185,100
89,890,1690,2.8724156564532676e-39,0,,187,100
90,900,1700,8.578757755615235e-37,0,,187,100
91,910,1710,4.395470555727992e-42,0,,187,100
92,920,1720,8.25905991396347e-41,0,,187,100
93,930,1730,7.371368854321752e-38,0,,188,100
94,940,1740,1.398188813492779e-40,0,,190,100
95,950,1750,7.924116259764938e-40,0,,189,100
96,960,1760,7.370425592701943e-36,0,,190,100
97,970,1770,3.6429537053202876e-37,0,,192,100
98,980,1780,9.458720108408973e-42,0,,191,100
99,990,1790,4.559872923420859e-46,0,,190,100
100,1000,1800,2.04844157483042e-45,0,,190,100
101,1010,1810,1.583628056054732e-49,0,,190,100
102,1020,1820,1.1055732829357265e-51,0,,190,100
103,1030,1830,6.700751025336947e-45,0,,190,100
104,1040,1840,5.268783156281739e-47,0,,189,100
105,1050,1850,8.963171338545353e-46,0,,190,100
106,1060,1860,1.1828816516675496e-44,0,,188,100
107,1070,1870,5.799982975007628e-45,0,,188,100
108,1080,1880,1.1476320473086118e-44,0,,190,100
109,1090,1890,1.0742841299833947e-45,0,,188,100
110,1100,1900,3.0381999048422944e-45,0,,189,100
111,1110,1910,1.8899480662725676e-44,0,,190,100
112,1120,1920,4.758622420714888e-46,0,,190,100
113,1130,1930,3.2475197673653175e-44,0,,189,100
114,1140,1940,1.669957510542986e-44,0,,191,100
115,1150,1950,1.7365643211410017e-44,0,,192,100
116,1160,1960,4.660037960624774e-46,0,,192,100
117,1170,1970,1.7387971704986824e-46,0,,193,100
118,1180,1980,1.030933040790628e-46,0,,193,100
119,1190,1990,4.614679586319034e-43,0,,192,100
