window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,9.076293211693696e-13,0,,208,100
1,10,810,2.7443574930793273e-08,0,,203,100
2,20,820,4.909451247421537e-11,0,,202,100
3,30,830,1.3187928850743356e-07,0,,201,100
4,40,840,1.323320583709686e-07,0,,201,100
5,50,850,2.0367218846636886e-08,0,,198,100
6,60,860,5.496533025365611e-08,0,,202,100
7,70,870,5.492249738773087e-05,0,,203,100
8,80,880,2.5254166137721e-09,0,,202,100
9,90,890,5.268401698863666e-08,0,,202,100
10,100,900,1.2225600902877603e-10,0,,202,100
11,110,910,2.56003863381698e-08,0,,200,100
12,120,920,2.910864228504984e-14,0,,197,100
13,130,930,4.619830751225162e-16,0,,199,100
14,140,940,2.4447136466437e-12,0,,198,100
15,150,950,1.8236650025030436e-13,0,,197,100
16,160,960,1.0930272339239812e-19,0,,196,100
17,170,970,3.6255787654655633e-12,0,,195,100
18,180,980,1.3019872748036077e-15,0,,194,100
19,190,990,9.298316734108247e-13,0,,195,100
20,200,1000,5.225865367200252e-13,0,,193,100
21,210,1010,6.328782379927591e-19,0,,192,100
22,220,1020,4.059269785072678e-18,0,,192,100
23,230,1030,3.154503372974479e-17,0,,191,100
24,240,1040,9.704395952849573e-20,0,,192,100
25,250,1050,4.350731538323607e-20,0,,191,100
26,260,1060,9.448518493674522e-18,0,,192,100
27,270,1070,8.291916851487945e-14,0,,192,100
28,280,1080,1.3934824112878506e-17,0,,193,100
29,290,1090,2.514228745453321e-12,0,,192,100
30,300,1100,2.0809369542032017e-17,0,,196,100
31,310,1110,1.0325181803628088e-16,0,,196,100
32,320,1120,4.9223037671379684e-21,0,,196,100
33,330,1130,1.0930045034785558e-16,0,,195,100
34,340,1140,1.9836264305599446e-14,0,,194,100
35,350,1150,1.5036562470631676e-15,0,,196,100
36,360,1160,2.2457463101951912e-17,0,,195,100
37,370,1170,3.5976177110368143e-13,0,,193,100
38,380,1180,1.0338779955284026e-13,0,,193,100
39,390,1190,2.936015973847639e-15,0,,196,100
40,400,1200,2.439492075804621e-18,0,,195,100
41,410,1210,2.9758877978553394e-19,0,,195,100
42,420,1220,1.7669676428655674e-19,0,,196,100
43,430,1230,5.285646874680272e-19,0,,195,100
44,440,1240,1.1989126286671068e-22,0,,194,100
45,450,1250,1.9015146176389938e-11,0,,195,100
46,460,1260,3.3705783428517715e-20,0,,196,100
47,470,1270,1.1475219682320341e-13,0,,195,100
48,480,1280,6.447279693166106e-09,0,,195,100
49,490,1290,1.0414343163750394e-09,0,,193,100
50,500,1300,1.3091947630939578e-19,0,,194,100
51,510,1310,3.487496773013659e-15,0,,193,100
52,520,1320,1.1179348169596123e-19,0,,192,100
53,530,1330,6.995692088592366e-15,0,,194,100
54,540,1340,7.061721007278017e-22,0,,195,100
55,550,1350,1.8933890025060465e-13,0,,194,100
56,560,1360,4.5293890300248034e-20,0,,195,100
57,570,1370,1.2207512627599323e-14,0,,197,100
58,580,1380,3.720394613069892e-12,0,,199,100
59,590,1390,5.221953769551892e-21,0,,202,100
60,600,1400,1.133724718087601e-06,0,,202,100
61,610,1410,4.4274348303645794e-16,0,,203,100
62,620,1420,2.673316843098556e-10,0,,202,100
63,630,1430,1.5610390854432052e-09,0,,201,100
64,640,1440,1.222594587355638e-06,0,,198,100
65,650,1450,3.2521779277713215e-16,0,,200,100
66,660,1460,4.485772829961603e-17,0,,201,100
67,670,1470,7.244313666054441e-10,0,,201,100
68,680,1480,1.7319558104597907e-07,0,,201,100
69,690,1490,6.16812813304097e-14,0,,198,100
70,700,1500,1.0384665396950478e-05,0,,197,100
71,710,1510,5.4991484742744365e-17,0,,195,100
72,720,1520,1.7292818905061773e-12,0,,196,100
73,730,1530,1.9060843574211223e-12,0,,195,100
74,740,1540,1.8078066528933696e-14,0,,193,100
75,750,1550,2.675626703206504e-10,0,,192,100
76,760,1560,2.6346386542688144e-14,0,,190,100
77,770,1570,2.452381987571223e-14,0,,189,100
78,780,1580,2.982898380806723e-13,0,,190,100
79,790,1590,5.626640793947645e-10,0,,188,100
80,800,1600,5.212213552866099e-15,0,,188,100
81,810,1610,5.275311431513117e-09,0,,188,100
82,820,1620,4.280752260445271e-18,0,,188,100
83,830,1630,1.6244703738668223e-11,0,,186,100
84,840,1640,2.8770564536709736e-13,0,,188,100
85,850,1650,5.9577818451273435e-12,0,,188,100
86,860,1660,2.0095842793657895e-06,0,,186,100
87,870,1670,1.4545911237860434e-09,0,,188,100
88,880,1680,1.3185303247412904e-07,0,,188,100
89,890,1690,3.7614866038918484e-08,0,,189,100
90,900,1700,1.8658163158015968e-08,0,,188,100
91,910,1710,2.2252681276062098e-13,0,,188,100
92,920,1720,6.900694888165914e-08,0,,188,100
93,930,1730,2.931351116699505e-11,0,,187,100
94,940,1740,3.991291923817053e-11,0,,186,100
95,950,1750,3.7453437609096143e-13,0,,185,100
96,960,1760,9.48740875581757e-14,0,,187,100
97,970,1770,2.2245214142118785e-13,0,,188,100
98,980,1780,5.764638833819535e-10,0,,186,100
99,990,1790,9.826174789128959e-10,0,,185,100
100,1000,1800,4.631518454175298e-07,0,,183,100
101,1010,1810,2.0909152063927903e-14,0,,184,100
102,1020,1820,9.111139938178354e-18,0,,185,100
103,1030,1830,3.046485301764239e-19,0,,186,100
104,1040,1840,9.126903535381345e-12,0,,187,100
105,1050,1850,2.3500237637694325e-10,0,,186,100
106,1060,1860,2.5510772432667393e-08,0,,186,100
107,1070,1870,2.8521480290028556e-19,0,,184,100
108,1080,1880,1.437893880257235e-19,0,,183,100
109,1090,1890,3.955454317787476e-10,0,,183,100
110,1100,1900,1.8243330398290977e-14,0,,185,100
111,1110,1910,1.956105124277249e-18,0,,184,100
112,1120,1920,7.600349562483592e-15,0,,180,100
113,1130,1930,9.41709200147628e-19,0,,180,100
114,1140,1940,3.528128535218401e-18,0,,181,100
115,1150,1950,8.035026233622718e-20,0,,181,100
116,1160,1960,6.312041147424803e-13,0,,183,100
117,1170,1970,3.3687810085487114e-20,0,,183,100
118,1180,1980,8.644634249648192e-19,0,,183,100
119,1190,1990,3.785183578951199e-15,0,,183,100
120,1200,2000,1.068021266284869e-13,0,,182,100
121,1210,2010,2.2034567981728738e-14,0,,183,100
122,1220,2020,7.558967939161304e-14,0,,183,100
123,1230,2030,1.8181483132974785e-15,0,,182,100
124,1240,2040,1.8609263229697467e-17,0,,181,100
125,1250,2050,1.0739279617574602e-18,0,,180,100
126,1260,2060,2.571459280381018e-19,0,,180,100
127,1270,2070,7.153649173193159e-20,0,,179,100
128,1280,2080,1.0777653675756235e-19,0,,181,100
129,1290,2090,1.1917181524915062e-15,0,,182,100
130,1300,2100,1.3281579268083516e-20,0,,180,100
131,1310,2110,3.1104916026455546e-21,0,,183,100
132,1320,2120,5.0355261298836745e-15,0,,184,100
133,1330,2130,4.3316255982232043e-16,0,,183,100
134,1340,2140,3.5113146762463196e-15,0,,184,100
135,1350,2150,9.823560189551588e-14,0,,183,100
136,1360,2160,8.740055482039706e-15,0,,183,100
137,1370,2170,5.013209141978346e-16,0,,180,100
138,1380,2180,1.7965742898604602e-19,0,,178,100
139,1390,2190,6.097640552927519e-17,0,,179,100
140,1400,2200,1.3086270171407749e-20,0,,179,100
141,1410,2210,1.7449351761883917e-21,0,,180,100
142,1420,2220,1.5511637144718743e-19,0,,180,100
143,1430,2230,1.9904507638710834e-16,0,,181,100
144,1440,2240,1.2892596407473598e-11,0,,182,100
145,1450,2250,2.1266599584833744e-16,0,,179,100
146,1460,2260,9.043111249243708e-13,0,,177,100
147,1470,2270,3.766750714936234e-16,0,,177,100
148,1480,2280,1.3336674037047137e-14,0,,177,100
149,1490,2290,1.841651270966349e-15,0,,177,100
150,1500,2300,7.574584745759395e-15,0,,176,100
151,1510,2310,9.571801720930595e-11,0,,176,100
152,1520,2320,1.7840560233500007e-14,0,,176,100
153,1530,2330,4.4337082076348755e-27,0,,176,100
154,1540,2340,3.78136125951939e-12,0,,177,100
155,1550,2350,1.2902280258164752e-14,0,,176,100
156,1560,2360,8.17471939238276e-23,0,,175,100
157,1570,2370,1.5994936063607493e-25,0,,174,100
158,1580,2380,9.35351667814206e-20,0,,175,100
159,1590,2390,1.905409799344122e-26,0,,176,100
160,1600,2400,1.886003714994816e-23,0,,177,100
161,1610,2410,3.310170196736257e-25,0,,177,100
162,1620,2420,3.2364735390440845e-17,0,,176,100
163,1630,2430,1.2753796320469389e-18,0,,176,100
164,1640,2440,1.0872633651970337e-23,0,,177,100
165,1650,2450,2.169839286552436e-19,0,,175,100
166,1660,2460,9.336447014440975e-23,0,,176,100
167,1670,2470,3.2654148588987973e-19,0,,177,100
168,1680,2480,2.443870454430649e-19,0,,177,100
169,1690,2490,1.4149380523895975e-21,0,,177,100
170,1700,2500,8.157483110592956e-17,0,,177,100
171,1710,2510,5.219039012925864e-24,0,,178,100
172,1720,2520,5.016088182360752e-28,0,,176,100
173,1730,2530,9.820639206910523e-28,0,,179,100
174,1740,2540,8.334084988202327e-24,0,,177,100
175,1750,2550,2.1773468234207767e-19,0,,176,100
176,1760,2560,4.0674937743528835e-23,0,,175,100
177,1770,2570,1.6824197614858747e-23,0,,176,100
178,1780,2580,6.27851939725079e-24,0,,174,100
179,1790,2590,2.6547122515829624e-22,0,,176,100
180,1800,2600,7.172888064980225e-23,0,,177,100
181,1810,2610,1.0494146368420286e-21,0,,177,100
182,1820,2620,2.8304913097739117e-25,0,,178,100
183,1830,2630,1.3994766711733487e-23,0,,176,100
184,1840,2640,7.191611018607974e-26,0,,176,100
185,1850,2650,1.107450902486309e-23,0,,176,100
186,1860,2660,3.2029169456973528e-25,0,,175,100
187,1870,2670,1.519676319239686e-25,0,,177,100
188,1880,2680,2.8044552116858555e-29,0,,176,100
189,1890,2690,1.9306692997931455e-30,0,,176,100
190,1900,2700,3.244098563795767e-21,0,,174,100
191,1910,2710,6.250739353395599e-20,0,,176,100
192,1920,2720,6.645952388297458e-19,0,,175,100
193,1930,2730,4.485422244847049e-21,0,,175,100
194,1940,2740,1.3816541485238356e-21,0,,177,100
195,1950,2750,3.268514942621162e-16,0,,176,100
196,1960,2760,1.0031256712247756e-15,0,,176,100
197,1970,2770,2.170338672652787e-30,0,,177,100
198,1980,2780,1.4166257092607142e-12,0,,173,100
199,1990,2790,2.1466951458814174e-30,0,,171,100
200,2000,2800,4.4457518036108845e-32,0,,171,100
201,2010,2810,2.3382068152532983e-31,0,,171,100
202,2020,2820,1.60586610424258e-20,0,,172,100
203,2030,2830,1.368565634050529e-36,0,,174,100
204,2040,2840,5.986620935681837e-20,0,,176,100
205,2050,2850,1.0349734145428377e-35,0,,174,100
206,2060,2860,2.0934331924019193e-15,0,,174,100
207,2070,2870,1.0312872230040917e-15,0,,174,100
208,2080,2880,2.687716794248378e-32,0,,173,100
209,2090,2890,3.856188810640442e-30,0,,172,100
210,2100,2900,1.372033986136408e-22,0,,172,100
211,2110,2910,4.796778254758408e-17,0,,171,100
212,2120,2920,1.1479935727950138e-32,0,,171,100
213,2130,2930,9.778955174338432e-26,0,,168,100
214,2140,2940,9.813847768610798e-22,0,,169,100
215,2150,2950,1.6280273820026698e-29,0,,169,100
216,2160,2960,2.1620571365321133e-31,0,,171,100
217,2170,2970,7.023443146556257e-30,0,,171,100
218,2180,2980,5.952051167662097e-30,0,,171,100
219,2190,2990,4.819161390862787e-22,0,,168,100
220,2200,3000,7.966483382572198e-23,0,,169,100
221,2210,3010,8.091637467414332e-29,0,,170,100
222,2220,3020,1.0745980508292526e-26,0,,169,100
223,2230,3030,2.0708375915007674e-35,0,,168,100
224,2240,3040,8.31988537685707e-38,0,,171,100
225,2250,3050,1.2077019412118206e-20,0,,171,100
226,2260,3060,4.452027367265923e-21,0,,169,100
227,2270,3070,1.909058304225948e-20,0,,169,100
228,2280,3080,1.101509183325498e-20,0,,169,100
229,2290,3090,1.938615766796962e-39,0,,169,100
230,2300,3100,8.250475851556604e-23,0,,169,100
231,2310,3110,3.505027502578355e-37,0,,173,100
232,2320,3120,2.6449676471085613e-36,0,,171,100
233,2330,3130,4.534398685600431e-41,0,,170,100
234,2340,3140,1.4848276650749638e-21,0,,168,100
235,2350,3150,4.125492801889511e-39,0,,168,100
236,2360,3160,7.429696428345461e-39,0,,168,100
237,2370,3170,5.87879115605784e-23,0,,168,100
238,2380,3180,1.9447519081558154e-34,0,,172,100
239,2390,3190,5.998090178540378e-31,0,,167,100
240,2400,3200,2.1796256853711827e-25,0,,167,100
241,2410,3210,2.3624167375397066e-25,0,,165,100
242,2420,3220,1.983362237112707e-27,0,,166,100
243,2430,3230,1.475092529458526e-26,0,,165,100
244,2440,3240,6.369802711460945e-23,0,,165,100
245,2450,3250,1.614356172674757e-28,0,,167,100
246,2460,3260,9.856281525437606e-22,0,,170,100
247,2470,3270,4.817312019682237e-22,0,,168,100
248,2480,3280,3.2213255079261175e-25,0,,170,100
249,2490,3290,7.133468397528743e-23,0,,167,100
250,2500,3300,1.3149688493833305e-23,0,,166,100
251,2510,3310,1.4390229117285006e-21,0,,166,100
252,2520,3320,1.8695449204408737e-26,0,,166,100
253,2530,3330,1.7344801725195096e-31,0,,168,100
254,2540,3340,7.587650350432347e-25,0,,169,100
255,2550,3350,8.825342432796559e-26,0,,169,100
256,2560,3360,2.1022067072380875e-25,0,,170,100
257,2570,3370,9.45936960163036e-25,0,,170,100
258,2580,3380,5.2534331555486274e-33,0,,169,100
259,2590,3390,2.7548256803690984e-24,0,,169,100
260,2600,3400,1.4404758276648222e-33,0,,169,100
261,2610,3410,3.237795890443807e-25,0,,169,100
262,2620,3420,1.3388992668749687e-25,0,,170,100
263,2630,3430,8.442900840419465e-33,0,,170,100
264,2640,3440,4.6853675593340527e-32,0,,171,100
265,2650,3450,2.4764849573183096e-20,0,,171,100
266,2660,3460,3.0368314101650037e-24,0,,170,100
267,2670,3470,2.970536734198367e-21,0,,170,100
268,2680,3480,1.1446367269453608e-18,0,,170,100
269,2690,3490,2.6414000100643375e-21,0,,170,100
270,2700,3500,2.780152456117756e-23,0,,172,100
271,2710,3510,3.882566294502244e-23,0,,169,100
272,2720,3520,2.3150322635398262e-20,0,,170,100
273,2730,3530,9.330512810994983e-22,0,,168,100
274,2740,3540,3.685133985781437e-21,0,,167,100
275,2750,3550,3.489040932636812e-21,0,,169,100
276,2760,3560,4.74833938751573e-21,0,,166,100
277,2770,3570,8.770621862751452e-25,0,,167,100
278,2780,3580,2.8270543199590013e-18,0,,169,100
279,2790,3590,1.2114678963004054e-19,0,,170,100
280,2800,3600,3.594857431672214e-19,0,,171,100
281,2810,3610,1.4768735536676573e-21,0,,171,100
282,2820,3620,2.078643262133114e-23,0,,171,100
283,2830,3630,1.984750378015835e-25,0,,172,100
284,2840,3640,4.0422097343271764e-29,0,,171,100
285,2850,3650,7.2211151359857705e-28,0,,171,100
286,2860,3660,2.345582519325854e-19,0,,170,100
287,2870,3670,8.43620124983551e-18,0,,171,100
288,2880,3680,1.1122904742541782e-18,0,,171,100
289,2890,3690,1.5427602998209028e-16,0,,170,100
290,2900,3700,4.274008257207846e-24,0,,171,100
291,2910,3710,5.811954711755596e-26,0,,171,100
292,2920,3720,5.823075195228262e-24,0,,171,100
293,2930,3730,4.9690201964612615e-18,0,,170,100
294,2940,3740,1.803301584976066e-26,0,,171,100
295,2950,3750,4.821663337551469e-22,0,,171,100
296,2960,3760,5.1008907467603123e-23,0,,172,100
297,2970,3770,1.133919498801421e-21,0,,172,100
298,2980,3780,6.996066076468901e-22,0,,172,100
299,2990,3790,4.462864105888704e-18,0,,172,100
300,3000,3800,2.3416136652241053e-20,0,,171,100
301,3010,3810,1.2216523006455273e-20,0,,172,100
302,3020,3820,7.25451034733515e-20,0,,172,100
303,3030,3830,4.817759684900819e-18,0,,170,100
304,3040,3840,1.6766808415590638e-14,0,,171,100
305,3050,3850,3.545666531700741e-14,0,,171,100
306,3060,3860,8.202875437712174e-14,0,,171,100
307,3070,3870,6.488924788586434e-15,0,,173,100
