window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.3561023027280228e-17,0,,208,100
1,10,810,1.2713162318475025e-22,0,,203,100
2,20,820,4.0481673801496414e-16,0,,202,100
3,30,830,3.730742945351221e-21,0,,201,100
4,40,840,4.96737478238466e-16,0,,201,100
5,50,850,8.031297780213788e-19,0,,198,100
6,60,860,5.124954502215745e-14,0,,202,100
7,70,870,5.4470942645420586e-14,0,,203,100
8,80,880,1.291914120078291e-16,0,,202,100
9,90,890,1.208226913747063e-22,0,,202,100
10,100,900,6.139148536883436e-17,0,,202,100
11,110,910,1.4389092256098144e-15,0,,200,100
12,120,920,2.480431068803899e-20,0,,197,100
13,130,930,3.2916026097577193e-25,0,,199,100
14,140,940,1.8174380764736924e-20,0,,198,100
15,150,950,3.406849864909777e-31,0,,197,100
16,160,960,2.2997145164517442e-27,0,,196,100
17,170,970,2.340575300655063e-27,0,,195,100
18,180,980,1.779981886659262e-32,0,,194,100
19,190,990,2.740445592076495e-26,0,,195,100
20,200,1000,1.4232758868022028e-31,0,,193,100
21,210,1010,8.900208116979296e-32,0,,192,100
22,220,1020,1.4565190709970738e-24,0,,192,100
23,230,1030,1.4936212996476498e-28,0,,191,100
24,240,1040,8.456550616248947e-28,0,,192,100
25,250,1050,2.070135546359367e-22,0,,191,100
26,260,1060,1.039989124288083e-31,0,,192,100
27,270,1070,2.6571088107273885e-27,0,,192,100
28,280,1080,1.2956911962582652e-31,0,,193,100
29,290,1090,3.019027033740659e-25,0,,192,100
30,300,1100,2.121221526019752e-29,0,,196,100
31,310,1110,9.519597155351549e-33,0,,196,100
32,320,1120,2.5411133618234814e-25,0,,196,100
33,330,1130,5.832836139720899e-30,0,,195,100
34,340,1140,1.733246746602004e-30,0,,194,100
35,350,1150,4.551565465248956e-26,0,,196,100
36,360,1160,4.04646098047252e-22,0,,195,100
37,370,1170,1.041702671422248e-25,0,,193,100
38,380,1180,6.959295690280105e-24,0,,193,100
39,390,1190,7.427579022188389e-27,0,,196,100
40,400,1200,5.297338384194256e-28,0,,195,100
41,410,1210,2.479817819093522e-23,0,,195,100
42,420,1220,2.720983302974127e-27,0,,196,100
43,430,1230,7.388676431772635e-30,0,,195,100
44,440,1240,6.3510071176823565e-34,0,,194,100
45,450,1250,9.308093472219116e-28,0,,195,100
46,460,1260,4.3323861733213535e-26,0,,196,100
47,470,1270,3.6748655113079404e-27,0,,195,100
48,480,1280,3.998283818861123e-30,0,,195,100
49,490,1290,1.9883281516827576e-35,0,,193,100
50,500,1300,1.3524890954312308e-31,0,,194,100
51,510,1310,1.3383205064062952e-27,0,,193,100
52,520,1320,1.9443473229871326e-27,0,,192,100
53,530,1330,1.8660858948439072e-26,0,,194,100
54,540,1340,1.0914261298952647e-26,0,,195,100
55,550,1350,9.565068153433898e-33,0,,194,100
56,560,1360,5.293442991094055e-24,0,,195,100
57,570,1370,1.6763805136463343e-25,0,,197,100
58,580,1380,1.4711448674379696e-28,0,,199,100
59,590,1390,6.479636452356965e-30,0,,202,100
60,600,1400,6.172497173865976e-25,0,,202,100
61,610,1410,9.41985938458244e-25,0,,203,100
62,620,1420,3.8106960405336886e-24,0,,202,100
63,630,1430,1.4942850023504732e-27,0,,201,100
64,640,1440,9.105278604710655e-28,0,,198,100
65,650,1450,2.5294505588859763e-29,0,,200,100
66,660,1460,6.781136263828985e-23,0,,201,100
67,670,1470,2.5665176398437256e-28,0,,201,100
68,680,1480,7.414776817734536e-24,0,,201,100
69,690,1490,9.512292820167904e-21,0,,198,100
70,700,1500,2.953368897887075e-23,0,,197,100
71,710,1510,2.4172794861504034e-28,0,,195,100
72,720,1520,3.3598845726859892e-34,0,,196,100
73,730,1530,3.938179432582241e-19,0,,195,100
74,740,1540,5.089866326323032e-29,0,,193,100
75,750,1550,2.9520035443984756e-17,0,,192,100
76,760,1560,1.896770277060462e-25,0,,190,100
77,770,1570,2.6272945038708976e-37,0,,189,100
78,780,1580,1.5299554056148017e-34,0,,190,100
79,790,1590,2.213984287352901e-22,0,,188,100
80,800,1600,2.8704605550285473e-27,0,,188,100
81,810,1610,1.3220517326605754e-31,0,,188,100
82,820,1620,1.0693775269025792e-24,0,,188,100
83,830,1630,7.383923780352333e-22,0,,186,100
84,840,1640,3.4419212516529046e-22,0,,188,100
85,850,1650,4.31802813292146e-15,0,,188,100
86,860,1660,3.0477170822612207e-21,0,,186,100
