window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.2718556398869845e-22,0,,164,100
1,10,810,2.0364908979230854e-23,0,,164,100
2,20,820,7.713409336487712e-22,0,,160,100
3,30,830,4.159223484977069e-16,0,,154,100
4,40,840,8.62228384954555e-18,0,,155,100
5,50,850,6.347220941880338e-21,0,,158,100
6,60,860,5.781657308673178e-21,0,,157,100
7,70,870,2.919403777727095e-17,0,,159,100
8,80,880,2.7866478071419786e-14,0,,158,100
9,90,890,1.2289310501338328e-14,0,,157,100
10,100,900,8.671013654271301e-11,0,,155,100
11,110,910,1.269549035226373e-13,0,,156,100
12,120,920,7.710563081662481e-13,0,,156,100
13,130,930,4.981794868645195e-05,0,,155,100
14,140,940,3.181471879035801e-10,0,,157,100
15,150,950,8.280433102574478e-10,0,,158,100
16,160,960,1.6669424754213683e-09,0,,158,100
17,170,970,7.433089420295347e-09,0,,159,100
18,180,980,3.775369259963703e-13,0,,161,100
19,190,990,3.2297150313133443e-10,0,,161,100
20,200,1000,2.314786043780333e-13,0,,162,100
21,210,1010,1.7809492434777478e-08,0,,161,100
22,220,1020,2.1338069166537444e-12,0,,162,100
23,230,1030,2.1723913086126298e-10,0,,161,100
24,240,1040,2.682625819647941e-14,0,,160,100
25,250,1050,2.056014160539672e-15,0,,160,100
26,260,1060,4.649331577443094e-14,0,,158,100
27,270,1070,5.371688533549533e-15,0,,158,100
28,280,1080,9.071877386210598e-12,0,,159,100
29,290,1090,6.2977364481003586e-15,0,,160,100
30,300,1100,6.350562783190363e-10,0,,159,100
31,310,1110,6.471602641289317e-17,0,,160,100
32,320,1120,7.889115505671791e-16,0,,160,100
33,330,1130,2.1429630509394894e-15,0,,160,100
34,340,1140,3.951893807535063e-18,0,,159,100
35,350,1150,2.404453874670575e-15,0,,159,100
36,360,1160,3.6672574611143157e-16,0,,158,100
37,370,1170,2.2470276257127716e-16,0,,159,100
38,380,1180,9.428954341393404e-23,0,,159,100
39,390,1190,1.2849368729961703e-19,0,,159,100
40,400,1200,2.720679280771002e-15,0,,157,100
41,410,1210,1.451070206473877e-17,0,,157,100
42,420,1220,7.70439282117359e-14,0,,156,100
43,430,1230,2.0513306928502665e-14,0,,157,100
44,440,1240,9.338274677484568e-15,0,,157,100
45,450,1250,1.0166751199580758e-17,0,,159,100
46,460,1260,7.930821922319769e-12,0,,158,100
47,470,1270,1.5396323996886691e-16,0,,158,100
48,480,1280,1.1651926021393192e-15,0,,157,100
49,490,1290,1.2119357201070348e-10,0,,156,100
50,500,1300,0.00017547505157184607,0,,156,100
51,510,1310,4.289493448895847e-08,0,,153,100
52,520,1320,1.4464343743805327e-15,0,,156,100
53,530,1330,4.176440054873283e-10,0,,155,100
54,540,1340,8.036399985878067e-10,0,,154,100
55,550,1350,2.0876819397638535e-13,0,,152,100
56,560,1360,1.3421130154717898e-08,0,,151,100
57,570,1370,6.052536462246333e-13,0,,153,100
58,580,1380,4.553135209022914e-09,0,,152,100
59,590,1390,3.0362197997882535e-15,0,,154,100
60,600,1400,9.243554980678968e-11,0,,153,100
61,610,1410,4.412333868499546e-14,0,,154,100
62,620,1420,2.4902235821607565e-08,0,,153,100
63,630,1430,4.974178151230415e-16,0,,153,100
64,640,1440,2.5103340525799995e-11,0,,153,100
65,650,1450,4.238394444828768e-15,0,,153,100
66,660,1460,8.188190843814236e-15,0,,153,100
67,670,1470,2.861072922051083e-17,0,,153,100
68,680,1480,9.39930559129712e-14,0,,154,100
69,690,1490,1.1146152068036122e-14,0,,154,100
70,700,1500,2.030902266381607e-15,0,,152,100
71,710,1510,1.3730456898236856e-14,0,,155,100
72,720,1520,3.6077880933602626e-13,0,,155,100
73,730,1530,5.435320740407503e-20,0,,155,100
74,740,1540,8.98320014009568e-12,0,,154,100
75,750,1550,2.976709341819904e-16,0,,156,100
76,760,1560,1.2162839660180039e-19,0,,156,100
77,770,1570,1.4948801260101875e-21,0,,156,100
78,780,1580,1.2459959259707966e-16,0,,156,100
79,790,1590,5.92907671009235e-18,0,,157,100
80,800,1600,1.734890923344575e-13,0,,155,100
81,810,1610,6.159007564837294e-18,0,,157,100
82,820,1620,4.938310881705601e-16,0,,159,100
83,830,1630,1.1379630969372251e-12,0,,158,100
84,840,1640,1.4396354960431396e-13,0,,159,100
85,850,1650,2.0701509868034354e-17,0,,161,100
86,860,1660,1.1623329267858883e-11,0,,160,100
87,870,1670,7.14636247056972e-18,0,,160,100
88,880,1680,3.225969537161522e-17,0,,162,100
89,890,1690,4.5064550720131257e-17,0,,163,100
90,900,1700,5.842545721405195e-17,0,,163,100
91,910,1710,1.2344973302846345e-21,0,,163,100
92,920,1720,1.350088561440383e-13,0,,161,100
93,930,1730,2.109619232657743e-12,0,,159,100
94,940,1740,2.840792082224868e-17,0,,160,100
95,950,1750,1.6220623468953547e-16,0,,160,100
96,960,1760,1.3392781734321904e-16,0,,159,100
