window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.313541833700266e-10,0,,164,100
1,10,810,2.4299170426764836e-10,0,,164,100
2,20,820,2.783256355173762e-05,0,,160,100
3,30,830,1.0773929005982209e-07,0,,154,100
4,40,840,3.0248897994579795e-07,0,,155,100
5,50,850,2.938551017519943e-07,0,,158,100
6,60,860,2.208370735615635e-05,0,,157,100
7,70,870,7.943507917061939e-06,0,,159,100
8,80,880,7.82900733428979e-05,0,,158,100
9,90,890,3.0424290996776604e-05,0,,157,100
10,100,900,1.8143304854335626e-06,0,,155,100
11,110,910,7.57097580045096e-08,0,,156,100
12,120,920,6.1250115599661e-07,0,,156,100
13,130,930,7.402579088871637e-08,0,,155,100
14,140,940,5.602097584917503e-09,0,,157,100
15,150,950,2.9283280451575864e-08,0,,158,100
16,160,960,6.403497928194304e-08,0,,158,100
17,170,970,2.9546631924437857e-08,0,,159,100
18,180,980,1.414884179895365e-07,0,,161,100
19,190,990,1.5051470926339634e-06,0,,161,100
20,200,1000,1.09035854393699e-06,0,,162,100
21,210,1010,1.5188200260233756e-05,0,,161,100
22,220,1020,1.2277076689751517e-05,0,,162,100
23,230,1030,3.4882099230341286e-05,0,,161,100
24,240,1040,7.488699951273448e-06,0,,160,100
25,250,1050,1.7861454218913806e-07,0,,160,100
26,260,1060,5.2685704626308765e-06,0,,158,100
27,270,1070,2.707347332638622e-05,0,,158,100
28,280,1080,0.00012272541474737312,0,,159,100
29,290,1090,3.953424287546754e-05,0,,160,100
30,300,1100,7.646368545294858e-05,0,,159,100
31,310,1110,0.00010228315209616449,0,,160,100
32,320,1120,0.0009135697910285814,0,,160,100
33,330,1130,0.0008768953392682587,0,,160,100
34,340,1140,0.003232175661868926,1,,159,100
35,350,1150,0.003653291846413037,1,,159,100
36,360,1160,0.003574904849846175,1,,158,100
37,370,1170,0.026128517481823717,1,,159,100
38,380,1180,0.04506247035981241,1,,159,100
39,390,1190,0.08776650231212364,1,,159,100
40,400,1200,0.09978745774724174,1,,157,100
41,410,1210,0.07727967797845689,1,,157,100
42,420,1220,0.09413240765414653,1,,156,100
43,430,1230,0.057881926140349704,1,,157,100
44,440,1240,0.03386825354250635,1,,157,100
45,450,1250,0.031050147240158307,1,,159,100
46,460,1260,0.10799193449429918,1,,158,100
47,470,1270,0.042022995812709026,1,,158,100
48,480,1280,0.012465097086827828,1,,157,100
49,490,1290,0.009899843679598924,1,,156,100
50,500,1300,0.011199334990591699,1,,156,100
51,510,1310,0.005660928617186661,1,,153,100
52,520,1320,0.0013948653350822448,1,,156,100
53,530,1330,0.005132513339725101,1,,155,100
54,540,1340,0.002657515734779636,1,,154,100
55,550,1350,0.0013385699874952559,1,,152,100
56,560,1360,0.0007177848001233817,0,,151,100
57,570,1370,0.0013464768382400723,1,,153,100
58,580,1380,0.0005443935144336236,0,,152,100
59,590,1390,0.0002227366185340582,0,,154,100
60,600,1400,0.0009920499524122884,0,,153,100
61,610,1410,0.0001371461609579066,0,,154,100
62,620,1420,0.0006517934313089214,0,,153,100
63,630,1430,0.00024783249919837553,0,,153,100
64,640,1440,0.006292805512534149,1,,153,100
65,650,1450,0.004991947111524904,1,,153,100
66,660,1460,0.0031919718181682966,1,,153,100
67,670,1470,0.001374222777293348,1,,153,100
68,680,1480,0.00316624805868881,1,,154,100
69,690,1490,0.005138940308826109,1,,154,100
70,700,1500,0.0013956465173267708,1,,152,100
71,710,1510,0.004021981795090491,1,,155,100
72,720,1520,0.022649889755700564,1,,155,100
73,730,1530,0.02287377029523463,1,,155,100
74,740,1540,0.006480917324176253,1,,154,100
75,750,1550,0.00528651010835352,1,,156,100
76,760,1560,0.001770036559638998,1,,156,100
77,770,1570,0.008553520456459008,1,,156,100
78,780,1580,0.00025306452103923,0,,156,100
79,790,1590,0.0002809699412287157,0,,157,100
80,800,1600,0.00015184886609785728,0,,155,100
81,810,1610,1.2543564932167481e-05,0,,157,100
82,820,1620,3.6167176302561696e-05,0,,159,100
83,830,1630,8.09330287033487e-06,0,,158,100
84,840,1640,1.0130667335742572e-05,0,,159,100
85,850,1650,1.3864721523377183e-05,0,,161,100
86,860,1660,1.8529156186280328e-06,0,,160,100
87,870,1670,1.6919183743126907e-06,0,,160,100
88,880,1680,1.841411020992635e-06,0,,162,100
89,890,1690,9.410039204492996e-07,0,,163,100
90,900,1700,1.826819841103259e-07,0,,163,100
91,910,1710,2.112729851014534e-09,0,,163,100
92,920,1720,3.6461609729244963e-07,0,,161,100
93,930,1730,4.80548852921897e-09,0,,159,100
94,940,1740,1.3107214554055248e-10,0,,160,100
95,950,1750,6.565328860542724e-10,0,,160,100
96,960,1760,3.6247259179646094e-09,0,,159,100
97,970,1770,4.3219156016190533e-08,0,,158,100
98,980,1780,1.0050907378081075e-07,0,,159,100
99,990,1790,1.8095274328597276e-09,0,,159,100
100,1000,1800,3.020144937531529e-11,0,,160,100
101,1010,1810,8.142062024200811e-10,0,,161,100
102,1020,1820,3.244836408267457e-09,0,,161,100
103,1030,1830,2.4739411110872016e-09,0,,159,100
104,1040,1840,6.059803778124634e-09,0,,160,100
105,1050,1850,8.823157990883043e-07,0,,162,100
106,1060,1860,2.2634560532522807e-07,0,,161,100
107,1070,1870,7.006585563015585e-07,0,,161,100
108,1080,1880,7.011508924046955e-08,0,,160,100
109,1090,1890,4.556453906789276e-07,0,,160,100
110,1100,1900,6.526106672571596e-07,0,,159,100
111,1110,1910,2.572046042005908e-06,0,,160,100
112,1120,1920,1.3919717667908855e-06,0,,159,100
113,1130,1930,2.3380635752312536e-05,0,,159,100
114,1140,1940,9.430869780388692e-08,0,,161,100
