window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.04304804656300961,1,,164,100
1,10,810,0.0001240697450564944,0,,164,100
2,20,820,0.003595957731251694,1,,160,100
3,30,830,0.13830035902875007,1,,154,100
4,40,840,0.06138467114182637,1,,155,100
5,50,850,0.16547610064294335,1,,158,100
6,60,860,2.5543903073727567e-05,0,,157,100
7,70,870,0.11829939559565313,1,,159,100
8,80,880,0.00036738202615106756,0,,158,100
9,90,890,0.11218942363897846,1,,157,100
10,100,900,0.20657762629722481,1,,155,100
11,110,910,0.4361468355318539,1,,156,100
12,120,920,0.46980865176435793,1,,156,100
13,130,930,0.415147194949363,1,,155,100
14,140,940,0.2915288645843209,1,,157,100
15,150,950,0.4378903875118715,1,,158,100
16,160,960,0.4087850695312042,1,,158,100
17,170,970,0.37031417059936805,1,,159,100
18,180,980,0.3138958143393493,1,,161,100
19,190,990,0.409316017116697,1,,161,100
20,200,1000,0.11737770825841719,1,,162,100
21,210,1010,0.2337602850693764,1,,161,100
22,220,1020,0.13910882667066402,1,,162,100
23,230,1030,0.003273445304302184,1,,161,100
24,240,1040,0.02396280568067261,1,,160,100
25,250,1050,0.014238231575385653,1,,160,100
26,260,1060,0.15420301035394324,1,,158,100
27,270,1070,0.03607305937063347,1,,158,100
28,280,1080,0.17091686365674552,1,,159,100
29,290,1090,0.059903038134674624,1,,160,100
30,300,1100,0.31552983956457736,1,,159,100
31,310,1110,0.05133028203533027,1,,160,100
32,320,1120,0.23678707401173033,1,,160,100
33,330,1130,0.01571061284042813,1,,160,100
34,340,1140,0.02024761904084571,1,,159,100
35,350,1150,0.012091566656126485,1,,159,100
36,360,1160,0.027463275126363654,1,,158,100
37,370,1170,0.16883934978923307,1,,159,100
38,380,1180,0.021668776725522622,1,,159,100
39,390,1190,0.10256088885385937,1,,159,100
40,400,1200,0.004349393599077595,1,,157,100
41,410,1210,0.08518413143914152,1,,157,100
42,420,1220,0.09446843842665834,1,,156,100
43,430,1230,0.06635055653507115,1,,157,100
44,440,1240,0.2931798432214113,1,,157,100
45,450,1250,0.08185849322931747,1,,159,100
46,460,1260,0.0925119369141702,1,,158,100
47,470,1270,0.0021757667603797414,1,,158,100
48,480,1280,1.1684007989663956e-05,0,,157,100
49,490,1290,0.007759661792149347,1,,156,100
50,500,1300,0.343196352135294,1,,156,100
51,510,1310,0.03497586582762528,1,,153,100
52,520,1320,0.0006267989830170742,0,,156,100
53,530,1330,0.3682006506441186,1,,155,100
54,540,1340,0.03097356915986576,1,,154,100
55,550,1350,0.19303019824360082,1,,152,100
56,560,1360,0.3109628944698891,1,,151,100
57,570,1370,0.15749496588544717,1,,153,100
58,580,1380,0.0633554610747912,1,,152,100
59,590,1390,0.032131169159544545,1,,154,100
60,600,1400,0.40762837496499693,1,,153,100
