window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.0,1,,153,100
1,10,810,1.911606318639245e-07,0,,153,100
2,20,820,3.5078999156207932e-09,0,,153,100
3,30,830,0.9647490707753785,1,,152,100
4,40,840,0.003828735255404464,1,,153,100
5,50,850,8.402881201059238e-07,0,,151,100
6,60,860,1.0,1,,151,100
7,70,870,1.0,1,,152,100
8,80,880,1.0,1,,151,100
9,90,890,1.2193273089785414e-08,0,,152,100
10,100,900,0.28261275539266095,1,,153,100
11,110,910,0.0013342099408495563,1,,153,100
12,120,920,8.504181468775286e-08,0,,154,100
13,130,930,0.0010242808660374458,1,,154,100
14,140,940,3.882520869445989e-06,0,,155,100
15,150,950,1.0,1,,155,100
16,160,960,5.026660489363691e-06,0,,154,100
17,170,970,4.706699115338471e-09,0,,155,100
18,180,980,0.9294981415507573,1,,155,100
19,190,990,9.218583726601902e-08,0,,157,100
20,200,1000,1.568974431432047e-10,0,,157,100
21,210,1010,1.0,1,,157,100
22,220,1020,4.8009126753335045e-09,0,,160,100
23,230,1030,2.740510017659729e-08,0,,157,100
24,240,1040,0.9941248451292297,1,,153,100
25,250,1050,2.4760854271690298e-09,0,,151,100
26,260,1060,1.0,1,,148,100
27,270,1070,1.0,1,,145,100
28,280,1080,3.940953438539822e-08,0,,145,100
29,290,1090,0.013553427887249133,1,,144,100
30,300,1100,2.384962510124459e-08,0,,140,100
31,310,1110,0.0009076139557979096,0,,138,100
32,320,1120,1.0,1,,135,100
33,330,1130,1.0,1,,133,100
34,340,1140,0.00038989241118234113,0,,132,100
35,350,1150,1.6158923617890943e-09,0,,130,100
36,360,1160,1.0,1,,127,100
37,370,1170,3.921510494894366e-07,0,,126,100
38,380,1180,5.183103440089435e-06,0,,125,100
39,390,1190,3.019353356827583e-05,0,,122,100
40,400,1200,2.4405407312146185e-06,0,,119,100
41,410,1210,7.059590186833279e-09,0,,117,100
42,420,1220,1.555873221965662e-07,0,,116,100
43,430,1230,7.530966047955242e-09,0,,115,100
44,440,1240,0.08977337112196314,1,,111,100
45,450,1250,2.8942055599161914e-08,0,,109,100
46,460,1260,1.3735088942676763e-08,0,,108,100
47,470,1270,1.0,1,,105,100
48,480,1280,1.5572618421230038e-08,0,,105,100
49,490,1290,1.011187141721243e-09,0,,103,100
50,500,1300,1.8336747817176682e-06,0,,101,100
