window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.9882496902584595,1,,153,100
1,10,810,0.9145529543854165,1,,153,100
2,20,820,1.0,1,,153,100
3,30,830,1.0,1,,152,100
4,40,840,0.8913160258113662,1,,153,100
5,50,850,1.0,1,,151,100
6,60,860,1.0,1,,151,100
7,70,870,1.0,1,,152,100
8,80,880,1.0,1,,151,100
9,90,890,1.0,1,,152,100
10,100,900,1.0,1,,153,100
11,110,910,1.0,1,,153,100
12,120,920,1.0,1,,154,100
13,130,930,0.9941248451292297,1,,154,100
14,140,940,1.0,1,,155,100
15,150,950,1.0,1,,155,100
16,160,960,0.9941248451292297,1,,154,100
17,170,970,0.9941248451292297,1,,155,100
18,180,980,0.9823745353876893,1,,155,100
19,190,990,0.7083096690881339,1,,157,100
20,200,1000,0.6037650873024492,1,,157,100
21,210,1010,0.7028373971100652,1,,157,100
22,220,1020,0.16593806646105877,1,,160,100
23,230,1030,0.47604157356272436,1,,157,100
24,240,1040,0.6170052271331641,1,,153,100
25,250,1050,0.6418937096382379,1,,151,100
26,260,1060,0.5560034226775351,1,,148,100
27,270,1070,0.6062656177981364,1,,145,100
28,280,1080,0.6050579502771145,1,,145,100
29,290,1090,0.5519538156146268,1,,144,100
30,300,1100,0.5904563741844661,1,,140,100
31,310,1110,0.6903523943225266,1,,138,100
32,320,1120,0.9647490707753785,1,,135,100
33,330,1130,0.947123606163068,1,,133,100
34,340,1140,0.9177478318092168,1,,132,100
35,350,1150,0.9353732964215276,1,,130,100
36,360,1160,0.9882496902584595,1,,127,100
37,370,1170,0.9294981415507573,1,,126,100
38,380,1180,0.9764993805169191,1,,125,100
39,390,1190,0.9764993805169191,1,,122,100
40,400,1200,0.9706242256461488,1,,119,100
41,410,1210,0.9177478318092168,1,,117,100
42,420,1220,0.9001223671969061,1,,116,100
43,430,1230,0.8883720574553656,1,,115,100
44,440,1240,0.8824969025845955,1,,111,100
45,450,1250,0.8824969025845955,1,,109,100
46,460,1260,0.8824969025845955,1,,108,100
47,470,1270,1.0,1,,105,100
48,480,1280,1.0,1,,105,100
49,490,1290,0.9882496902584595,1,,103,100
50,500,1300,1.0,1,,101,100
