window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.6603622526132016,1,,153,100
1,10,810,0.10596384531568172,1,,153,100
2,20,820,0.11732957255326014,1,,153,100
3,30,830,0.0335027858314357,1,,152,100
4,40,840,0.03685508360195104,1,,153,100
5,50,850,0.14336373597097926,1,,151,100
6,60,860,0.5361149636978546,1,,151,100
7,70,870,0.6476396421312398,1,,152,100
8,80,880,0.7409771725105438,1,,151,100
9,90,890,0.7248967131768062,1,,152,100
10,100,900,0.801504910877466,1,,153,100
11,110,910,0.6529161356238684,1,,153,100
12,120,920,0.70907864593717,1,,154,100
13,130,930,0.8298697571741582,1,,154,100
14,140,940,0.7664962887227558,1,,155,100
15,150,950,0.5732707484877873,1,,155,100
16,160,960,0.5444897765457892,1,,154,100
17,170,970,0.47723817275328106,1,,155,100
18,180,980,0.48484064111508457,1,,155,100
19,190,990,0.557558997344252,1,,157,100
20,200,1000,0.7098015702003557,1,,157,100
21,210,1010,0.7848074861583454,1,,157,100
22,220,1020,0.6656017813804438,1,,160,100
23,230,1030,0.7626205983807214,1,,157,100
24,240,1040,0.7810520478432093,1,,153,100
25,250,1050,0.6993949903867429,1,,151,100
26,260,1060,0.881608557045511,1,,148,100
27,270,1070,0.8622067694202565,1,,145,100
28,280,1080,0.8590620256313578,1,,145,100
29,290,1090,0.42504459884278323,1,,144,100
30,300,1100,0.8591720320197951,1,,140,100
31,310,1110,0.7807448507082528,1,,138,100
32,320,1120,0.8089491100804189,1,,135,100
33,330,1130,0.7754143473129925,1,,133,100
34,340,1140,0.7038636456407283,1,,132,100
35,350,1150,0.5746865700243798,1,,130,100
36,360,1160,0.8540032763794745,1,,127,100
37,370,1170,0.6140579754191071,1,,126,100
38,380,1180,0.8171398761656921,1,,125,100
39,390,1190,0.7827335957440372,1,,122,100
40,400,1200,0.9276839619171785,1,,119,100
41,410,1210,0.617305018414626,1,,117,100
42,420,1220,0.8911334530358085,1,,116,100
43,430,1230,0.869013531342949,1,,115,100
44,440,1240,0.8824969025845955,1,,111,100
45,450,1250,0.8721272906332764,1,,109,100
46,460,1260,0.9882496902584595,1,,108,100
47,470,1270,1.0,1,,105,100
48,480,1280,1.0,1,,105,100
49,490,1290,0.9706242256461488,1,,103,100
50,500,1300,1.0,1,,101,100
