window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.05826473944267207,1,,182,100
1,10,810,4.4592279547338034e-07,0,,184,100
2,20,820,2.4372495794954015e-05,0,,185,100
3,30,830,0.7581230627250026,1,,182,100
4,40,840,5.60620417511917e-07,0,,180,100
5,50,850,2.58967266272984e-06,0,,178,100
6,60,860,0.11873870502251402,1,,174,100
7,70,870,1.7384253592654481e-07,0,,173,100
8,80,880,6.496635022746161e-06,0,,171,100
9,90,890,0.040012485199045114,1,,167,100
10,100,900,6.777294235355677e-07,0,,166,100
11,110,910,6.901484987092672e-06,0,,164,100
12,120,920,0.21451483545831915,1,,160,100
13,130,930,0.2914873071568749,1,,162,100
14,140,940,1.818536632185474e-05,0,,158,100
15,150,950,7.528346965690799e-05,0,,156,100
16,160,960,0.014502312312243401,1,,153,100
17,170,970,6.237940967967992e-07,0,,151,100
18,180,980,2.7597496939481883e-08,0,,150,100
19,190,990,2.299100296026647e-07,0,,144,100
20,200,1000,0.0001907938823943802,0,,144,100
21,210,1010,5.05724675708821e-07,0,,140,100
22,220,1020,5.9455640957845254e-09,0,,139,100
23,230,1030,2.891937820484508e-07,0,,137,100
24,240,1040,2.898846645558266e-08,0,,135,100
25,250,1050,4.1674840305191374e-08,0,,133,100
26,260,1060,0.00012938326042597777,0,,129,100
27,270,1070,0.00417888153638078,1,,130,100
28,280,1080,9.830941099229141e-08,0,,127,100
29,290,1090,1.5676078237144193e-06,0,,127,100
30,300,1100,0.035839252642328644,1,,124,100
31,310,1110,1.5222457857510962e-07,0,,121,100
32,320,1120,0.0014954263571438488,1,,120,100
33,330,1130,0.0030061539513757704,1,,116,100
34,340,1140,4.6419035143651815e-06,0,,116,100
35,350,1150,1.3372312727942543e-06,0,,115,100
36,360,1160,2.214268647250623e-05,0,,111,100
37,370,1170,3.203515646989627e-05,0,,109,100
38,380,1180,0.003321743329582779,1,,106,100
39,390,1190,0.003321743329582779,1,,106,100
40,400,1200,9.969052951691396e-05,0,,103,100
41,410,1210,1.2380815527921125e-07,0,,102,100
42,420,1220,0.059580437702539055,1,,100,100
