window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.10427078983785869,1,,182,100
1,10,810,0.0064938802003882854,1,,184,100
2,20,820,0.017434692175989502,1,,185,100
3,30,830,0.39567117944623764,1,,182,100
4,40,840,0.3825174684447332,1,,180,100
5,50,850,0.03072856296986014,1,,178,100
6,60,860,0.006319555320079491,1,,177,100
7,70,870,0.1982265762664348,1,,174,100
8,80,880,0.021962107394669382,1,,172,100
9,90,890,0.07585622853056083,1,,171,100
10,100,900,0.012243003989638943,1,,167,100
11,110,910,0.00462067385978658,1,,165,100
12,120,920,0.008392901276069094,1,,164,100
13,130,930,0.002145047395689182,1,,162,100
14,140,940,0.004254707274798107,1,,158,100
15,150,950,0.022499821495273117,1,,157,100
16,160,960,0.004884313907383341,1,,153,100
17,170,970,1.674903075042752e-06,0,,151,100
18,180,980,5.563544798161883e-05,0,,150,100
19,190,990,0.00019588514374259145,0,,146,100
20,200,1000,3.6292213556151174e-05,0,,144,100
21,210,1010,8.262199606816104e-05,0,,141,100
22,220,1020,2.5926763218760126e-06,0,,140,100
23,230,1030,0.0002464268136918527,0,,137,100
24,240,1040,0.0009617523459817247,0,,136,100
25,250,1050,3.952338279621549e-07,0,,135,100
26,260,1060,0.0238230041663592,1,,132,100
27,270,1070,1.4626249581328364e-05,0,,129,100
28,280,1080,0.0002297844844240333,0,,129,100
29,290,1090,0.008324182469728953,1,,127,100
30,300,1100,0.029404651562929773,1,,124,100
31,310,1110,6.53239744784875e-05,0,,122,100
32,320,1120,0.019460212363587404,1,,120,100
33,330,1130,0.008367066563256113,1,,120,100
34,340,1140,0.002647055037791463,1,,116,100
35,350,1150,0.0006307101065850183,0,,116,100
36,360,1160,0.008463716372690633,1,,114,100
37,370,1170,7.118921718315271e-05,0,,109,100
38,380,1180,4.761448926342404e-06,0,,109,100
39,390,1190,1.1489318560044444e-05,0,,106,100
40,400,1200,0.00013022664373805106,0,,103,100
41,410,1210,3.015461066306259e-05,0,,103,100
42,420,1220,0.007916783918019556,1,,100,100
