window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.018259669584220022,1,,182,100
1,10,810,0.003961218659878502,1,,184,100
2,20,820,0.0036974191180520564,1,,185,100
3,30,830,0.027409363673565584,1,,182,100
4,40,840,0.05925599289055117,1,,180,100
5,50,850,0.0042590790677006505,1,,178,100
6,60,860,0.005059639031040109,1,,177,100
7,70,870,0.0018765953996285768,1,,174,100
8,80,880,0.0036877757932825906,1,,172,100
9,90,890,0.024848833583794062,1,,171,100
10,100,900,0.00011440916653722079,0,,167,100
11,110,910,0.0031306961464054213,1,,165,100
12,120,920,4.119188777562328e-05,0,,164,100
13,130,930,5.0743759021687955e-05,0,,162,100
14,140,940,0.00029619339505290764,0,,158,100
15,150,950,0.015422232097067402,1,,157,100
16,160,960,8.860481580243726e-05,0,,153,100
17,170,970,7.161259154758491e-09,0,,151,100
18,180,980,6.7672875932513975e-09,0,,150,100
19,190,990,3.183628262744408e-05,0,,146,100
20,200,1000,1.4258240183608238e-06,0,,144,100
21,210,1010,1.042670632388467e-09,0,,141,100
22,220,1020,2.0474536161777647e-13,0,,140,100
23,230,1030,4.133583106147492e-06,0,,137,100
24,240,1040,4.392619445477669e-07,0,,136,100
25,250,1050,2.6432670091553137e-07,0,,135,100
26,260,1060,3.554050268438305e-14,0,,132,100
27,270,1070,1.6139412637518821e-06,0,,129,100
28,280,1080,7.183746821739641e-06,0,,129,100
29,290,1090,0.00016830126249802808,0,,127,100
30,300,1100,0.003761192679846203,1,,124,100
31,310,1110,5.0138277729809714e-06,0,,122,100
32,320,1120,0.0005053113164980096,0,,120,100
33,330,1130,0.00016425343548395069,0,,120,100
34,340,1140,0.001815926285409321,1,,116,100
35,350,1150,0.0012704737311465182,1,,116,100
36,360,1160,0.004707933029785427,1,,114,100
37,370,1170,7.937538548348709e-06,0,,109,100
38,380,1180,6.961975662592984e-07,0,,109,100
39,390,1190,2.528190512974819e-07,0,,106,100
40,400,1200,6.124391752815998e-07,0,,103,100
41,410,1210,2.416657613486893e-06,0,,103,100
42,420,1220,8.685259872815979e-06,0,,100,100
