window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,3.637733121458878e-49,0,,161,100
1,10,810,5.241311874476308e-46,0,,160,100
2,20,820,2.347441980466701e-48,0,,158,100
3,30,830,1.6716630771422446e-52,0,,155,100
4,40,840,8.009714253982653e-60,0,,152,100
5,50,850,1.2319417400976835e-71,0,,146,100
6,60,860,4.555489518307122e-78,0,,144,100
7,70,870,7.0975802226833e-77,0,,142,100
8,80,880,1.6159713077702822e-72,0,,143,100
9,90,890,1.7909983371783884e-75,0,,141,100
10,100,900,2.0881879988412748e-73,0,,140,100
11,110,910,3.996785973099658e-71,0,,140,100
12,120,920,1.806873014534663e-69,0,,142,100
13,130,930,3.9526483387914834e-75,0,,141,100
14,140,940,2.9630390571142223e-76,0,,142,100
15,150,950,1.2368294757961924e-71,0,,141,100
16,160,960,8.322603949028143e-74,0,,141,100
17,170,970,3.222569337188364e-72,0,,139,100
18,180,980,3.1405237438535565e-76,0,,140,100
19,190,990,7.076668484439553e-77,0,,142,100
20,200,1000,4.572244081156151e-79,0,,142,100
21,210,1010,8.961032447316179e-73,0,,139,100
22,220,1020,4.4847137904289236e-76,0,,138,100
23,230,1030,7.988751189816522e-73,0,,141,100
24,240,1040,1.570337796710386e-70,0,,140,100
25,250,1050,1.2388057486196982e-67,0,,140,100
26,260,1060,1.4161975919384323e-66,0,,140,100
27,270,1070,1.8463052968413773e-70,0,,140,100
28,280,1080,3.578965306637747e-68,0,,137,100
29,290,1090,1.489545524746725e-69,0,,137,100
30,300,1100,1.7076171009483317e-64,0,,136,100
31,310,1110,1.1310865550697278e-67,0,,135,100
32,320,1120,3.1546376342042614e-65,0,,135,100
33,330,1130,1.1363031459317571e-69,0,,135,100
34,340,1140,1.1526193646612805e-70,0,,133,100
35,350,1150,9.601760577332792e-66,0,,134,100
36,360,1160,7.110767681913732e-63,0,,136,100
37,370,1170,2.685005499563914e-61,0,,135,100
38,380,1180,1.6272215607545437e-63,0,,136,100
39,390,1190,5.888383457715904e-64,0,,137,100
40,400,1200,1.9716447457389316e-66,0,,137,100
41,410,1210,3.4528547155859593e-66,0,,137,100
42,420,1220,2.2423295927958204e-69,0,,139,100
43,430,1230,7.728462256477e-61,0,,138,100
44,440,1240,1.9357091563657202e-62,0,,141,100
45,450,1250,1.2062407434201367e-56,0,,142,100
46,460,1260,5.873754308898759e-59,0,,141,100
47,470,1270,4.5965051466777566e-58,0,,142,100
48,480,1280,2.306661500512915e-56,0,,143,100
49,490,1290,3.537014085705181e-56,0,,142,100
50,500,1300,1.0208447230341093e-57,0,,145,100
51,510,1310,4.378580344133233e-62,0,,145,100
52,520,1320,4.7956943007924223e-60,0,,143,100
53,530,1330,2.390667183659118e-60,0,,145,100
54,540,1340,2.7233440176964707e-62,0,,148,100
55,550,1350,9.405191187371716e-50,0,,148,100
56,560,1360,1.5520516924508729e-55,0,,150,100
57,570,1370,1.6563567801843635e-47,0,,150,100
58,580,1380,1.7259552793203512e-44,0,,152,100
59,590,1390,4.0314167126229053e-44,0,,152,100
60,600,1400,2.9994809954395316e-43,0,,154,100
61,610,1410,1.5187988425095957e-40,0,,153,100
