window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.443810189617329,1,,153,100
1,10,810,0.02240808792878207,1,,153,100
2,20,820,0.012000887155394808,1,,153,100
3,30,830,0.02704655273122759,1,,152,100
4,40,840,0.017297827391125137,1,,153,100
5,50,850,0.025653013662652536,1,,151,100
6,60,860,0.03024141054754876,1,,151,100
7,70,870,0.026949048434793826,1,,152,100
8,80,880,0.06652689412437753,1,,151,100
9,90,890,0.0029956035588658936,1,,152,100
10,100,900,0.010623224489049293,1,,153,100
11,110,910,0.04905892124718559,1,,153,100
12,120,920,0.0305615096696953,1,,154,100
13,130,930,0.020857215150182823,1,,154,100
14,140,940,0.001233532622621679,1,,155,100
15,150,950,0.003052677285256965,1,,155,100
16,160,960,0.0001671821423284986,0,,154,100
17,170,970,0.011238228915756578,1,,155,100
18,180,980,0.022299973709130793,1,,155,100
19,190,990,0.00046588807026487174,0,,157,100
20,200,1000,0.0850833435619457,1,,157,100
21,210,1010,0.22714063665736747,1,,157,100
22,220,1020,0.2432953245472499,1,,160,100
23,230,1030,0.05876253345243169,1,,157,100
24,240,1040,0.18008500048684276,1,,153,100
25,250,1050,0.12543355972826542,1,,151,100
26,260,1060,0.09793565574586223,1,,148,100
27,270,1070,0.08372226830719735,1,,145,100
28,280,1080,0.020985340651268357,1,,145,100
29,290,1090,0.010709544439094446,1,,144,100
30,300,1100,0.006862206253727786,1,,140,100
31,310,1110,0.05475330098593689,1,,138,100
32,320,1120,0.043285759006939095,1,,135,100
33,330,1130,0.10064040367443022,1,,133,100
34,340,1140,0.0791362671186979,1,,132,100
35,350,1150,0.07659190756877342,1,,130,100
36,360,1160,0.15691881270594563,1,,127,100
37,370,1170,0.3294405547291556,1,,126,100
38,380,1180,0.306271728831897,1,,125,100
39,390,1190,0.21720098666788407,1,,122,100
40,400,1200,0.08740672129932586,1,,119,100
41,410,1210,0.1871699880927922,1,,117,100
42,420,1220,0.22331355136011918,1,,116,100
43,430,1230,0.17995679286674007,1,,115,100
44,440,1240,0.41456314320299203,1,,111,100
45,450,1250,0.10276013604402584,1,,109,100
46,460,1260,0.08799270996665481,1,,108,100
47,470,1270,0.26843022855408005,1,,105,100
48,480,1280,0.36635244908527537,1,,105,100
49,490,1290,0.2036302305525481,1,,103,100
50,500,1300,0.4722967276265437,1,,101,100
