window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,4.449594537511833e-34,0,,204,100
1,10,810,3.216889208205584e-38,0,,204,100
2,20,820,2.0673597738799484e-38,0,,206,100
3,30,830,6.300697103871749e-39,0,,204,100
4,40,840,1.3575129716389392e-36,0,,202,100
5,50,850,1.7714721176900867e-39,0,,204,100
6,60,860,5.759623055730051e-48,0,,203,100
7,70,870,2.7498374560912517e-46,0,,203,100
8,80,880,7.682699162635538e-45,0,,203,100
9,90,890,7.879063911792121e-41,0,,204,100
10,100,900,6.747571106748411e-43,0,,203,100
11,110,910,2.543785633171475e-44,0,,202,100
12,120,920,1.0362142743427674e-45,0,,204,100
13,130,930,4.166386259660909e-48,0,,204,100
14,140,940,6.94636447323341e-50,0,,207,100
15,150,950,3.1456260481276527e-55,0,,206,100
16,160,960,4.8159348315812144e-52,0,,204,100
17,170,970,5.349142834772913e-54,0,,204,100
18,180,980,3.0527106085570485e-54,0,,204,100
19,190,990,2.1472551362847917e-55,0,,205,100
20,200,1000,5.786516895041693e-54,0,,205,100
21,210,1010,3.75581812050374e-58,0,,206,100
22,220,1020,1.717921365834798e-52,0,,203,100
23,230,1030,1.6024298177483735e-53,0,,202,100
24,240,1040,8.066776188064942e-55,0,,202,100
25,250,1050,5.506561401580174e-56,0,,200,100
26,260,1060,2.822154572693846e-52,0,,201,100
27,270,1070,6.021776403674846e-51,0,,202,100
28,280,1080,4.5863377613289145e-58,0,,197,100
29,290,1090,6.757330142768974e-59,0,,198,100
30,300,1100,7.270341708933549e-59,0,,200,100
31,310,1110,8.815593833357752e-62,0,,197,100
32,320,1120,5.9505596473848705e-64,0,,198,100
33,330,1130,1.1234537392641809e-67,0,,198,100
34,340,1140,3.895468910645161e-63,0,,197,100
35,350,1150,2.2527792504385662e-63,0,,198,100
36,360,1160,1.3200142814808669e-65,0,,197,100
37,370,1170,7.042850160750176e-62,0,,201,100
38,380,1180,2.702084815229136e-65,0,,201,100
39,390,1190,1.273757985376347e-72,0,,204,100
40,400,1200,3.120455109316712e-65,0,,202,100
41,410,1210,7.59198230547503e-66,0,,201,100
42,420,1220,1.6870074172302886e-65,0,,201,100
43,430,1230,1.0265046919920481e-67,0,,205,100
44,440,1240,1.2996679277149845e-60,0,,203,100
45,450,1250,2.719084163590604e-61,0,,205,100
46,460,1260,8.198305390560183e-64,0,,206,100
47,470,1270,3.2163885590776207e-59,0,,205,100
48,480,1280,1.0970112441289704e-58,0,,206,100
49,490,1290,2.3087839659275805e-59,0,,209,100
50,500,1300,1.3002516781662416e-64,0,,210,100
51,510,1310,2.3422213288740303e-66,0,,207,100
52,520,1320,6.310533966372584e-60,0,,206,100
53,530,1330,1.2606573648673837e-56,0,,207,100
54,540,1340,6.533623546021852e-60,0,,203,100
55,550,1350,1.6664140138490552e-59,0,,201,100
56,560,1360,4.6093376550994815e-63,0,,203,100
57,570,1370,1.0634943541052773e-63,0,,202,100
58,580,1380,1.5340791702089666e-61,0,,203,100
59,590,1390,2.765357554872099e-60,0,,202,100
60,600,1400,3.3287160918616568e-59,0,,204,100
61,610,1410,5.749934204103415e-60,0,,201,100
62,620,1420,5.3102113136177294e-55,0,,203,100
63,630,1430,4.996149692738987e-54,0,,200,100
64,640,1440,4.070017188054208e-51,0,,198,100
65,650,1450,2.197873134434827e-52,0,,199,100
66,660,1460,1.6165255915034414e-54,0,,199,100
67,670,1470,5.1780540702164265e-56,0,,201,100
68,680,1480,1.8425502276231294e-49,0,,202,100
69,690,1490,9.619408207049273e-52,0,,201,100
70,700,1500,1.287667612365298e-56,0,,200,100
71,710,1510,8.789164290568386e-59,0,,202,100
72,720,1520,5.012149377749512e-66,0,,201,100
73,730,1530,3.8741542453699257e-69,0,,200,100
74,740,1540,2.352040123708408e-65,0,,196,100
75,750,1550,7.837568669393147e-69,0,,199,100
76,760,1560,1.6899328146105436e-58,0,,197,100
77,770,1570,1.0122026711797311e-60,0,,198,100
78,780,1580,2.006295408270415e-62,0,,197,100
79,790,1590,1.3165972889937768e-61,0,,198,100
80,800,1600,1.576185669246399e-67,0,,197,100
81,810,1610,9.380279460422822e-67,0,,198,100
82,820,1620,1.872617627235045e-66,0,,198,100
83,830,1630,3.6921902719591096e-66,0,,199,100
84,840,1640,1.436904047206017e-69,0,,199,100
85,850,1650,1.8249214201841475e-69,0,,199,100
86,860,1660,2.0304809110235474e-68,0,,200,100
87,870,1670,7.508303253537688e-69,0,,198,100
88,880,1680,1.3616701416436355e-75,0,,198,100
89,890,1690,1.5888777352457449e-75,0,,199,100
90,900,1700,1.0112742084943387e-68,0,,199,100
91,910,1710,1.1011821563076198e-67,0,,198,100
92,920,1720,5.107348198930594e-67,0,,197,100
93,930,1730,1.5906257073561585e-62,0,,197,100
94,940,1740,6.054935237732621e-62,0,,196,100
95,950,1750,1.4751472604663586e-56,0,,199,100
96,960,1760,1.128209406089349e-57,0,,199,100
97,970,1770,9.909391037703636e-56,0,,199,100
98,980,1780,2.2788164307846657e-56,0,,199,100
99,990,1790,2.8968324660812067e-54,0,,200,100
100,1000,1800,9.507332653424192e-57,0,,199,100
101,1010,1810,2.6863134442110513e-56,0,,203,100
102,1020,1820,4.380558703680012e-57,0,,202,100
103,1030,1830,2.88324977486711e-58,0,,203,100
104,1040,1840,5.696068245205309e-59,0,,204,100
105,1050,1850,6.455493516538178e-63,0,,205,100
106,1060,1860,1.6701277983317116e-66,0,,204,100
107,1070,1870,2.4264855935590234e-64,0,,205,100
108,1080,1880,1.3864636965725503e-62,0,,203,100
109,1090,1890,3.0563147747033817e-61,0,,204,100
110,1100,1900,1.3939911784430724e-59,0,,202,100
111,1110,1910,1.0892499344589326e-58,0,,202,100
112,1120,1920,9.546016780795362e-61,0,,203,100
113,1130,1930,8.644792411986412e-61,0,,204,100
114,1140,1940,1.2091422916807077e-63,0,,203,100
115,1150,1950,6.787989244440905e-65,0,,202,100
116,1160,1960,8.610350496336686e-61,0,,201,100
117,1170,1970,2.4158306697903724e-65,0,,199,100
118,1180,1980,4.958538703585738e-70,0,,198,100
119,1190,1990,2.400764161003666e-65,0,,197,100
120,1200,2000,2.8208335691338265e-65,0,,200,100
121,1210,2010,2.731722756035347e-58,0,,201,100
122,1220,2020,1.7689633181547144e-56,0,,201,100
123,1230,2030,1.4335006954802969e-55,0,,198,100
124,1240,2040,1.0754691101717455e-54,0,,198,100
125,1250,2050,7.85506854238983e-49,0,,196,100
126,1260,2060,6.357677192506733e-50,0,,196,100
127,1270,2070,8.833046527749356e-51,0,,198,100
128,1280,2080,3.7842098750924685e-49,0,,197,100
129,1290,2090,1.276146888324126e-50,0,,198,100
130,1300,2100,2.8938715177530402e-49,0,,197,100
131,1310,2110,2.0675444503450772e-48,0,,196,100
132,1320,2120,6.021598764174543e-49,0,,198,100
133,1330,2130,8.103340409859366e-51,0,,199,100
134,1340,2140,5.514604110094534e-59,0,,199,100
135,1350,2150,1.9703931109317728e-62,0,,198,100
136,1360,2160,5.339165764393555e-57,0,,195,100
137,1370,2170,1.149511004849251e-58,0,,198,100
138,1380,2180,1.6216624586324644e-60,0,,196,100
139,1390,2190,3.498806606131416e-57,0,,197,100
140,1400,2200,2.881472745968791e-57,0,,197,100
141,1410,2210,5.319976996441981e-52,0,,196,100
142,1420,2220,1.4183727242409519e-58,0,,196,100
