window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,4.652650078492857e-31,0,,204,100
1,10,810,3.0305403325236e-33,0,,204,100
2,20,820,3.4195035213159127e-35,0,,206,100
3,30,830,7.189641962860199e-34,0,,204,100
4,40,840,8.188675653047682e-35,0,,202,100
5,50,850,4.679094081546627e-35,0,,204,100
6,60,860,6.099697942346757e-41,0,,203,100
7,70,870,3.8894120954345046e-43,0,,203,100
8,80,880,1.870129504813406e-41,0,,203,100
9,90,890,2.6234514706944315e-38,0,,204,100
10,100,900,9.769766935824229e-39,0,,203,100
11,110,910,1.0244237682644503e-42,0,,202,100
12,120,920,2.6487147911301868e-43,0,,204,100
13,130,930,4.184858946204711e-45,0,,204,100
14,140,940,7.319581829661664e-47,0,,207,100
15,150,950,7.283325931454359e-51,0,,206,100
16,160,960,1.142931464564696e-44,0,,204,100
17,170,970,7.137484545685081e-48,0,,204,100
18,180,980,2.0356137246843232e-46,0,,204,100
19,190,990,6.863522611693464e-45,0,,205,100
20,200,1000,1.711953728400353e-48,0,,205,100
21,210,1010,1.6378871793263614e-50,0,,206,100
22,220,1020,3.7629331561210214e-48,0,,203,100
23,230,1030,3.9978013697014434e-47,0,,202,100
24,240,1040,2.2358920999533917e-50,0,,202,100
25,250,1050,3.77575466947937e-50,0,,200,100
26,260,1060,1.0584566535229953e-46,0,,201,100
27,270,1070,4.316012924953196e-47,0,,202,100
28,280,1080,6.04479369168555e-51,0,,197,100
29,290,1090,1.2502035091969115e-51,0,,198,100
30,300,1100,3.078627406330411e-51,0,,200,100
31,310,1110,1.097475406418471e-48,0,,197,100
32,320,1120,1.6474063718626532e-54,0,,198,100
33,330,1130,1.5716779069211782e-55,0,,198,100
34,340,1140,2.8075884034817338e-55,0,,197,100
35,350,1150,5.849446671904053e-56,0,,198,100
36,360,1160,1.6363598441060838e-54,0,,197,100
37,370,1170,1.2098366018515536e-54,0,,201,100
38,380,1180,3.6301083509658145e-56,0,,201,100
39,390,1190,3.00007524401598e-64,0,,204,100
40,400,1200,5.1633523426937625e-59,0,,202,100
41,410,1210,2.825162297919716e-53,0,,201,100
42,420,1220,1.081661803145349e-58,0,,201,100
43,430,1230,5.301765279332105e-60,0,,205,100
44,440,1240,8.722903198815414e-57,0,,203,100
45,450,1250,7.060201475192526e-57,0,,205,100
46,460,1260,1.5263688095271506e-56,0,,206,100
47,470,1270,2.334127109217697e-55,0,,205,100
48,480,1280,1.302705602355219e-53,0,,206,100
49,490,1290,2.5498766388799427e-54,0,,209,100
50,500,1300,1.8450790393291278e-58,0,,210,100
51,510,1310,1.5293156438235303e-60,0,,207,100
52,520,1320,7.867303973485064e-57,0,,206,100
53,530,1330,2.632696954394879e-55,0,,207,100
54,540,1340,2.0254923759369542e-53,0,,203,100
55,550,1350,3.5315219399524976e-56,0,,201,100
56,560,1360,8.68679490701688e-60,0,,203,100
57,570,1370,1.4492063314762046e-60,0,,202,100
58,580,1380,4.3408083719089814e-57,0,,203,100
59,590,1390,9.555172201394487e-55,0,,202,100
60,600,1400,1.6265628867612158e-56,0,,204,100
61,610,1410,1.1269577010952208e-53,0,,201,100
62,620,1420,7.245215437890104e-53,0,,203,100
63,630,1430,2.6676902231482828e-49,0,,200,100
64,640,1440,8.264705857411166e-47,0,,198,100
65,650,1450,3.077691249520185e-49,0,,199,100
66,660,1460,1.1406049721538354e-51,0,,199,100
67,670,1470,2.9228929031921478e-50,0,,201,100
68,680,1480,1.9336390432917294e-47,0,,202,100
69,690,1490,9.491702269210756e-45,0,,201,100
70,700,1500,9.152268397442258e-51,0,,200,100
71,710,1510,8.24616821647732e-53,0,,202,100
72,720,1520,2.0736792041762575e-57,0,,201,100
73,730,1530,5.527504960335953e-59,0,,200,100
74,740,1540,2.73596105562442e-62,0,,196,100
75,750,1550,8.643905063248149e-60,0,,199,100
76,760,1560,1.5710848508691447e-58,0,,197,100
77,770,1570,1.3241072014520173e-56,0,,198,100
78,780,1580,9.007606775915103e-60,0,,197,100
79,790,1590,1.522187123902732e-57,0,,198,100
80,800,1600,1.692769001908415e-62,0,,197,100
81,810,1610,8.898335510432877e-65,0,,198,100
82,820,1620,4.671335155897117e-62,0,,198,100
83,830,1630,2.5187895392211354e-63,0,,199,100
84,840,1640,7.583779527978072e-66,0,,199,100
85,850,1650,1.1117565338011497e-65,0,,199,100
86,860,1660,1.9946923169979774e-65,0,,200,100
87,870,1670,1.33488121077692e-64,0,,198,100
88,880,1680,7.986935465247108e-71,0,,198,100
89,890,1690,2.586431498729601e-72,0,,199,100
90,900,1700,1.3424428969567306e-64,0,,199,100
91,910,1710,6.963909653575923e-61,0,,198,100
92,920,1720,9.12177180561668e-55,0,,197,100
93,930,1730,7.928959487926131e-60,0,,197,100
94,940,1740,6.573592107201602e-55,0,,196,100
95,950,1750,6.38538639139701e-50,0,,199,100
96,960,1760,3.6047313620293885e-48,0,,199,100
97,970,1770,5.723390400927705e-51,0,,199,100
98,980,1780,2.5572807417650917e-52,0,,199,100
99,990,1790,1.2099658480786655e-51,0,,200,100
