window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.0,0,,215,100
1,10,810,0.0,0,,216,100
2,20,820,0.0,0,,214,100
3,30,830,0.0,0,,213,100
4,40,840,0.0,0,,209,100
5,50,850,0.0,0,,209,100
6,60,860,0.0,0,,210,100
7,70,870,0.0,0,,211,100
8,80,880,0.0,0,,210,100
9,90,890,0.0,0,,210,100
10,100,900,0.0,0,,211,100
11,110,910,0.0,0,,210,100
12,120,920,0.0,0,,211,100
13,130,930,0.0,0,,212,100
14,140,940,0.0,0,,210,100
15,150,950,0.0,0,,210,100
16,160,960,0.0,0,,210,100
17,170,970,0.0,0,,209,100
18,180,980,0.0,1,,209,100
19,190,990,0.0,1,,210,100
20,200,1000,0.0,0,,212,100
21,210,1010,0.0,0,,213,100
22,220,1020,0.03,1,,213,100
23,230,1030,0.0,1,,214,100
24,240,1040,0.0,0,,215,100
25,250,1050,0.0,0,,214,100
26,260,1060,0.0,0,,213,100
27,270,1070,0.0,0,,211,100
28,280,1080,0.0,0,,211,100
29,290,1090,0.0,0,,213,100
30,300,1100,0.0,0,,212,100
31,310,1110,0.0,0,,213,100
32,320,1120,0.0,0,,213,100
33,330,1130,0.0,0,,215,100
34,340,1140,0.0,0,,211,100
35,350,1150,0.0,0,,214,100
36,360,1160,0.0,0,,214,100
37,370,1170,0.0,0,,213,100
38,380,1180,0.0,0,,215,100
39,390,1190,0.0,0,,216,100
40,400,1200,0.0,0,,216,100
41,410,1210,0.0,0,,216,100
42,420,1220,0.0,0,,217,100
43,430,1230,0.0,0,,216,100
44,440,1240,0.0,0,,215,100
45,450,1250,0.0,0,,216,100
46,460,1260,0.0,0,,216,100
47,470,1270,0.0,0,,218,100
48,480,1280,0.0,0,,218,100
49,490,1290,0.0,0,,217,100
50,500,1300,0.0,0,,216,100
51,510,1310,0.0,0,,216,100
52,520,1320,0.0,0,,218,100
53,530,1330,0.0,0,,217,100
54,540,1340,0.0,0,,220,100
55,550,1350,0.0,0,,219,100
56,560,1360,0.0,0,,218,100
57,570,1370,0.0,0,,220,100
58,580,1380,0.0,0,,220,100
59,590,1390,0.0,0,,220,100
60,600,1400,0.12,1,,219,100
61,610,1410,0.0,1,,218,100
62,620,1420,0.0,0,,218,100
63,630,1430,0.0,0,,215,100
