window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.51,1,,219,100
1,10,810,0.06,1,,222,100
2,20,820,0.06,1,,224,100
3,30,830,0.2,1,,225,100
4,40,840,0.1,1,,228,100
5,50,850,0.1,1,,229,100
6,60,860,0.22,1,,232,100
7,70,870,0.22,1,,235,100
8,80,880,0.21,1,,236,100
9,90,890,0.1,1,,238,100
10,100,900,0.06,1,,240,100
11,110,910,0.16,1,,242,100
12,120,920,0.23,1,,247,100
13,130,930,0.22,1,,250,100
14,140,940,0.13,1,,250,100
15,150,950,0.2,1,,250,100
16,160,960,0.22,1,,250,100
17,170,970,0.24,1,,251,100
18,180,980,0.26,1,,253,100
19,190,990,0.15,1,,257,100
20,200,1000,0.17,1,,259,100
21,210,1010,0.1,1,,263,100
22,220,1020,0.1,1,,265,100
23,230,1030,0.29,1,,265,100
24,240,1040,0.88,1,,262,100
25,250,1050,0.87,1,,260,100
26,260,1060,0.83,1,,256,100
27,270,1070,0.89,1,,254,100
28,280,1080,0.87,1,,252,100
29,290,1090,0.82,1,,249,100
30,300,1100,0.9,1,,244,100
31,310,1110,0.83,1,,243,100
32,320,1120,0.94,1,,240,100
33,330,1130,0.94,1,,238,100
34,340,1140,0.82,1,,236,100
35,350,1150,0.74,1,,234,100
36,360,1160,0.75,1,,232,100
37,370,1170,0.8,1,,230,100
38,380,1180,0.5,1,,228,100
39,390,1190,0.6,1,,225,100
40,400,1200,0.32,1,,223,100
41,410,1210,0.58,1,,220,100
42,420,1220,0.58,1,,219,100
43,430,1230,0.58,1,,218,100
44,440,1240,0.75,1,,214,100
45,450,1250,0.63,1,,212,100
46,460,1260,0.79,1,,210,100
47,470,1270,0.18,1,,208,100
48,480,1280,0.62,1,,207,100
49,490,1290,0.79,1,,205,100
50,500,1300,0.58,1,,205,100
51,510,1310,0.84,1,,201,100
52,520,1320,0.06,1,,200,100
53,530,1330,0.47,1,,200,100
54,540,1340,0.65,1,,197,100
55,550,1350,0.78,1,,194,100
56,560,1360,0.87,1,,192,100
57,570,1370,0.08,1,,187,100
58,580,1380,0.1,1,,183,100
59,590,1390,0.06,1,,179,100
60,600,1400,0.0,1,,174,100
61,610,1410,0.03,1,,169,100
62,620,1420,0.04,1,,165,100
63,630,1430,0.05,1,,160,100
64,640,1440,0.07,1,,156,100
65,650,1450,0.61,1,,151,100
66,660,1460,0.43,1,,147,100
67,670,1470,0.89,1,,144,100
68,680,1480,0.9,1,,141,100
69,690,1490,0.53,1,,137,100
70,700,1500,0.71,1,,133,100
71,710,1510,0.54,1,,128,100
72,720,1520,0.78,1,,123,100
73,730,1530,0.6,1,,119,100
74,740,1540,0.73,1,,114,100
75,750,1550,0.68,1,,110,100
76,760,1560,0.84,1,,106,100
77,770,1570,0.75,1,,102,100
