window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.0,1,,202,100
1,10,810,0.0,0,,205,100
2,20,820,0.0,0,,206,100
3,30,830,0.0,0,,204,100
4,40,840,0.0,0,,200,100
5,50,850,0.0,0,,198,100
6,60,860,0.0,0,,197,100
7,70,870,0.0,0,,194,100
8,80,880,0.0,1,,192,100
9,90,890,0.03,1,,191,100
10,100,900,0.04,1,,186,100
11,110,910,0.06,1,,184,100
12,120,920,0.06,1,,184,100
13,130,930,0.03,1,,181,100
14,140,940,0.04,1,,176,100
15,150,950,0.06,1,,175,100
16,160,960,0.1,1,,171,100
17,170,970,0.07,1,,168,100
18,180,980,0.18,1,,167,100
19,190,990,0.0,0,,164,100
20,200,1000,0.04,1,,162,100
21,210,1010,0.0,0,,159,100
22,220,1020,0.0,0,,157,100
23,230,1030,0.0,0,,153,100
24,240,1040,0.0,0,,153,100
25,250,1050,0.0,0,,151,100
26,260,1060,0.0,0,,148,100
27,270,1070,0.0,0,,145,100
28,280,1080,0.0,0,,143,100
29,290,1090,0.0,0,,140,100
30,300,1100,0.0,0,,137,100
31,310,1110,0.0,0,,135,100
32,320,1120,0.0,0,,133,100
33,330,1130,0.0,0,,132,100
34,340,1140,0.0,0,,126,100
35,350,1150,0.0,0,,126,100
36,360,1160,0.0,0,,123,100
37,370,1170,0.0,0,,119,100
38,380,1180,0.0,0,,118,100
39,390,1190,0.0,0,,113,100
40,400,1200,0.0,0,,112,100
41,410,1210,0.0,0,,110,100
42,420,1220,0.0,0,,107,100
43,430,1230,0.0,0,,105,100
44,440,1240,0.0,0,,102,100
45,450,1250,0.0,0,,100,100
