window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.8195554878467174,1,,190,100
1,15,815,0.8508353744404381,1,,195,100
2,19,819,0.8542647205311419,1,,195,100
3,23,823,0.8839273799966255,1,,196,100
4,26,826,0.8384467352708707,1,,197,100
5,33,833,0.8502884198548925,1,,199,100
6,37,837,0.7956992775466654,1,,200,100
7,44,844,0.7420763726596197,1,,201,100
8,51,851,0.7596583586863681,1,,201,100
9,56,856,0.7661947151329798,1,,202,100
10,59,859,0.4847506862217855,1,,202,100
11,67,867,0.1208635390631771,1,,204,100
12,81,881,0.11443800250945418,1,,208,100
13,85,885,0.12923041524655982,1,,209,100
14,95,895,0.09499656560079438,1,,212,100
15,104,904,0.09999074081262134,1,,215,100
16,109,909,0.09664799873347261,1,,215,100
17,113,913,0.0819838049509049,1,,216,100
18,123,923,0.10316157284372861,1,,220,100
19,134,934,0.09190605385628783,1,,224,100
20,138,938,0.08469939053221998,1,,225,100
21,147,947,0.020653266051638707,1,,226,100
22,149,949,0.012515442312733011,1,,225,100
23,165,965,0.026128088735665116,1,,228,100
24,168,968,0.03460914044696667,1,,228,100
25,175,975,0.023475404849832425,1,,230,100
26,180,980,0.01251503667004405,1,,232,100
27,185,985,0.016313861400654495,1,,233,100
28,192,992,0.013722395414756007,1,,235,100
29,196,996,0.018712482487329596,1,,234,100
30,202,1002,0.023686384986768335,1,,236,100
31,218,1018,0.04946480001077991,1,,238,100
32,226,1026,0.0841366934987424,1,,240,100
33,231,1031,0.08654841091184923,1,,242,100
34,236,1036,0.044576204031764544,1,,244,100
35,239,1039,0.03493090752150256,1,,244,100
36,250,1050,0.03737857829404466,1,,249,100
37,254,1054,0.0342124325210017,1,,250,100
38,258,1058,0.031838475541077424,1,,250,100
39,268,1068,0.024133557930125074,1,,253,100
40,284,1084,0.012935759049137921,1,,256,100
41,286,1086,0.004508377531325699,1,,256,100
42,302,1102,0.18642345025587703,1,,257,100
43,305,1105,0.09729726827542338,1,,258,100
44,312,1112,0.05690671027936835,1,,259,100
45,317,1117,0.07700489570751301,1,,261,100
46,322,1122,0.4428894078434606,1,,261,100
47,332,1132,0.418618306643662,1,,264,100
48,336,1136,0.4651128291080705,1,,264,100
49,342,1142,0.3503818783268188,1,,266,100
50,358,1158,0.2002692567362292,1,,270,100
51,366,1166,0.18237784511916783,1,,272,100
52,371,1171,0.18756801204655893,1,,273,100
53,376,1176,0.2332243546286033,1,,275,100
54,379,1179,0.27153489072204645,1,,274,100
55,390,1190,0.15670222902918135,1,,280,100
56,394,1194,0.12592891125348282,1,,280,100
57,398,1198,0.132191337830078,1,,281,100
58,408,1208,0.11073152248344023,1,,285,100
59,419,1219,0.13411761545332365,1,,287,100
60,422,1222,0.10902232180944992,1,,287,100
61,432,1232,0.1739475323268639,1,,288,100
62,446,1246,0.17108388655969356,1,,292,100
63,453,1253,0.15683520906683407,1,,292,100
64,459,1259,0.08012025670532831,1,,294,100
65,469,1269,0.0584123140203571,1,,297,100
66,478,1278,0.1923404570635582,1,,300,100
67,483,1283,0.4551484924010941,1,,301,100
68,487,1287,0.4242628057394436,1,,302,100
69,505,1305,0.38505620144238595,1,,306,100
70,507,1307,0.30437506948638665,1,,307,100
71,515,1315,0.2339014151147434,1,,308,100
72,519,1319,0.2570105688469814,1,,309,100
73,524,1324,0.2895269341644584,1,,310,100
74,527,1327,0.2808793922532141,1,,311,100
75,531,1331,0.3001556642865531,1,,311,100
76,546,1346,0.32280164569043646,1,,315,100
77,550,1350,0.3440205703875295,1,,315,100
78,560,1360,0.31494034027867396,1,,318,100
79,566,1366,0.38985218671782207,1,,318,100
80,569,1369,0.32368801895685095,1,,318,100
81,573,1373,0.25526455832569955,1,,318,100
82,586,1386,0.2749035089440466,1,,323,100
83,590,1390,0.2813618760306431,1,,324,100
84,593,1393,0.3072547758366275,1,,325,100
85,598,1398,0.42559614160156223,1,,327,100
86,601,1401,0.34313518224981976,1,,327,100
87,609,1409,0.8832502563156786,1,,328,100
88,612,1412,0.9663972634518934,1,,328,100
89,620,1420,0.9658327886735232,1,,329,100
90,635,1435,0.84339026149558,1,,332,100
91,643,1443,0.8564365359972994,1,,335,100
92,648,1448,0.8337970217391308,1,,334,100
93,653,1453,0.7897122884102685,1,,333,100
94,662,1462,0.7583282841583671,1,,332,100
95,670,1470,0.7761454526297411,1,,331,100
96,679,1479,0.772820161872227,1,,330,100
97,685,1485,0.7524252192126237,1,,329,100
98,693,1493,0.7206198753547477,1,,328,100
99,706,1506,0.22263392176115818,1,,324,100
100,711,1511,0.21411272645381096,1,,322,100
101,720,1520,0.15817993854026177,1,,318,100
102,723,1523,0.18264025485027002,1,,317,100
103,732,1532,0.1487463068660311,1,,314,100
104,735,1535,0.14075130489319215,1,,313,100
105,739,1539,0.15474298614046153,1,,312,100
106,749,1549,0.0001791328939833525,0,,307,100
107,757,1557,0.000454240211599509,0,,303,100
108,761,1561,0.0001234151928587359,0,,302,100
109,774,1574,0.00010131683462389169,0,,296,100
110,778,1578,0.000116437124114954,0,,294,100
111,782,1582,3.762327455065915e-05,0,,292,100
112,786,1586,2.7239108703041995e-05,0,,290,100
113,790,1590,4.9496623275049975e-05,0,,288,100
114,798,1598,6.340299556514518e-05,0,,285,100
115,801,1601,8.278303638256058e-05,0,,284,100
116,809,1609,5.3157569281842125e-05,0,,280,100
117,821,1621,7.049786354208812e-05,0,,274,100
118,832,1632,6.448514963074749e-05,0,,269,100
119,836,1636,6.426160390374602e-05,0,,267,100
120,840,1640,6.062559741176004e-05,0,,266,100
121,848,1648,0.0,0,,264,100
122,852,1652,0.0,0,,262,100
123,856,1656,0.03249480784505441,1,,261,100
124,864,1664,0.028378260786301738,1,,256,100
125,875,1675,0.11343462228828344,1,,251,100
126,878,1678,0.12415238971020777,1,,250,100
127,894,1694,0.6166714200319551,1,,243,100
128,898,1698,0.6178631540081841,1,,242,100
129,906,1706,0.6607407204686307,1,,238,100
130,910,1710,0.6454300018944559,1,,237,100
131,912,1712,0.6465364337937651,1,,236,100
132,923,1723,0.7097293268491368,1,,231,100
133,931,1731,0.6175179325182621,1,,227,100
134,935,1735,0.4736621943814119,1,,224,100
135,947,1747,0.4942721371097935,1,,219,100
136,950,1750,0.500755070285572,1,,218,100
137,953,1753,0.5017456647263672,1,,217,100
138,959,1759,0.6039070479161286,1,,214,100
139,965,1765,0.5654094072255188,1,,212,100
140,976,1776,0.6589798328360271,1,,207,100
141,984,1784,0.7011514627004743,1,,203,100
142,987,1787,0.655753855898425,1,,202,100
143,994,1794,0.7141205462377761,1,,200,100
144,998,1798,0.7343114890000586,1,,199,100
145,1002,1802,0.6212616834515797,1,,196,100
146,1010,1810,0.3282585001070992,1,,193,100
147,1020,1820,0.2781550260412074,1,,189,100
148,1032,1832,0.37040742562187323,1,,183,100
149,1041,1841,0.4303114696396739,1,,178,100
150,1052,1852,0.5139125701317798,1,,172,100
151,1055,1855,0.41762393009704724,1,,171,100
152,1069,1869,0.3930569567182183,1,,166,100
153,1077,1877,0.04278068306625661,1,,161,100
154,1089,1889,0.09299278649973457,1,,155,100
155,1093,1893,0.11612409666688948,1,,153,100
156,1097,1897,0.10606962837487091,1,,152,100
157,1105,1905,0.09420713017249183,1,,150,100
158,1109,1909,0.10426388641694187,1,,148,100
159,1121,1921,0.5355513096905272,1,,144,100
160,1124,1924,0.6672642901893686,1,,143,100
161,1135,1935,0.7326660178296431,1,,139,100
162,1141,1941,0.7692010832042616,1,,136,100
163,1144,1944,0.7199466101707559,1,,135,100
164,1154,1954,0.14193147456918312,1,,129,100
165,1159,1959,0.13746788464655962,1,,127,100
166,1162,1962,0.15336910776214485,1,,126,100
167,1167,1967,0.17980363535398566,1,,123,100
168,1173,1973,0.21335314951656184,1,,120,100
169,1176,1976,0.23685459412279858,1,,119,100
170,1185,1985,0.29131779394320734,1,,114,100
171,1188,1988,0.28032162758829526,1,,113,100
172,1197,1997,0.5782043158903115,1,,109,100
173,1211,2011,0.4940665459823579,1,,102,100
