window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.35348144368209056,1,,206,100
1,6,806,0.451094327253326,1,,203,100
2,10,810,0.7675392898426973,1,,204,100
3,21,821,0.7553051200985678,1,,203,100
4,25,825,0.7336083848008564,1,,204,100
5,30,830,0.6452216377073878,1,,202,100
6,44,844,0.704652033723984,1,,198,100
7,48,848,0.7688915217463024,1,,199,100
8,65,865,0.8200201635854181,1,,196,100
9,68,868,0.8632343876725168,1,,193,100
10,88,888,0.7431602892654429,1,,195,100
11,98,898,0.4243646666923851,1,,192,100
12,104,904,0.5678312709829308,1,,193,100
13,109,909,0.4531647564556565,1,,192,100
14,113,913,0.39908587642765114,1,,191,100
15,119,919,0.3515986922240902,1,,192,100
16,123,923,0.3658532289798996,1,,192,100
17,134,934,0.3404446610683612,1,,194,100
18,138,938,0.3144384810753785,1,,193,100
19,143,943,0.12399492658088979,1,,193,100
20,163,963,0.2360163203322846,1,,190,100
21,167,967,0.2018308020257146,1,,191,100
22,180,980,0.21695281519575008,1,,192,100
23,183,983,0.6300301093261601,1,,194,100
24,191,991,0.5948077286721133,1,,195,100
25,194,994,0.6388345194563472,1,,196,100
26,203,1003,0.5837102848617306,1,,195,100
27,205,1005,0.6800304801637684,1,,194,100
28,213,1013,0.7320041306567873,1,,194,100
29,215,1015,0.7514368633138038,1,,192,100
30,218,1018,0.7689694735664966,1,,192,100
31,223,1023,0.7583365722937608,1,,191,100
32,240,1040,0.713257220886967,1,,190,100
33,251,1051,0.6331912121571072,1,,186,100
34,257,1057,0.5771147165923074,1,,185,100
35,262,1062,0.41912579727586186,1,,186,100
36,266,1066,0.4683299141490169,1,,186,100
37,276,1076,0.48220444103814863,1,,185,100
38,282,1082,0.4917397276631806,1,,186,100
39,285,1085,0.6303728817935996,1,,185,100
40,292,1092,0.5381845141535887,1,,185,100
41,303,1103,0.5688993353329275,1,,185,100
42,312,1112,0.5882646795343341,1,,183,100
43,316,1116,0.5720101486833742,1,,184,100
44,326,1126,0.2966976263461493,1,,183,100
45,332,1132,0.2949829322207023,1,,183,100
46,337,1137,0.39665450031155214,1,,183,100
47,340,1140,0.42175904948008547,1,,184,100
48,349,1149,0.29554935213007777,1,,183,100
49,353,1153,0.4113515726971652,1,,182,100
50,369,1169,0.07740160287000934,1,,181,100
51,376,1176,0.008060926128735369,1,,180,100
52,384,1184,0.005248682065023256,1,,181,100
53,390,1190,0.026751831461954582,1,,181,100
54,395,1195,0.059250046624633755,1,,181,100
55,399,1199,0.07479346396955416,1,,180,100
56,405,1205,0.25902130853907784,1,,181,100
57,408,1208,0.2976197535038593,1,,180,100
58,412,1212,0.34198700512901736,1,,180,100
59,419,1219,0.17379357798029088,1,,180,100
60,426,1226,0.27467950814106473,1,,180,100
61,430,1230,0.09008055354436789,1,,179,100
62,440,1240,2.8191372861726437e-05,0,,178,100
63,446,1246,8.132460941903706e-06,0,,178,100
64,455,1255,2.5056334473387933e-05,0,,177,100
65,460,1260,2.6438078894715037e-05,0,,178,100
66,469,1269,2.9393990857079662e-05,0,,178,100
67,473,1273,2.3869079045614148e-05,0,,176,100
68,484,1284,4.398901137382258e-05,0,,178,100
69,488,1288,4.7959404612532924e-05,0,,177,100
70,491,1291,5.1124842944622734e-05,0,,177,100
71,495,1295,5.049454557202734e-06,0,,176,100
72,501,1301,6.548544668902339e-06,0,,176,100
73,514,1314,1.8912075512743483e-05,0,,177,100
74,522,1322,2.005072695218318e-05,0,,177,100
75,527,1327,1.592001494779706e-05,0,,177,100
76,532,1332,5.812279114678152e-06,0,,176,100
77,540,1340,9.003419385293632e-05,0,,176,100
78,544,1344,2.4100969479277242e-05,0,,175,100
79,548,1348,5.235709364702272e-05,0,,176,100
80,557,1357,2.9415931029709937e-05,0,,176,100
81,560,1360,1.2595513343137682e-05,0,,176,100
82,565,1365,0.0,0,,175,100
83,583,1383,0.0,0,,175,100
84,593,1393,0.0,0,,174,100
85,599,1399,0.0,0,,175,100
86,603,1403,0.0,0,,172,100
87,607,1407,0.0,0,,171,100
88,614,1414,0.0,0,,171,100
89,621,1421,0.0,0,,173,100
90,624,1424,0.0,0,,174,100
91,634,1434,0.0,0,,174,100
92,637,1437,0.0,0,,174,100
93,643,1443,0.0,0,,174,100
94,653,1453,2.4990333273182773e-05,0,,174,100
95,663,1463,9.320986404798096e-05,0,,175,100
96,666,1466,0.006079108587080684,1,,175,100
97,677,1477,0.38638409965230563,1,,176,100
98,680,1480,0.39127210250706085,1,,177,100
99,685,1485,0.37963253593934276,1,,176,100
100,693,1493,0.41171251249610796,1,,176,100
101,701,1501,0.4375874793642299,1,,176,100
102,704,1504,0.40810451084222404,1,,177,100
103,713,1513,0.4446973976803229,1,,178,100
104,722,1522,0.022952095019790356,1,,175,100
105,733,1533,0.049135223873495865,1,,176,100
106,736,1536,0.045749687950526106,1,,174,100
107,741,1541,0.04817377604910916,1,,174,100
108,751,1551,0.1671120652514686,1,,174,100
109,754,1554,0.21203704850100316,1,,174,100
110,760,1560,0.17075682430517544,1,,175,100
111,768,1568,0.253269712117688,1,,176,100
112,774,1574,0.32185095491128085,1,,173,100
113,777,1577,0.3047183039241955,1,,173,100
114,782,1582,0.317697502750027,1,,173,100
115,785,1585,0.3713884908152053,1,,172,100
116,795,1595,0.02680223089555014,1,,170,100
117,807,1607,0.05124253878327289,1,,172,100
118,815,1615,0.10635811190500542,1,,171,100
119,818,1618,0.11083122330331584,1,,171,100
120,824,1624,0.10633193110458028,1,,170,100
121,835,1635,0.20181641128234007,1,,171,100
122,845,1645,0.22052314412920973,1,,172,100
123,848,1648,0.3144654684256425,1,,171,100
124,853,1653,0.35937832330348274,1,,171,100
125,868,1668,0.39428584740488776,1,,169,100
126,874,1674,0.37927670542120784,1,,167,100
127,878,1678,0.1753441421213263,1,,168,100
128,886,1686,0.10132133579368079,1,,168,100
129,892,1692,0.20237457602805628,1,,169,100
130,897,1697,0.33591787063344053,1,,169,100
131,900,1700,0.2832334969287485,1,,168,100
132,911,1711,0.20495898619866665,1,,170,100
133,914,1714,0.14302553256652858,1,,170,100
134,920,1720,0.03933970866556549,1,,169,100
135,933,1733,0.09895386180530788,1,,169,100
136,944,1744,0.05319586795572158,1,,168,100
137,956,1756,0.08666437640365686,1,,170,100
138,964,1764,0.06789389260773077,1,,172,100
139,967,1767,0.48235720212045835,1,,172,100
140,972,1772,0.48548718948366887,1,,172,100
141,988,1788,0.25805326672530426,1,,171,100
142,997,1797,0.2952545852431789,1,,169,100
143,1002,1802,0.30465026684359875,1,,170,100
144,1008,1808,0.4372038865092698,1,,171,100
145,1013,1813,0.4073890050858661,1,,171,100
146,1017,1817,0.3808264232976261,1,,171,100
147,1027,1827,0.3632742762999108,1,,173,100
148,1032,1832,0.4191863910620169,1,,172,100
149,1036,1836,0.4113712492260313,1,,172,100
150,1043,1843,0.47585753240265527,1,,173,100
151,1064,1864,0.3071198736825472,1,,172,100
152,1074,1874,0.31305786254885276,1,,174,100
153,1078,1878,0.27096474441919877,1,,173,100
154,1082,1882,0.3011917181385949,1,,174,100
155,1090,1890,0.25083335340041496,1,,175,100
156,1093,1893,0.2920080271618018,1,,175,100
157,1102,1902,0.2864574148583417,1,,173,100
158,1109,1909,0.250333356778975,1,,174,100
159,1115,1915,0.22097416833168615,1,,173,100
160,1135,1935,0.21111847354445215,1,,177,100
161,1143,1943,0.28186344467017843,1,,175,100
162,1147,1947,0.1992343525682955,1,,175,100
163,1161,1961,0.25852876117743573,1,,178,100
164,1175,1975,0.4568686841711767,1,,176,100
165,1184,1984,0.37596343879062294,1,,175,100
166,1189,1989,0.37348684324580456,1,,175,100
167,1195,1995,0.3968481622140055,1,,176,100
168,1200,2000,0.3820444494861061,1,,176,100
169,1204,2004,0.39272105291544257,1,,176,100
170,1209,2009,0.31638042901355207,1,,176,100
171,1219,2019,0.31075503884193445,1,,177,100
172,1224,2024,0.32930887443677764,1,,178,100
173,1241,2041,0.4438888109580867,1,,177,100
174,1256,2056,0.40342984898110784,1,,178,100
175,1259,2059,0.4341465045901134,1,,179,100
176,1271,2071,0.47234140077516806,1,,180,100
177,1274,2074,0.49059103175858587,1,,180,100
178,1276,2076,0.42418750910791014,1,,179,100
179,1283,2083,0.4848477381888898,1,,181,100
180,1289,2089,0.4731537903642836,1,,180,100
181,1299,2099,0.5036590976186428,1,,182,100
182,1309,2109,0.10477771087748956,1,,181,100
183,1313,2113,0.08331630217466644,1,,182,100
184,1321,2121,0.08451287507406713,1,,183,100
185,1324,2124,0.12032751336301394,1,,182,100
186,1333,2133,0.15924425305908088,1,,183,100
187,1340,2140,0.14631453275824505,1,,184,100
188,1346,2146,0.1910952853369609,1,,184,100
189,1356,2156,0.19372504506242358,1,,185,100
190,1377,2177,0.10624882892988587,1,,186,100
191,1381,2181,0.09834604894255884,1,,189,100
192,1393,2193,0.1770872685268589,1,,190,100
193,1396,2196,0.18394604746907905,1,,190,100
194,1402,2202,0.17134124732221703,1,,190,100
195,1408,2208,0.316959088796843,1,,190,100
196,1422,2222,0.05320214904762601,1,,188,100
197,1429,2229,0.0017388721815578207,1,,187,100
198,1435,2235,0.00025978041111057097,0,,187,100
199,1440,2240,6.0665804413998726e-05,0,,187,100
200,1444,2244,3.45536187375766e-05,0,,187,100
201,1449,2249,1.5068222361379394e-06,0,,187,100
202,1452,2252,0.0,0,,186,100
203,1464,2264,0.003093227641161014,1,,185,100
204,1472,2272,0.013792687674083464,1,,185,100
205,1475,2275,0.007076505825488495,1,,185,100
206,1482,2282,0.014978564713413692,1,,186,100
207,1491,2291,0.009724581892076619,1,,185,100
208,1498,2298,0.015040342869843988,1,,186,100
209,1504,2304,0.004532479406035909,1,,184,100
210,1509,2309,0.005346132575707109,1,,183,100
211,1519,2319,0.005136668879175949,1,,184,100
212,1525,2325,0.0031583025265469787,1,,185,100
213,1529,2329,0.001789903469515889,1,,186,100
214,1538,2338,0.03662628929829333,1,,185,100
215,1541,2341,0.07044257602208305,1,,185,100
216,1551,2351,0.09010309154997102,1,,187,100
217,1554,2354,0.747140818345196,1,,187,100
218,1562,2362,0.6803105341642611,1,,185,100
219,1572,2372,0.5600079084966667,1,,186,100
220,1579,2379,0.44957116164062966,1,,187,100
221,1584,2384,0.4256918496046842,1,,187,100
222,1587,2387,0.40999407073892774,1,,186,100
223,1596,2396,0.33095290525249244,1,,187,100
224,1599,2399,0.3609348188589084,1,,187,100
225,1602,2402,0.3586385815843905,1,,186,100
226,1611,2411,0.36115792583740663,1,,187,100
227,1614,2414,0.39190759413564097,1,,187,100
228,1618,2418,0.4232411515910835,1,,187,100
229,1629,2429,0.416140911369283,1,,186,100
230,1633,2433,0.3975749014189266,1,,184,100
231,1641,2441,0.45918997363079417,1,,185,100
232,1644,2444,0.46969675412772477,1,,185,100
233,1653,2453,0.4298365869091638,1,,186,100
234,1656,2456,0.39109967336914137,1,,186,100
235,1660,2460,0.3880567902271827,1,,185,100
236,1669,2469,0.5233283571715331,1,,186,100
237,1684,2484,0.415569890484506,1,,185,100
238,1696,2496,0.07705983499377864,1,,183,100
239,1703,2503,0.03950935707762117,1,,183,100
240,1709,2509,0.0002941538798118959,0,,183,100
241,1714,2514,0.00016156443540779852,0,,183,100
242,1718,2518,1.4623361515863564e-05,0,,182,100
243,1724,2524,4.885839625125622e-06,0,,182,100
244,1732,2532,2.762544724457882e-05,0,,182,100
245,1735,2535,3.821126593808394e-05,0,,182,100
246,1742,2542,5.462954809604463e-06,0,,183,100
247,1745,2545,8.617016958137662e-06,0,,184,100
248,1758,2558,0.00286150189705866,1,,184,100
249,1764,2564,2.1626031574627488e-05,0,,183,100
250,1769,2569,2.0519176520820752e-07,0,,183,100
251,1772,2572,1.0628954152991096e-07,0,,183,100
252,1778,2578,6.89431342144439e-08,0,,184,100
253,1781,2581,5.8188401838646524e-08,0,,183,100
