window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.0,0,,207,100
1,10,810,0.0,0,,206,100
2,12,812,0.0,0,,202,100
3,21,821,0.0,0,,203,100
4,27,827,0.0,0,,202,100
5,32,832,0.0,0,,202,100
6,35,835,0.0,0,,203,100
7,39,839,0.0,0,,202,100
8,50,850,0.0,0,,203,100
9,53,853,0.0,0,,203,100
10,67,867,0.0,0,,205,100
11,70,870,0.0,0,,206,100
12,80,880,0.00020626870793723898,0,,206,100
13,83,883,0.00016032779954166073,0,,204,100
14,95,895,0.00929603587647517,1,,204,100
15,99,899,0.008592504515797274,1,,203,100
16,104,904,0.018637462767215805,1,,203,100
17,113,913,0.16756067674474745,1,,205,100
18,122,922,0.19687709667445177,1,,203,100
19,125,925,0.17045142743151143,1,,203,100
20,135,935,0.19321922593840615,1,,202,100
21,139,939,0.18886825446701982,1,,202,100
22,147,947,0.19792461528080862,1,,202,100
23,150,950,0.20935025537042903,1,,202,100
24,158,958,0.21176573063126816,1,,202,100
25,161,961,0.197644579822364,1,,201,100
26,164,964,0.19231493579237896,1,,203,100
27,168,968,0.2080167563495298,1,,203,100
28,175,975,0.19037735451748306,1,,204,100
29,178,978,0.14805713397380235,1,,205,100
30,182,982,0.1403552006571758,1,,204,100
31,188,988,0.1251256839668538,1,,205,100
32,191,991,0.12530445888158107,1,,204,100
33,195,995,0.1170352501643254,1,,204,100
34,202,1002,0.1104217152940347,1,,205,100
35,212,1012,0.07497600441918163,1,,204,100
36,215,1015,0.08025399858811941,1,,205,100
37,225,1025,0.07230248411886729,1,,205,100
38,229,1029,0.06504550554822626,1,,205,100
39,232,1032,0.08484042449997993,1,,204,100
40,241,1041,0.02593118708008077,1,,204,100
41,245,1045,0.04984447908772309,1,,204,100
42,256,1056,0.04322964636370886,1,,207,100
43,260,1060,0.0480822959121596,1,,206,100
44,262,1062,0.04761626208963606,1,,205,100
45,270,1070,0.06811626024433189,1,,206,100
46,273,1073,0.4551192424746189,1,,205,100
47,287,1087,0.25775915448878406,1,,203,100
48,297,1097,0.29828750463655596,1,,203,100
49,300,1100,0.2733025306371928,1,,201,100
50,302,1102,0.24412011258579988,1,,201,100
51,307,1107,0.27280825913618717,1,,202,100
52,317,1117,0.24427941833657424,1,,202,100
53,326,1126,0.22460759428178062,1,,201,100
54,332,1132,0.2106703914728601,1,,202,100
55,342,1142,0.2300345792610037,1,,203,100
56,345,1145,0.240701065304167,1,,203,100
57,349,1149,0.2222899024600075,1,,203,100
58,358,1158,0.24088596735762927,1,,203,100
59,361,1161,0.2531562318483617,1,,204,100
60,363,1163,0.2173735535335284,1,,203,100
61,368,1168,0.2026179234972141,1,,204,100
62,375,1175,0.22295456954276321,1,,204,100
63,379,1179,0.20512527019236204,1,,204,100
64,385,1185,0.20740466132281396,1,,205,100
65,388,1188,0.21048893778904373,1,,205,100
66,392,1192,0.21707486519291086,1,,204,100
67,399,1199,0.22036918805814498,1,,204,100
68,402,1202,0.21074035803808622,1,,203,100
69,407,1207,0.2348907484113037,1,,204,100
70,411,1211,0.25744665956804014,1,,204,100
71,416,1216,0.3099029786428977,1,,204,100
72,422,1222,0.23250257091933937,1,,203,100
73,428,1228,0.2004141000235648,1,,203,100
74,432,1232,0.14339231418647588,1,,203,100
75,435,1235,0.1433275270995109,1,,202,100
76,446,1246,0.08663194187425903,1,,199,100
77,456,1256,0.40145642871404685,1,,197,100
78,460,1260,0.5069234813252548,1,,197,100
79,463,1263,0.47655306323086744,1,,196,100
80,471,1271,0.43743225638089495,1,,195,100
81,478,1278,0.5055802649271219,1,,195,100
82,481,1281,0.46128470867399296,1,,195,100
83,486,1286,0.467873454658995,1,,195,100
84,489,1289,0.47831036127240917,1,,195,100
