window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,4.465896926762633e-05,0,,184,100
1,5,805,0.0,0,,182,100
2,15,815,0.0,0,,181,100
3,18,818,0.0,0,,181,100
4,22,822,0.0,0,,179,100
5,29,829,0.0,0,,179,100
6,32,832,0.0,0,,179,100
7,36,836,0.0,0,,179,100
8,43,843,0.0,0,,179,100
9,51,851,0.0,0,,179,100
10,54,854,0.0,0,,179,100
11,60,860,0.0,0,,179,100
12,63,863,0.0,0,,179,100
13,68,868,0.0,0,,180,100
14,70,870,0.0,0,,179,100
15,75,875,0.0,0,,179,100
16,83,883,0.0,0,,180,100
17,90,890,0.0,0,,179,100
18,100,900,0.0,0,,181,100
19,109,909,0.0,0,,180,100
20,116,916,0.0,0,,180,100
21,125,925,0.0,0,,182,100
22,138,938,0.011640289523776676,1,,178,100
23,146,946,0.033769197098689856,1,,180,100
24,150,950,0.04687351619572779,1,,180,100
25,154,954,0.041264867369970676,1,,180,100
26,161,961,0.30509917882000565,1,,181,100
27,170,970,0.3077162449266758,1,,181,100
28,178,978,0.31808191518854056,1,,182,100
29,182,982,0.31720581566253214,1,,183,100
30,190,990,0.35741556683924486,1,,185,100
31,199,999,0.32797173435899024,1,,183,100
32,203,1003,0.33147082039719006,1,,182,100
33,210,1010,0.3137195912705547,1,,184,100
34,214,1014,0.3351262039889484,1,,183,100
35,224,1024,0.33682057656863196,1,,182,100
36,227,1027,0.34345460960835217,1,,182,100
37,235,1035,0.35962171799752846,1,,184,100
38,238,1038,0.3635436774548713,1,,184,100
39,248,1048,0.36975485011874437,1,,184,100
40,252,1052,0.3700231031162124,1,,184,100
41,256,1056,0.38657119226031617,1,,184,100
42,267,1067,0.3889453945375262,1,,183,100
43,270,1070,0.39909499404541465,1,,183,100
44,277,1077,0.3366200683591028,1,,182,100
45,281,1081,0.31792054529178954,1,,182,100
46,291,1091,0.2731570526254092,1,,184,100
47,296,1096,0.29529386747268777,1,,183,100
48,309,1109,0.3661952781683985,1,,184,100
49,313,1113,0.3396173434039632,1,,184,100
50,317,1117,0.5025228870875146,1,,184,100
51,324,1124,0.5357773909167245,1,,184,100
52,331,1131,0.5373328240260726,1,,184,100
53,334,1134,0.5287885342325844,1,,183,100
54,345,1145,0.7391648153255411,1,,182,100
55,353,1153,0.7317180362240105,1,,182,100
56,356,1156,0.7357526337658212,1,,180,100
57,364,1164,0.7135676983704927,1,,180,100
58,367,1167,0.681240278695914,1,,177,100
59,371,1171,0.6816330268797013,1,,177,100
60,383,1183,0.6542022077894629,1,,175,100
61,390,1190,0.6245370040695609,1,,174,100
62,397,1197,0.5595272523002485,1,,176,100
63,405,1205,0.6336248487114963,1,,176,100
64,411,1211,0.6140726549708128,1,,176,100
65,414,1214,0.3120224576475096,1,,175,100
66,421,1221,0.29952121659062325,1,,174,100
67,424,1224,0.31775695870066695,1,,174,100
68,426,1226,0.26816513707898415,1,,174,100
69,435,1235,0.3610036216689741,1,,174,100
70,438,1238,0.3368057856257015,1,,174,100
71,442,1242,0.2870600395292987,1,,174,100
72,449,1249,0.3152605576449446,1,,174,100
73,457,1257,0.3172179058038435,1,,174,100
74,463,1263,0.32912486930721785,1,,173,100
75,469,1269,0.4667184106734054,1,,175,100
76,477,1277,0.42752249533302594,1,,175,100
77,480,1280,0.44532464339865685,1,,175,100
78,482,1282,0.4625840696570637,1,,174,100
79,489,1289,0.43044609417386753,1,,174,100
80,493,1293,0.45828726402024544,1,,174,100
81,499,1299,0.41080831910506976,1,,174,100
82,502,1302,0.4108284734310661,1,,173,100
83,520,1320,0.17840448999735686,1,,175,100
84,528,1328,0.2498456284184261,1,,176,100
85,531,1331,0.0018141645248843706,1,,173,100
86,535,1335,0.003421264125546519,1,,172,100
87,541,1341,0.0044501968304337565,1,,171,100
88,544,1344,0.08617029627016062,1,,171,100
89,560,1360,0.24250974781172985,1,,175,100
90,566,1366,0.2756080157438246,1,,176,100
91,569,1369,0.17913156859312027,1,,176,100
92,578,1378,0.228846365976434,1,,176,100
93,581,1381,0.1416287894380341,1,,176,100
94,589,1389,0.2176021640016427,1,,177,100
95,596,1396,0.2956091164476907,1,,177,100
96,602,1402,0.2703709436088846,1,,178,100
97,609,1409,0.20774007332126868,1,,178,100
98,614,1414,0.23677647018931441,1,,179,100
99,617,1417,0.2680945681344907,1,,178,100
100,621,1421,0.22931653404386,1,,178,100
101,628,1428,0.22497378303226426,1,,178,100
102,631,1431,0.19816943001627296,1,,177,100
103,635,1435,0.215039981618144,1,,177,100
104,643,1443,0.1901590687735546,1,,177,100
105,651,1451,0.5573798850629808,1,,177,100
106,655,1455,0.4364379712666219,1,,177,100
107,659,1459,0.4061499936941379,1,,176,100
108,668,1468,0.24353984199376458,1,,177,100
109,671,1471,0.3451001468825315,1,,177,100
110,676,1476,0.32026685570005403,1,,177,100
111,682,1482,0.19754150827373834,1,,177,100
112,688,1488,0.0774473929003779,1,,177,100
113,693,1493,0.04993896484453634,1,,177,100
114,697,1497,0.028297899591210908,1,,176,100
115,712,1512,0.06250455459740085,1,,179,100
116,722,1522,0.10250644095077614,1,,176,100
117,726,1526,0.07457934805041244,1,,176,100
118,735,1535,0.048131288216673056,1,,175,100
119,738,1538,0.05336567062468845,1,,174,100
120,742,1542,0.06427180595312422,1,,175,100
121,747,1547,0.1059818523702688,1,,175,100
122,756,1556,0.09219725502404633,1,,177,100
123,763,1563,0.09344044520135679,1,,177,100
124,766,1566,0.0890579555431169,1,,177,100
125,770,1570,0.07291498374273792,1,,177,100
126,776,1576,0.07516127549884413,1,,178,100
127,790,1590,5.8919961783755187e-05,0,,176,100
128,793,1593,5.374811024303818e-05,0,,175,100
129,800,1600,8.344365740245675e-05,0,,176,100
130,806,1606,0.00011548776353792668,0,,177,100
131,809,1609,7.194542417955908e-05,0,,176,100
132,811,1611,6.772052930636193e-05,0,,176,100
133,826,1626,0.0,0,,174,100
134,830,1630,0.0,0,,175,100
135,836,1636,0.0,0,,174,100
136,840,1640,0.492528059238795,1,,174,100
137,845,1645,0.5458520900281344,1,,174,100
138,854,1654,0.620078890630243,1,,174,100
139,857,1657,0.6523354439829451,1,,173,100
140,861,1661,0.6430801412655105,1,,174,100
141,865,1665,0.6678332355566616,1,,173,100
142,868,1668,0.6550135964797525,1,,173,100
143,875,1675,0.6746894320611543,1,,175,100
144,880,1680,0.7115261680151999,1,,175,100
145,887,1687,0.6939864085163183,1,,174,100
146,891,1691,0.6692204942357735,1,,174,100
147,896,1696,0.6674587775929145,1,,174,100
148,902,1702,0.7055356002671122,1,,174,100
149,908,1708,0.7137022857166828,1,,175,100
150,910,1710,0.6295902696175453,1,,175,100
151,918,1718,0.608917323104865,1,,175,100
152,921,1721,0.590146067559989,1,,175,100
153,925,1725,0.596351406025863,1,,173,100
154,932,1732,0.6181316701696025,1,,174,100
155,940,1740,0.5907024073475139,1,,174,100
156,944,1744,0.5292748613339511,1,,173,100
157,948,1748,0.5268185622249939,1,,174,100
158,954,1754,0.5197571390759147,1,,173,100
159,959,1759,0.5549333917220678,1,,172,100
160,964,1764,0.5451468904572055,1,,172,100
161,973,1773,0.5589500636569645,1,,173,100
162,976,1776,0.5556176631076865,1,,173,100
163,979,1779,0.5433021331808313,1,,172,100
164,990,1790,0.5340399946899606,1,,171,100
165,993,1793,0.5146314614859389,1,,171,100
166,998,1798,0.5645418700365644,1,,170,100
167,1004,1804,0.5793776865024828,1,,170,100
168,1007,1807,0.5709526393531879,1,,170,100
169,1013,1813,0.5968224465249684,1,,171,100
170,1016,1816,0.5637370510243964,1,,169,100
171,1022,1822,0.5582988863653079,1,,170,100
172,1025,1825,0.5706478941078129,1,,170,100
173,1034,1834,0.025971900931779833,1,,167,100
174,1050,1850,0.027993439246495562,1,,167,100
175,1054,1854,0.02749860998269427,1,,168,100
176,1061,1861,0.031522279087610294,1,,169,100
177,1067,1867,0.020157687943452594,1,,168,100
178,1073,1873,0.024219364860581627,1,,168,100
179,1076,1876,0.026935205482908488,1,,168,100
180,1088,1888,0.023382609432458037,1,,167,100
181,1094,1894,0.02269766059656155,1,,167,100
182,1098,1898,0.02319510444349309,1,,167,100
183,1106,1906,0.019711153052256316,1,,167,100
184,1113,1913,0.025661016864308862,1,,167,100
185,1119,1919,0.037493340868565754,1,,168,100
186,1123,1923,0.03384900353877487,1,,170,100
187,1126,1926,0.031488510687627196,1,,170,100
188,1135,1935,0.026986294096328953,1,,172,100
189,1142,1942,0.019786548002908584,1,,172,100
190,1147,1947,0.02358221231202222,1,,172,100
191,1154,1954,0.0175799327318758,1,,173,100
192,1164,1964,0.1217391374953672,1,,171,100
193,1167,1967,0.6105897276918959,1,,171,100
194,1173,1973,0.5731477364410509,1,,172,100
195,1184,1984,0.6617885496348475,1,,174,100
196,1193,1993,0.6685240200070965,1,,172,100
197,1199,1999,0.6213242442086351,1,,173,100
198,1205,2005,0.6330473998157348,1,,173,100
199,1208,2008,0.6638695409575459,1,,172,100
200,1219,2019,0.6658769905051168,1,,174,100
201,1222,2022,0.7238042772677958,1,,174,100
202,1229,2029,0.7106444763018376,1,,173,100
203,1232,2032,0.7278300809106233,1,,174,100
204,1236,2036,0.7262231573589503,1,,173,100
205,1242,2042,0.6374917576765574,1,,173,100
206,1249,2049,0.6063054357642625,1,,174,100
207,1252,2052,0.5729464877547216,1,,174,100
208,1257,2057,0.53344335089573,1,,174,100
209,1266,2066,0.5563676158324019,1,,172,100
210,1276,2076,0.5936071026486341,1,,175,100
211,1282,2082,0.625120946378493,1,,176,100
212,1288,2088,0.5798718667595312,1,,177,100
213,1291,2091,0.6076739536082287,1,,176,100
214,1299,2099,0.5896983183996755,1,,177,100
215,1303,2103,0.6025703400969765,1,,177,100
