window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.6604368268975243,1,,188,100
1,3,803,0.6794571680204831,1,,187,100
2,13,813,0.6968832727198975,1,,187,100
3,18,818,0.6357225079251095,1,,187,100
4,21,821,0.6787617922810122,1,,184,100
5,27,827,0.4927723851844834,1,,179,100
6,31,831,0.48679278936068426,1,,179,100
7,41,841,0.1296742121397575,1,,179,100
8,53,853,0.15611295612729664,1,,180,100
9,56,856,0.1708941391685779,1,,178,100
10,60,860,0.17203501386851905,1,,178,100
11,69,869,0.1117381526687781,1,,178,100
12,76,876,0.1023317928365889,1,,177,100
13,83,883,0.05999627674897316,1,,176,100
14,86,886,0.07044162683920344,1,,175,100
15,95,895,0.1517978838497221,1,,175,100
16,100,900,0.12787738463622747,1,,175,100
17,103,903,0.12681469557532168,1,,175,100
18,107,907,0.10061007534725402,1,,175,100
19,114,914,0.15139355987195027,1,,174,100
20,117,917,0.13551559050860285,1,,174,100
21,123,923,0.13141688686311995,1,,175,100
22,131,931,0.16508979726998474,1,,175,100
23,134,934,0.16132689232465203,1,,175,100
24,142,942,0.1970644521645383,1,,176,100
25,152,952,0.1970830727164982,1,,176,100
26,156,956,0.1807619491763086,1,,176,100
27,160,960,0.18133591652351824,1,,177,100
28,167,967,0.18793028656386274,1,,177,100
29,170,970,0.18404571244129658,1,,177,100
30,179,979,0.17132802739657874,1,,179,100
31,183,983,0.17344202566349676,1,,178,100
32,193,993,0.149511208751215,1,,180,100
33,199,999,0.14928852625244554,1,,179,100
34,205,1005,0.138035916014037,1,,180,100
35,210,1010,0.1591068514690916,1,,180,100
36,220,1020,0.14831010627904512,1,,182,100
37,225,1025,0.14281272142303034,1,,181,100
38,230,1030,0.1413830053131091,1,,181,100
39,239,1039,0.18940400692709639,1,,180,100
40,243,1043,0.16161207111472323,1,,180,100
41,246,1046,0.14965906160391507,1,,179,100
42,253,1053,0.13516145104448174,1,,179,100
43,259,1059,0.14801986020295235,1,,179,100
44,263,1063,0.14729144927375326,1,,179,100
45,270,1070,0.1726435099863123,1,,179,100
46,273,1073,0.22458407232359104,1,,179,100
47,277,1077,0.3408312065244436,1,,179,100
48,284,1084,0.11678480724812657,1,,178,100
49,288,1088,0.1036427561259607,1,,179,100
50,297,1097,0.12344063950085603,1,,181,100
51,301,1101,0.10396904156948127,1,,181,100
52,307,1107,0.08526705000001165,1,,180,100
53,315,1115,0.12982196590258968,1,,181,100
54,318,1118,0.12561479302262415,1,,181,100
55,324,1124,0.13863005416679738,1,,181,100
56,328,1128,0.1445947050511976,1,,181,100
57,333,1133,0.17097645274436066,1,,179,100
58,336,1136,0.16200983003784225,1,,179,100
59,343,1143,0.1438289562594876,1,,180,100
60,347,1147,0.11671177149753856,1,,180,100
61,350,1150,0.12925542110516705,1,,180,100
62,359,1159,0.1211156948292277,1,,180,100
63,363,1163,0.12566565069797037,1,,181,100
64,371,1171,0.12372732341333481,1,,181,100
65,377,1177,0.13935577853004616,1,,181,100
66,379,1179,0.1203594330214505,1,,180,100
67,386,1186,0.1134790424147683,1,,181,100
68,394,1194,0.11742767614409103,1,,182,100
69,397,1197,0.11956110634707617,1,,182,100
70,401,1201,0.09811502903187588,1,,181,100
71,410,1210,0.08180055251495413,1,,181,100
72,413,1213,0.074146918048439,1,,181,100
73,421,1221,0.05549575034518441,1,,181,100
74,430,1230,0.07342843312963876,1,,180,100
75,435,1235,0.0748325751365236,1,,180,100
76,440,1240,0.07770143796413947,1,,180,100
77,447,1247,0.07625832640104128,1,,180,100
78,455,1255,0.052142673772272864,1,,181,100
79,459,1259,0.05102301222842651,1,,181,100
80,466,1266,0.04332159211634753,1,,181,100
81,472,1272,0.04577086623821352,1,,182,100
82,478,1278,0.043797213539587265,1,,181,100
83,483,1283,0.04141256718735956,1,,181,100
84,486,1286,0.04237230575582339,1,,181,100
85,490,1290,0.04322839063892218,1,,179,100
86,502,1302,0.052519012862584716,1,,178,100
87,505,1305,0.043142546442112024,1,,177,100
88,510,1310,0.034638322046225654,1,,177,100
89,516,1316,0.48139207136961826,1,,177,100
90,523,1323,0.47145511163103443,1,,179,100
91,526,1326,0.45993938063068956,1,,178,100
92,529,1329,0.4651330964352374,1,,178,100
93,543,1343,0.5580349910602267,1,,176,100
94,548,1348,0.5273807501456127,1,,175,100
95,552,1352,0.5325172095629988,1,,176,100
96,556,1356,0.5222175801719234,1,,176,100
97,560,1360,0.47193163871513166,1,,175,100
98,568,1368,0.4348774931454362,1,,177,100
99,575,1375,0.46828333232544533,1,,177,100
100,580,1380,0.4559153772766961,1,,177,100
101,585,1385,0.4332450172853111,1,,177,100
102,589,1389,0.5024196539907433,1,,177,100
103,597,1397,0.46804661238005973,1,,177,100
104,600,1400,0.46650028699749263,1,,177,100
105,606,1406,0.44205879329118924,1,,177,100
106,614,1414,0.4820232138938654,1,,175,100
107,619,1419,0.4522029183914687,1,,176,100
108,627,1427,0.6467778165685962,1,,177,100
109,639,1439,0.7637056319791872,1,,175,100
110,647,1447,0.7336940464610175,1,,174,100
111,652,1452,0.7206704239666535,1,,174,100
112,658,1458,0.7260219848495666,1,,175,100
113,664,1464,0.7261687624227409,1,,175,100
114,668,1468,0.7280565662630458,1,,176,100
115,674,1474,0.7390946955666096,1,,176,100
116,682,1482,0.7480108733787905,1,,176,100
117,686,1486,0.748898544701721,1,,176,100
118,690,1490,0.75502544533308,1,,175,100
119,698,1498,0.7242324314694395,1,,176,100
120,701,1501,0.6361010018443694,1,,176,100
121,718,1518,0.19738174473987324,1,,177,100
122,721,1521,0.1323174664429544,1,,176,100
123,728,1528,0.15129840006851833,1,,177,100
124,734,1534,0.16928026413423294,1,,178,100
125,742,1542,0.16015512106765575,1,,177,100
126,754,1554,0.18144850250510486,1,,177,100
127,758,1558,0.15645663395505063,1,,177,100
128,769,1569,0.13553242143089891,1,,179,100
129,775,1575,0.2596037154369587,1,,179,100
130,780,1580,0.19243013077577356,1,,177,100
131,789,1589,0.1411951309918842,1,,177,100
132,795,1595,0.2515451315735989,1,,177,100
133,800,1600,0.21893748033392804,1,,176,100
134,807,1607,0.24913524699677608,1,,177,100
135,812,1612,0.20789221432325672,1,,179,100
136,816,1616,0.17235055533132648,1,,179,100
137,824,1624,0.22429561026931583,1,,180,100
138,827,1627,0.21889319326505602,1,,179,100
139,831,1631,0.3017294979199165,1,,180,100
140,841,1641,0.15906357518368489,1,,180,100
141,848,1648,0.04336011036072421,1,,179,100
142,857,1657,0.06112814286621654,1,,180,100
143,861,1661,0.04286094801505647,1,,180,100
144,866,1666,0.01729454945398197,1,,180,100
145,869,1669,0.016624436881878705,1,,180,100
146,880,1680,0.0068108290759229875,1,,181,100
147,888,1688,0.0061578284202020534,1,,182,100
148,900,1700,0.007924479444897313,1,,182,100
149,903,1703,0.010587984857824131,1,,181,100
150,909,1709,0.01981001908679774,1,,183,100
151,915,1715,0.023392887315688914,1,,182,100
152,918,1718,0.033226002554375536,1,,181,100
153,921,1721,0.040187942011406776,1,,180,100
154,925,1725,0.08044908546429438,1,,180,100
155,931,1731,0.05379706830972854,1,,180,100
156,934,1734,0.07821912397930392,1,,180,100
157,938,1738,0.28482244749536456,1,,181,100
158,945,1745,0.3146856935401082,1,,182,100
159,948,1748,0.2925889993949886,1,,181,100
160,954,1754,0.3257761110138259,1,,181,100
161,957,1757,0.3440690128103378,1,,181,100
162,960,1760,0.3368855435135198,1,,180,100
163,968,1768,0.34874619109743543,1,,179,100
164,972,1772,0.29788324939198674,1,,178,100
165,976,1776,0.312127884435482,1,,178,100
166,979,1779,0.3055524522967616,1,,178,100
167,989,1789,0.2598144746042509,1,,180,100
168,993,1793,0.2737293150890644,1,,180,100
169,1005,1805,0.2755591225356222,1,,181,100
170,1012,1812,0.24746261697312036,1,,181,100
171,1016,1816,0.2827154097825745,1,,180,100
172,1027,1827,0.2723486587012014,1,,180,100
173,1030,1830,0.27343706074169855,1,,179,100
174,1035,1835,0.2864830842899773,1,,180,100
175,1046,1846,0.323092941111075,1,,182,100
176,1050,1850,0.34322814674042285,1,,182,100
177,1061,1861,0.2785399975985906,1,,181,100
178,1065,1865,0.28020990893214837,1,,181,100
179,1072,1872,0.3173335825753122,1,,181,100
180,1075,1875,0.2849365316592057,1,,181,100
181,1080,1880,0.28591807070036046,1,,180,100
182,1086,1886,0.7745701209816438,1,,180,100
183,1089,1889,0.7539809280005563,1,,179,100
184,1092,1892,0.7056581286380847,1,,179,100
185,1097,1897,0.7806779220992364,1,,178,100
186,1103,1903,0.7325164302468272,1,,179,100
187,1108,1908,0.6711266123181583,1,,179,100
188,1113,1913,0.5300226462403017,1,,179,100
189,1120,1920,0.5473836591669653,1,,179,100
190,1123,1923,0.49927087104135,1,,179,100
191,1130,1930,0.48250275362412276,1,,180,100
192,1136,1936,0.5197172969799491,1,,179,100
193,1143,1943,0.5345814294113455,1,,179,100
194,1147,1947,0.530432056444243,1,,178,100
195,1158,1958,0.5778711635555974,1,,177,100
196,1168,1968,0.15653689150370764,1,,174,100
197,1176,1976,0.11522460934854811,1,,175,100
198,1181,1981,0.13885655511759742,1,,176,100
199,1189,1989,0.18349591366528256,1,,176,100
200,1194,1994,0.047931223867935926,1,,177,100
201,1206,2006,0.02473248747456963,1,,176,100
202,1211,2011,0.02480076815678937,1,,177,100
203,1223,2023,0.024410264506319612,1,,177,100
204,1230,2030,0.03983802433635003,1,,177,100
205,1234,2034,0.04089797926657146,1,,176,100
206,1237,2037,0.04878841728686928,1,,176,100
207,1245,2045,0.04458522100051815,1,,177,100
208,1249,2049,0.047057168306300884,1,,176,100
209,1255,2055,0.03777370967789995,1,,178,100
210,1259,2059,0.043000276740937066,1,,177,100
211,1269,2069,0.03840034978540548,1,,177,100
212,1277,2077,0.029824873198898434,1,,178,100
213,1281,2081,0.03858263071297438,1,,177,100
214,1293,2093,0.04180532076930548,1,,180,100
215,1297,2097,0.05674890319801738,1,,179,100
216,1308,2108,0.010921366537477502,1,,181,100
217,1313,2113,0.007512325641457747,1,,181,100
218,1320,2120,0.017093529329408944,1,,180,100
219,1325,2125,0.012467646437306188,1,,180,100
220,1333,2133,0.018778550482901217,1,,181,100
221,1337,2137,0.014063650566041907,1,,181,100
222,1342,2142,0.04567064501942067,1,,182,100
223,1351,2151,0.03596964080718833,1,,181,100
224,1354,2154,0.03729392844693916,1,,181,100
225,1362,2162,0.03741873104107913,1,,181,100
226,1368,2168,0.03138140652094601,1,,183,100
227,1374,2174,0.034514641820066846,1,,182,100
228,1378,2178,0.05032311676226308,1,,182,100
229,1390,2190,0.036848262144572284,1,,183,100
230,1395,2195,0.03680514365188366,1,,182,100
231,1398,2198,0.032539694364114705,1,,181,100
232,1404,2204,0.03772836237365352,1,,182,100
233,1415,2215,0.04123060492835385,1,,183,100
234,1418,2218,0.03931855313783051,1,,182,100
235,1429,2229,0.048362705760011115,1,,185,100
236,1433,2233,0.048132453990721434,1,,185,100
237,1439,2239,0.047422664425382295,1,,185,100
238,1442,2242,0.053868637374874656,1,,185,100
239,1448,2248,0.06062298727271515,1,,186,100
240,1453,2253,0.05080142226657418,1,,185,100
241,1457,2257,0.032671812236196224,1,,185,100
242,1469,2269,0.0026181575004362995,1,,185,100
243,1473,2273,0.0029902394952636712,1,,184,100
244,1478,2278,0.004188373719259938,1,,184,100
245,1480,2280,0.004167625053405675,1,,183,100
246,1485,2285,0.004552407340991944,1,,183,100
247,1491,2291,0.003943954382404397,1,,183,100
248,1494,2294,0.004253525476562973,1,,183,100
249,1501,2301,0.004253403972343851,1,,181,100
250,1505,2305,0.0018321359332804197,1,,182,100
251,1518,2318,0.024871987317931027,1,,178,100
252,1527,2327,0.020015821456096518,1,,178,100
253,1538,2338,0.01811096795158338,1,,178,100
254,1542,2342,0.018129563005329814,1,,177,100
255,1547,2347,0.025453410218025378,1,,178,100
256,1554,2354,0.020615318111319992,1,,179,100
257,1562,2362,0.018249794623534533,1,,177,100
258,1564,2364,0.020944193872434024,1,,177,100
259,1571,2371,0.021692777621089104,1,,178,100
260,1574,2374,0.025732114603594352,1,,177,100
261,1581,2381,0.02139668526395045,1,,177,100
262,1586,2386,0.022617709504149677,1,,178,100
263,1592,2392,0.01997045900698476,1,,178,100
264,1601,2401,0.024842743494375312,1,,180,100
265,1612,2412,0.021689288351147782,1,,179,100
266,1615,2415,0.024217870370741485,1,,178,100
267,1618,2418,0.02313576005827881,1,,179,100
268,1624,2424,0.02689893541565125,1,,178,100
269,1631,2431,0.02136027044799809,1,,177,100
270,1634,2434,0.019835182588562497,1,,177,100
271,1637,2437,0.01976212836298457,1,,177,100
272,1643,2443,0.020827315904530096,1,,179,100
273,1649,2449,0.02655966954208504,1,,179,100
274,1652,2452,0.3749330275455157,1,,179,100
275,1658,2458,0.2931521140137171,1,,178,100
276,1662,2462,0.21205152679478823,1,,178,100
277,1667,2467,0.24469780627605106,1,,179,100
278,1679,2479,0.11794683486675957,1,,180,100
279,1683,2483,0.06944591371467315,1,,180,100
280,1686,2486,0.06863459801495629,1,,179,100
281,1694,2494,0.0573759469520022,1,,179,100
282,1698,2498,0.09372549207231537,1,,179,100
283,1705,2505,0.09538080664150066,1,,178,100
284,1709,2509,0.09560519517961304,1,,178,100
285,1715,2515,0.15614588424754042,1,,177,100
286,1722,2522,0.1547123762113912,1,,179,100
287,1738,2538,0.14405141228695204,1,,178,100
288,1742,2542,0.15041283591093757,1,,177,100
289,1747,2547,0.12595877364850186,1,,177,100
290,1751,2551,0.13509623818519675,1,,177,100
291,1759,2559,0.11446690779898996,1,,178,100
292,1770,2570,0.11216954058056522,1,,179,100
293,1773,2573,0.10315383264897389,1,,178,100
294,1779,2579,0.06162324865162444,1,,179,100
295,1789,2589,0.0355228203940921,1,,176,100
296,1793,2593,0.037134231921582016,1,,176,100
297,1798,2598,0.037863165596593445,1,,176,100
298,1801,2601,0.040090032353527726,1,,176,100
299,1805,2605,0.03841921520162239,1,,175,100
300,1809,2609,0.040785163066175655,1,,175,100
301,1819,2619,0.03882874214855516,1,,177,100
302,1825,2625,0.038972790311557495,1,,178,100
303,1836,2636,0.06542569620139421,1,,179,100
304,1841,2641,0.06404155236771612,1,,179,100
305,1844,2644,0.07411704466411416,1,,179,100
306,1850,2650,0.07264802238042385,1,,179,100
307,1856,2656,0.07670525807314967,1,,180,100
308,1863,2663,0.06979780594548532,1,,181,100
309,1871,2671,0.07297989281221501,1,,183,100
310,1874,2674,0.07914860024948965,1,,184,100
311,1886,2686,0.0633301997730315,1,,185,100
312,1890,2690,0.06847128175764261,1,,185,100
313,1898,2698,0.07144694533012755,1,,184,100
314,1901,2701,0.10083618804690035,1,,183,100
315,1905,2705,0.14433262283270734,1,,183,100
316,1913,2713,0.19842473299351904,1,,183,100
317,1918,2718,0.17096797457810178,1,,184,100
318,1921,2721,0.25965842210928713,1,,184,100
319,1927,2727,0.33527132871967225,1,,184,100
320,1935,2735,0.35458208045601586,1,,184,100
321,1938,2738,0.3294294297260355,1,,184,100
322,1940,2740,0.3215728603612281,1,,184,100
323,1948,2748,0.32582702901065974,1,,186,100
324,1951,2751,0.3432293273506698,1,,185,100
325,1960,2760,0.3711991784304409,1,,186,100
326,1969,2769,0.37518330194776944,1,,186,100
327,1973,2773,0.38282325626900754,1,,186,100
328,1986,2786,0.41194119770118326,1,,183,100
329,1990,2790,0.3948471922413059,1,,183,100
330,1997,2797,0.3398818569669493,1,,183,100
331,2000,2800,0.40985098226746985,1,,183,100
332,2007,2807,0.45232100813790743,1,,183,100
333,2014,2814,0.5447226345420576,1,,184,100
334,2018,2818,0.5885937813958994,1,,184,100
335,2032,2832,0.5871382450519532,1,,185,100
336,2035,2835,0.6046099467524298,1,,185,100
337,2038,2838,0.6460775631193032,1,,185,100
338,2047,2847,0.6351685636276131,1,,186,100
339,2055,2855,0.6684780235670649,1,,185,100
340,2060,2860,0.6202315708541087,1,,185,100
341,2066,2866,0.5643373904440643,1,,185,100
342,2074,2874,0.5833106343541341,1,,185,100
343,2077,2877,0.5908422220422772,1,,183,100
344,2083,2883,0.6145168983251058,1,,186,100
345,2089,2889,0.5744427465955906,1,,185,100
346,2093,2893,0.6068979173310562,1,,185,100
347,2099,2899,0.6331583512798293,1,,184,100
348,2102,2902,0.6194369370332886,1,,184,100
349,2112,2912,0.6380269822196484,1,,184,100
350,2115,2915,0.6395026943714543,1,,184,100
351,2117,2917,0.6174516194311145,1,,183,100
352,2124,2924,0.6566848111734898,1,,183,100
353,2131,2931,0.6000973182349938,1,,182,100
354,2134,2934,0.549861411618241,1,,182,100
355,2138,2938,0.5548035224263447,1,,182,100
356,2146,2946,0.35155843517226143,1,,182,100
357,2150,2950,0.24742828461240382,1,,182,100
358,2157,2957,0.20586788764723127,1,,182,100
359,2160,2960,0.24785761904872022,1,,182,100
360,2166,2966,0.19517097419907756,1,,180,100
361,2170,2970,0.18236822750839074,1,,180,100
362,2175,2975,0.16483097531812843,1,,179,100
363,2185,2985,0.23694920742469458,1,,180,100
364,2189,2989,0.224648348742988,1,,179,100
365,2199,2999,0.12785864082330775,1,,181,100
366,2203,3003,0.12272593722296182,1,,182,100
367,2207,3007,0.07909497959395263,1,,182,100
368,2214,3014,0.09481318814881555,1,,183,100
369,2220,3020,0.09537042407555646,1,,180,100
370,2223,3023,0.07226259518185663,1,,180,100
371,2227,3027,0.04550412546179806,1,,181,100
372,2237,3037,0.03142955331641975,1,,181,100
373,2241,3041,0.023752165539229965,1,,182,100
374,2251,3051,0.0032295138182118787,1,,181,100
375,2254,3054,0.007042761652697022,1,,181,100
376,2259,3059,0.00333065075555417,1,,181,100
377,2264,3064,0.013724513469177628,1,,180,100
378,2267,3067,0.011568485966645477,1,,180,100
379,2277,3077,0.013406197505217574,1,,180,100
380,2281,3081,0.008271835164568534,1,,180,100
381,2290,3090,0.010916344989799376,1,,181,100
382,2302,3102,0.006653369392342685,1,,183,100
383,2309,3109,0.0071857230006894006,1,,183,100
384,2319,3119,0.007270633641607906,1,,183,100
385,2322,3122,0.0070191465197318,1,,183,100
386,2328,3128,0.006658714054327325,1,,183,100
387,2338,3138,0.004458792070426763,1,,185,100
388,2343,3143,0.0026187953651815982,1,,186,100
389,2347,3147,0.006263327112783599,1,,186,100
390,2354,3154,0.00810110021954916,1,,186,100
391,2361,3161,0.008075179911113948,1,,186,100
392,2364,3164,0.00786942752133887,1,,185,100
393,2374,3174,0.02164561960106654,1,,186,100
394,2378,3178,0.021419904094674893,1,,186,100
395,2383,3183,0.016228091340560982,1,,185,100
396,2386,3186,0.0168959352457735,1,,185,100
397,2397,3197,0.025647608622632517,1,,184,100
398,2400,3200,0.018742719639116025,1,,184,100
399,2404,3204,0.016228309567753344,1,,183,100
400,2412,3212,0.02009580416528715,1,,183,100
401,2422,3222,0.014984289379555609,1,,183,100
402,2425,3225,0.03389730252851766,1,,183,100
403,2432,3232,0.03673643388633871,1,,182,100
404,2435,3235,0.031827593743439755,1,,182,100
405,2441,3241,0.0025038015340108485,1,,180,100
406,2444,3244,0.0,0,,180,100
407,2448,3248,0.0,0,,180,100
408,2456,3256,0.0,0,,180,100
409,2459,3259,0.0,0,,180,100
410,2464,3264,0.0,0,,180,100
411,2470,3270,0.000962945045342405,0,,181,100
412,2475,3275,0.08373546157928505,1,,180,100
413,2479,3279,0.1009281876379222,1,,180,100
414,2483,3283,0.10760749994874913,1,,180,100
415,2497,3297,0.12902250830219958,1,,180,100
416,2500,3300,0.14813204258531434,1,,180,100
417,2506,3306,0.16717071684500115,1,,180,100
418,2516,3316,0.15394656580944616,1,,182,100
419,2519,3319,0.20145236690530036,1,,181,100
420,2527,3327,0.18140042225667824,1,,183,100
421,2534,3334,0.16865831715647361,1,,183,100
422,2540,3340,0.16122688291213066,1,,183,100
423,2547,3347,0.18103984521364208,1,,184,100
424,2553,3353,0.19558407965779545,1,,183,100
425,2564,3364,0.1724794031813217,1,,181,100
426,2568,3368,0.16175828370368855,1,,180,100
427,2574,3374,0.12348466373464506,1,,181,100
428,2577,3377,0.12063138368802864,1,,180,100
429,2592,3392,0.18950078113394975,1,,182,100
430,2595,3395,0.1456308619800704,1,,182,100
431,2599,3399,0.1637264190400534,1,,182,100
432,2612,3412,0.1411939791463183,1,,181,100
433,2614,3414,0.13268035819490168,1,,180,100
434,2620,3420,0.1540363032442318,1,,181,100
435,2632,3432,0.1635315687345561,1,,181,100
436,2635,3435,0.1604892410075195,1,,179,100
437,2640,3440,0.16923856137628174,1,,180,100
438,2644,3444,0.17084187759224526,1,,179,100
439,2655,3455,0.09947771756442449,1,,178,100
440,2658,3458,0.11482626125722992,1,,179,100
441,2666,3466,0.2866952579823675,1,,177,100
442,2672,3472,0.08960913376084738,1,,176,100
443,2675,3475,0.10569582756240758,1,,176,100
444,2679,3479,0.10125636426079512,1,,176,100
445,2686,3486,0.08880400839332009,1,,176,100
446,2695,3495,0.09689264311939227,1,,177,100
447,2707,3507,0.06771232222693198,1,,177,100
448,2714,3514,0.06691209949636515,1,,177,100
449,2717,3517,0.05812802996905146,1,,177,100
450,2724,3524,0.06454355031007217,1,,179,100
451,2733,3533,0.06304119847382884,1,,178,100
452,2748,3548,0.06509979392926175,1,,175,100
453,2752,3552,0.06196787988844319,1,,175,100
454,2760,3560,0.06999712579836728,1,,176,100
455,2765,3565,0.05265729834530034,1,,176,100
456,2769,3569,0.05760114397047661,1,,176,100
457,2780,3580,0.06941799642883587,1,,179,100
458,2783,3583,0.07938112068334952,1,,179,100
459,2789,3589,0.07471220740105947,1,,179,100
460,2796,3596,0.05343850296292411,1,,180,100
461,2805,3605,0.08417102339716864,1,,181,100
462,2809,3609,0.08355138709090569,1,,180,100
463,2813,3613,0.10746234096039789,1,,179,100
464,2818,3618,0.0884645430556103,1,,178,100
465,2826,3626,0.09360860361139697,1,,178,100
466,2829,3629,0.09164218914394848,1,,179,100
467,2839,3639,0.07695470819752975,1,,178,100
468,2844,3644,0.0786625060882057,1,,179,100
469,2849,3649,0.08386943373833645,1,,179,100
470,2860,3660,0.06694639737419153,1,,181,100
471,2865,3665,0.06768458320504674,1,,181,100
472,2869,3669,0.07859216475577276,1,,181,100
473,2879,3679,0.10047839780494289,1,,179,100
474,2882,3682,0.06998873450231659,1,,179,100
475,2886,3686,0.07254975684220252,1,,180,100
476,2896,3696,0.044063675137656466,1,,181,100
477,2911,3711,0.1083380997853879,1,,182,100
478,2918,3718,0.11155946085852854,1,,183,100
479,2930,3730,0.09010682562569022,1,,183,100
480,2934,3734,0.07822930450505176,1,,182,100
481,2943,3743,0.11353483356081705,1,,183,100
482,2948,3748,0.11010358418185277,1,,183,100
483,2954,3754,0.08636292703381016,1,,183,100
484,2963,3763,0.08246598766662622,1,,183,100
485,2967,3767,0.07140927499530667,1,,183,100
486,2977,3777,0.02027202445548716,1,,183,100
487,2980,3780,0.028581785191131682,1,,183,100
488,2984,3784,0.020204141673353944,1,,183,100
489,2991,3791,0.00947129774885623,1,,183,100
490,2994,3794,0.012805602777996045,1,,183,100
491,2998,3798,0.012974985297686118,1,,183,100
492,3006,3806,0.0005546148428878756,0,,181,100
493,3009,3809,1.2541376555414043e-05,0,,181,100
494,3013,3813,2.6102506170798982e-06,0,,180,100
495,3021,3821,0.0,0,,182,100
496,3025,3825,0.0,0,,183,100
497,3027,3827,0.0,0,,182,100
498,3032,3832,0.0,0,,183,100
499,3038,3838,0.0,0,,183,100
500,3044,3844,0.0,0,,183,100
501,3049,3849,0.0,0,,183,100
502,3063,3863,0.0,0,,184,100
503,3066,3866,0.0,0,,184,100
