window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.006827683002441902,1,,240,100
1,11,811,0.012330130647105574,1,,238,100
2,14,814,0.008597218164247787,1,,237,100
3,19,819,0.006236022713017614,1,,235,100
4,25,825,0.6271623987615255,1,,233,100
5,33,833,0.4841380563129809,1,,231,100
6,40,840,0.45640370189648577,1,,228,100
7,51,851,0.6810040122830946,1,,226,100
8,56,856,0.7191326730497222,1,,225,100
9,65,865,0.6469507367431353,1,,224,100
10,69,869,0.5613163491757894,1,,223,100
11,73,873,0.5404423865069523,1,,222,100
12,81,881,0.604902964275799,1,,221,100
13,86,886,0.527779215892145,1,,220,100
14,89,889,0.4941364625900138,1,,219,100
15,97,897,0.4641360939995603,1,,218,100
16,101,901,0.5225674315490887,1,,217,100
17,104,904,0.5236957181054022,1,,216,100
18,111,911,0.8917970344604162,1,,214,100
19,120,920,0.8716237558857144,1,,212,100
20,129,929,0.8736763230606948,1,,211,100
21,134,934,0.9174140142879358,1,,210,100
22,138,938,0.8693934746665627,1,,209,100
23,144,944,0.8953591752239459,1,,208,100
24,154,954,0.8799726890914032,1,,206,100
25,161,961,0.6020131228975124,1,,205,100
26,165,965,0.6208541548550254,1,,204,100
27,170,970,0.595970191610081,1,,203,100
28,181,981,0.7698555581640267,1,,202,100
29,188,988,0.7536375030676742,1,,201,100
30,195,995,0.5954281987606078,1,,200,100
31,198,998,0.6471244784956041,1,,199,100
32,202,1002,0.7467363367838059,1,,198,100
33,211,1011,0.0073217237062505654,1,,194,100
34,215,1015,0.009674209326051945,1,,193,100
35,224,1024,0.006340015140617184,1,,189,100
36,227,1027,0.004938962836630344,1,,188,100
37,236,1036,0.005856186986075951,1,,185,100
38,240,1040,0.0032726725599091563,1,,183,100
39,244,1044,0.002821480903412299,1,,181,100
40,248,1048,0.003353662564223381,1,,180,100
41,252,1052,0.0023965422653871174,1,,179,100
42,259,1059,0.08081967575642943,1,,176,100
43,269,1069,0.0880610122965255,1,,172,100
44,273,1073,0.0493128722685973,1,,171,100
45,284,1084,0.3848364660000097,1,,166,100
46,289,1089,0.34320448268699244,1,,165,100
47,296,1096,0.38887721417314125,1,,162,100
48,299,1099,0.3931850781028631,1,,161,100
49,304,1104,0.3621438842685073,1,,159,100
50,313,1113,0.35503288273763334,1,,155,100
51,323,1123,0.5083458256181812,1,,151,100
52,327,1127,0.5322991468164642,1,,150,100
53,335,1135,0.7244340616800008,1,,146,100
54,346,1146,0.6850554942318089,1,,141,100
55,349,1149,0.7380125942157482,1,,140,100
56,365,1165,0.6406255093935298,1,,133,100
57,369,1169,0.6311220118168854,1,,132,100
58,378,1178,0.6499536175601706,1,,127,100
59,381,1181,0.628292215980706,1,,126,100
60,384,1184,0.7301185466659859,1,,125,100
61,390,1190,0.6889024708432173,1,,122,100
62,396,1196,0.6900216346091811,1,,120,100
63,400,1200,0.6798724492062063,1,,119,100
64,407,1207,0.589177685033756,1,,116,100
65,410,1210,0.579718116514324,1,,115,100
66,417,1217,0.6367079876489451,1,,113,100
67,421,1221,0.8518534867413676,1,,112,100
68,425,1225,0.8254385562768185,1,,110,100
69,434,1234,0.6268917675024718,1,,105,100
70,442,1242,0.08024841182377991,1,,102,100
