window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.5273161998889685,1,,219,100
1,12,812,0.07786085301074376,1,,223,100
2,15,815,0.08443297001886568,1,,223,100
3,22,822,0.11824551322461115,1,,224,100
4,31,831,0.10641518453129593,1,,224,100
5,36,836,0.13809203029081596,1,,225,100
6,39,839,0.15056380391208246,1,,226,100
7,47,847,0.16535394635004488,1,,228,100
8,50,850,0.15840423170374474,1,,229,100
9,54,854,0.2965101452594957,1,,230,100
10,61,861,0.29280291524751106,1,,232,100
11,71,871,0.2712722024099077,1,,234,100
12,73,873,0.296926790863479,1,,234,100
13,78,878,0.3445249744227757,1,,235,100
14,81,881,0.300175012181581,1,,235,100
15,86,886,0.2605087329540972,1,,236,100
16,95,895,0.16703465437301895,1,,237,100
17,99,899,0.23238751329952892,1,,238,100
18,110,910,0.20928746388429878,1,,242,100
19,124,924,0.24300872158245893,1,,248,100
20,130,930,0.26902333296028064,1,,250,100
21,135,935,0.24347980815101822,1,,249,100
22,148,948,0.17468212100108343,1,,249,100
23,151,951,0.23140484694640065,1,,249,100
24,156,956,0.19168230406108613,1,,250,100
25,159,959,0.24503218508401922,1,,249,100
26,163,963,0.24210463952847533,1,,250,100
27,172,972,0.28892513956519783,1,,251,100
28,180,980,0.24548311316730786,1,,253,100
29,193,993,0.2690453377917119,1,,256,100
30,203,1003,0.3008944662551438,1,,260,100
31,211,1011,0.32817198890268673,1,,262,100
32,222,1022,0.3814066937054335,1,,265,100
33,226,1026,0.41111227980072096,1,,265,100
34,233,1033,0.7928949271515161,1,,264,100
35,236,1036,0.8560623459730942,1,,263,100
36,241,1041,0.8828139409074617,1,,261,100
37,247,1047,0.8886066039527648,1,,259,100
38,255,1055,0.8839512413622972,1,,257,100
39,262,1062,0.8795365352763695,1,,255,100
40,271,1071,0.9027966225659729,1,,253,100
41,283,1083,0.900255053133948,1,,250,100
42,295,1095,0.8859499969796162,1,,246,100
43,302,1102,0.8808983320116998,1,,243,100
44,307,1107,0.8943351948849749,1,,242,100
45,314,1114,0.8827013673835467,1,,241,100
46,317,1117,0.8729214898250178,1,,240,100
47,321,1121,0.8911797416678141,1,,239,100
48,331,1131,0.9061622987070431,1,,237,100
49,335,1135,0.8987040088955822,1,,236,100
50,338,1138,0.8761193490241207,1,,235,100
51,345,1145,0.8849585137566787,1,,234,100
52,353,1153,0.8742928824194448,1,,233,100
53,356,1156,0.8431939206010238,1,,232,100
54,361,1161,0.7945449845560784,1,,231,100
55,365,1165,0.7656954788854156,1,,230,100
56,374,1174,0.7787880714772842,1,,229,100
57,377,1177,0.7718140009004892,1,,228,100
58,387,1187,0.6805988531944349,1,,226,100
59,390,1190,0.6742505777764535,1,,225,100
60,393,1193,0.6473851457252018,1,,224,100
61,397,1197,0.6789990045127612,1,,222,100
62,405,1205,0.5874588417993125,1,,221,100
63,408,1208,0.5912051709919499,1,,220,100
64,412,1212,0.5824469659447591,1,,219,100
65,422,1222,0.6119802984226618,1,,218,100
66,435,1235,0.7907743733564999,1,,214,100
67,439,1239,0.7579432573046222,1,,213,100
68,445,1245,0.7499995398052958,1,,212,100
69,455,1255,0.7383772976401166,1,,210,100
70,462,1262,0.726361440142391,1,,209,100
71,466,1266,0.6409152068482892,1,,208,100
72,471,1271,0.6292733630294537,1,,207,100
73,482,1282,0.8808814077904104,1,,206,100
74,489,1289,0.8277813789753146,1,,205,100
75,495,1295,0.7971741472966113,1,,204,100
76,498,1298,0.7496430921246344,1,,203,100
77,507,1307,0.7843032440681426,1,,202,100
78,510,1310,0.8159713201641902,1,,201,100
79,514,1314,0.6276539770277754,1,,200,100
80,521,1321,0.5193350126694152,1,,199,100
81,524,1324,0.5168161711523135,1,,198,100
82,536,1336,0.5449241835677762,1,,197,100
83,545,1345,0.659558155338347,1,,195,100
84,548,1348,0.611452357741008,1,,194,100
85,552,1352,0.7972818668366084,1,,193,100
86,563,1363,0.23189932975753647,1,,189,100
87,567,1367,0.2913588619562058,1,,188,100
88,576,1376,0.2915111166898869,1,,184,100
89,579,1379,0.23610636896997383,1,,183,100
90,588,1388,0.11766012467868012,1,,180,100
91,592,1392,0.10514546149258872,1,,178,100
92,597,1397,0.12748814080391396,1,,176,100
93,605,1405,0.10221845719809368,1,,172,100
94,614,1414,0.07694239056125965,1,,167,100
95,617,1417,0.1337840327827229,1,,166,100
96,621,1421,0.11614050862557594,1,,164,100
97,627,1427,0.1533573775497387,1,,161,100
98,635,1435,0.10708807347535887,1,,158,100
99,638,1438,0.30912871518499146,1,,157,100
100,647,1447,0.6586580252648548,1,,152,100
101,657,1457,0.7334908478690567,1,,148,100
102,661,1461,0.6940290442385687,1,,146,100
103,665,1465,0.8645724203707681,1,,145,100
104,673,1473,0.8822100594472918,1,,143,100
105,676,1476,0.912094450809747,1,,142,100
106,680,1480,0.8836019548273746,1,,141,100
107,691,1491,0.8976217072129784,1,,136,100
108,694,1494,0.9111448609854809,1,,135,100
109,711,1511,0.8393780951796572,1,,127,100
110,719,1519,0.7410905713591047,1,,123,100
111,723,1523,0.739674242662879,1,,122,100
112,725,1525,0.8120740074620779,1,,121,100
113,736,1536,0.7334838909407231,1,,116,100
114,744,1544,0.8702752574281699,1,,112,100
115,748,1548,0.8427836072632194,1,,111,100
116,765,1565,0.8771726967266568,1,,103,100
117,768,1568,0.8584217493439681,1,,102,100
118,771,1571,0.8870434883494768,1,,101,100
