window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.009387874442566082,1,,203,100
1,5,805,0.0008656825711987656,0,,198,100
2,9,809,0.00017942133632824716,0,,197,100
3,14,814,0.00025346554797694385,0,,195,100
4,17,817,0.00016104728064351962,0,,194,100
5,20,820,6.636429966267102e-05,0,,193,100
6,30,830,0.00010940164677707601,0,,189,100
7,32,832,0.00012392857949635895,0,,188,100
8,38,838,0.0009963682173296765,0,,187,100
9,42,842,0.0007706917161501035,0,,186,100
10,49,849,0.0002160538310867623,0,,183,100
11,54,854,0.0061057888904717415,1,,178,100
12,57,857,0.0048213579240800695,1,,177,100
13,64,864,0.1191299203018852,1,,175,100
14,67,867,0.11765336055795901,1,,174,100
15,70,870,0.12692589176134772,1,,173,100
16,74,874,0.0904532881440182,1,,172,100
17,79,879,0.10112415903958268,1,,171,100
18,82,882,0.08349797906601411,1,,170,100
19,88,888,0.0975909106881408,1,,169,100
20,98,898,0.07108068852194267,1,,166,100
21,101,901,0.06256835687707966,1,,165,100
22,109,909,0.08395694379026127,1,,163,100
23,112,912,0.10504642113986605,1,,162,100
24,119,919,0.012888831433161939,1,,160,100
25,123,923,0.02652330145921376,1,,159,100
26,129,929,0.035490940336181595,1,,158,100
27,138,938,0.0015732941042005657,1,,155,100
28,143,943,0.004306764137441035,1,,150,100
29,146,946,0.1941086818144063,1,,149,100
30,156,956,0.1672424038541009,1,,146,100
31,159,959,0.15614298859517362,1,,145,100
32,165,965,0.18755762582892596,1,,143,100
33,168,968,0.14139155661927394,1,,142,100
34,176,976,0.15716161839138287,1,,140,100
35,179,979,0.19746086152147072,1,,139,100
36,182,982,0.18092052822622923,1,,138,100
37,186,986,0.18184630744527122,1,,137,100
38,192,992,0.16366389705292309,1,,136,100
39,195,995,0.16634091960344857,1,,135,100
40,209,1009,0.4254816675612429,1,,129,100
41,213,1013,0.4102970069165521,1,,128,100
42,217,1017,0.3821054317546382,1,,127,100
43,224,1024,0.46045999614034966,1,,124,100
44,231,1031,0.23105698348977874,1,,121,100
45,236,1036,0.04156273589709061,1,,116,100
46,241,1041,0.025242660018809315,1,,113,100
47,248,1048,0.03640021089750638,1,,112,100
48,250,1050,0.029407380545500232,1,,111,100
49,255,1055,0.0264522795583459,1,,110,100
50,263,1063,0.03657485152600838,1,,109,100
51,267,1067,0.04228720128449332,1,,108,100
52,274,1074,0.09975251306139242,1,,107,100
53,277,1077,0.12673389739725502,1,,106,100
54,281,1081,0.1586158825652335,1,,105,100
55,288,1088,0.07068397839249693,1,,104,100
56,291,1091,0.07926097640344602,1,,103,100
57,298,1098,0.08741472615933335,1,,101,100
