window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.002625547193991809,1,,202,100
1,10,810,0.000704413937691146,0,,205,100
2,13,813,0.0006724180579074269,0,,205,100
3,20,820,0.000532089737105964,0,,206,100
4,25,825,0.000501974878286232,0,,205,100
5,31,831,0.0003734395150428735,0,,202,100
6,40,840,0.00027622053383095284,0,,200,100
7,43,843,0.00020944889801699344,0,,199,100
8,50,850,0.000483791487198002,0,,198,100
9,55,855,0.0002841151365356084,0,,197,100
10,65,865,0.00048462071593675834,0,,194,100
11,72,872,0.000317266557469734,0,,193,100
12,75,875,0.014928136865662928,1,,192,100
13,82,882,0.013644930083234304,1,,191,100
14,87,887,0.01201774371738865,1,,190,100
15,96,896,0.05616662784370855,1,,186,100
16,104,904,0.05290354208372196,1,,185,100
17,107,907,0.06269498383963064,1,,184,100
18,114,914,0.0561021928356046,1,,183,100
19,119,919,0.04599214994276559,1,,182,100
20,132,932,0.023660880729586345,1,,179,100
21,137,937,0.05089072714620592,1,,177,100
22,140,940,0.05749869214890906,1,,176,100
23,147,947,0.03294265770743902,1,,175,100
24,152,952,0.06086498788072112,1,,174,100
25,160,960,0.08709769575647547,1,,171,100
26,167,967,0.14379630992404915,1,,169,100
27,170,970,0.0860952772252987,1,,168,100
28,177,977,0.14823306314164394,1,,167,100
29,182,982,0.14509446457620345,1,,166,100
30,189,989,0.07216628490973231,1,,163,100
31,201,1001,1.3453227822891803e-06,0,,161,100
32,209,1009,0.00012333270381449652,0,,158,100
33,217,1017,0.0,0,,157,100
34,223,1023,0.0,0,,156,100
35,230,1030,4.4471504484092e-05,0,,153,100
36,238,1038,6.002964305732481e-05,0,,152,100
37,245,1045,0.0001356953183030589,0,,151,100
38,248,1048,0.00030393137852124073,0,,150,100
39,254,1054,0.00014999724025943102,0,,149,100
40,258,1058,0.000151338021072999,0,,148,100
41,265,1065,0.0006677675045691845,0,,144,100
42,274,1074,0.0003867455748132954,0,,143,100
43,287,1087,0.000243885676962695,0,,141,100
44,293,1093,0.00018656034350751752,0,,139,100
45,301,1101,0.00013968406793372876,0,,136,100
46,308,1108,5.671021287139896e-05,0,,134,100
47,315,1115,2.736488587975856e-05,0,,133,100
48,321,1121,1.0337880724236272e-05,0,,132,100
49,326,1126,7.533055609960756e-06,0,,131,100
50,336,1136,3.9181436573569246e-08,0,,126,100
51,343,1143,1.834218615331718e-11,0,,125,100
52,354,1154,2.6369912258345396e-12,0,,124,100
53,364,1164,9.632312680482951e-11,0,,120,100
54,367,1167,1.5500701007953455e-15,0,,119,100
55,371,1171,2.2973343071905896e-15,0,,118,100
56,376,1176,7.99268193675009e-12,0,,117,100
57,379,1179,1.0806500371052481e-09,0,,116,100
58,390,1190,2.630271580420788e-11,0,,113,100
59,397,1197,2.6924345638761263e-13,0,,112,100
60,401,1201,0.0,0,,111,100
61,412,1212,0.0,0,,109,100
62,415,1215,0.0,0,,108,100
63,422,1222,0.0,0,,105,100
64,428,1228,0.0,0,,104,100
65,435,1235,0.0,0,,103,100
66,438,1238,0.0,0,,102,100
67,444,1244,0.0,0,,100,100
