window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,3.95840417670895e-40,0,,218,100
1,10,810,2.2483095710440722e-39,0,,217,100
2,20,820,3.1271675431671484e-43,0,,214,100
3,30,830,1.1008234943358051e-41,0,,213,100
4,40,840,3.1273224128156754e-39,0,,205,100
5,50,850,1.1955244430154287e-37,0,,206,100
6,60,860,1.1513189936061583e-38,0,,207,100
7,70,870,2.2067329234175973e-35,0,,213,100
8,80,880,6.60323744875971e-36,0,,213,100
9,90,890,4.044450222116064e-36,0,,213,100
10,100,900,7.622084983382945e-45,0,,212,100
11,110,910,2.09720500359736e-46,0,,215,100
12,120,920,2.6162759683331263e-46,0,,214,100
13,130,930,2.193561398836509e-44,0,,217,100
14,140,940,5.681686224359999e-44,0,,218,100
15,150,950,5.759665075512942e-46,0,,216,100
16,160,960,4.8141809736177126e-42,0,,216,100
17,170,970,4.773210618822817e-44,0,,215,100
18,180,980,1.5812072721325655e-43,0,,217,100
19,190,990,3.216033509746151e-42,0,,214,100
20,200,1000,2.1980826808738704e-40,0,,213,100
21,210,1010,6.840349255675107e-41,0,,214,100
22,220,1020,1.590206990756798e-44,0,,214,100
23,230,1030,9.463680252634594e-45,0,,217,100
24,240,1040,6.695994768357916e-47,0,,216,100
25,250,1050,5.526385795130285e-43,0,,216,100
26,260,1060,1.1557060839606143e-47,0,,217,100
27,270,1070,2.0379614273915003e-52,0,,216,100
28,280,1080,4.1855065203673485e-50,0,,218,100
29,290,1090,2.0492559154885467e-46,0,,218,100
30,300,1100,7.99634292266528e-45,0,,222,100
31,310,1110,4.4930565774782414e-41,0,,223,100
32,320,1120,2.838371231395817e-42,0,,222,100
33,330,1130,2.2465021274307743e-40,0,,221,100
34,340,1140,1.7370942158377719e-41,0,,222,100
35,350,1150,1.3382286865791775e-41,0,,226,100
36,360,1160,1.0823342094046718e-39,0,,226,100
37,370,1170,1.386594342096782e-39,0,,226,100
38,380,1180,1.9517694590910527e-44,0,,231,100
39,390,1190,9.291122576225722e-42,0,,230,100
40,400,1200,9.020722332013523e-42,0,,231,100
41,410,1210,2.2068243943577835e-37,0,,231,100
42,420,1220,5.856693980378801e-39,0,,228,100
43,430,1230,2.5102709812197153e-41,0,,228,100
44,440,1240,7.479294774198968e-41,0,,227,100
45,450,1250,2.362298057843832e-44,0,,228,100
46,460,1260,8.625491775839838e-44,0,,230,100
47,470,1270,1.1530062275695703e-41,0,,230,100
48,480,1280,1.6218462530929217e-47,0,,229,100
49,490,1290,1.9534325697031244e-49,0,,229,100
50,500,1300,6.134110556015445e-48,0,,228,100
51,510,1310,6.67750164982792e-45,0,,228,100
52,520,1320,1.2280979189216459e-44,0,,227,100
53,530,1330,6.239790843345241e-47,0,,227,100
54,540,1340,1.0487771376110347e-45,0,,225,100
55,550,1350,2.4724497002433407e-46,0,,226,100
56,560,1360,2.9853728163668745e-47,0,,228,100
57,570,1370,1.9745308404187028e-48,0,,227,100
58,580,1380,1.1905435496710584e-48,0,,226,100
59,590,1390,6.516388642674152e-49,0,,226,100
60,600,1400,1.2022449723568697e-45,0,,228,100
61,610,1410,1.1888828137003613e-44,0,,229,100
62,620,1420,2.637066675490474e-44,0,,227,100
63,630,1430,3.934329527342324e-41,0,,226,100
64,640,1440,1.7839501159212382e-40,0,,225,100
65,650,1450,6.2168396641681126e-40,0,,227,100
66,660,1460,2.606500321666423e-38,0,,224,100
67,670,1470,1.892257891440187e-38,0,,226,100
68,680,1480,4.634551778098424e-38,0,,224,100
69,690,1490,1.153872458680771e-40,0,,225,100
70,700,1500,3.889728318593537e-38,0,,221,100
71,710,1510,1.0617390602925506e-37,0,,219,100
72,720,1520,2.5610420423926986e-37,0,,221,100
73,730,1530,8.116028656279985e-41,0,,220,100
74,740,1540,3.7980880897297e-38,0,,221,100
75,750,1550,5.6280780316055784e-33,0,,223,100
76,760,1560,1.9439422759502522e-33,0,,223,100
77,770,1570,2.54392816520495e-33,0,,224,100
78,780,1580,1.4206980071770756e-35,0,,225,100
79,790,1590,1.1078089523008526e-33,0,,224,100
80,800,1600,3.5830199069616754e-33,0,,226,100
81,810,1610,1.0676286679276056e-35,0,,227,100
82,820,1620,1.8129033538896336e-38,0,,226,100
83,830,1630,1.426878931646997e-38,0,,225,100
84,840,1640,2.068622848069482e-40,0,,226,100
85,850,1650,3.155227232026331e-38,0,,229,100
86,860,1660,1.1488417872739315e-40,0,,227,100
87,870,1670,3.718963908443513e-40,0,,222,100
88,880,1680,1.3663107465328503e-38,0,,223,100
89,890,1690,4.5378555130184103e-42,0,,222,100
90,900,1700,2.2423625658093598e-41,0,,221,100
91,910,1710,3.230949402856434e-44,0,,218,100
92,920,1720,4.822883097833718e-47,0,,221,100
93,930,1730,1.6927389254481009e-47,0,,220,100
94,940,1740,2.0414605044171218e-45,0,,221,100
95,950,1750,3.297463610933964e-45,0,,223,100
96,960,1760,1.5316004916996382e-40,0,,223,100
97,970,1770,3.0975206085516644e-43,0,,221,100
98,980,1780,1.7014523578764276e-40,0,,220,100
99,990,1790,2.2386183741116408e-40,0,,222,100
100,1000,1800,6.694050814653876e-41,0,,223,100
101,1010,1810,9.013452439129177e-45,0,,220,100
102,1020,1820,2.2181120819003764e-47,0,,220,100
103,1030,1830,2.2916021242352304e-53,0,,218,100
104,1040,1840,5.568397723855296e-52,0,,220,100
105,1050,1850,2.0705546608833073e-48,0,,220,100
106,1060,1860,2.020922512863212e-51,0,,220,100
107,1070,1870,3.5462014249908804e-54,0,,220,100
108,1080,1880,4.197738402848947e-56,0,,220,100
109,1090,1890,1.5600719500821652e-58,0,,219,100
110,1100,1900,1.5601921948555225e-57,0,,212,100
111,1110,1910,1.662748194488472e-58,0,,214,100
112,1120,1920,4.418950238984753e-59,0,,213,100
113,1130,1930,2.1770142227957778e-58,0,,212,100
114,1140,1940,5.133170961157923e-58,0,,211,100
115,1150,1950,7.500866427240512e-60,0,,208,100
116,1160,1960,9.579988449404664e-53,0,,210,100
117,1170,1970,1.0859420849819034e-50,0,,210,100
118,1180,1980,2.4578365264095487e-50,0,,206,100
119,1190,1990,6.027949004143095e-51,0,,205,100
120,1200,2000,1.384997477645743e-51,0,,206,100
121,1210,2010,1.1802235718044494e-47,0,,207,100
122,1220,2020,2.6396227882208367e-48,0,,208,100
123,1230,2030,5.0437266441644735e-48,0,,210,100
124,1240,2040,1.4456631082143207e-45,0,,210,100
125,1250,2050,1.935349310251573e-46,0,,209,100
126,1260,2060,1.333317009091806e-50,0,,209,100
127,1270,2070,7.74971520094662e-54,0,,206,100
128,1280,2080,8.554152006881808e-53,0,,210,100
129,1290,2090,1.5097772798504093e-47,0,,209,100
130,1300,2100,4.1712795955811255e-51,0,,209,100
131,1310,2110,1.8222034342914178e-51,0,,211,100
132,1320,2120,6.6300340279931485e-50,0,,211,100
133,1330,2130,2.0971342337833294e-46,0,,211,100
134,1340,2140,1.4253500235142757e-50,0,,209,100
135,1350,2150,2.8352284168568445e-50,0,,210,100
136,1360,2160,1.8620964701791095e-45,0,,210,100
137,1370,2170,5.3064612317036226e-45,0,,209,100
138,1380,2180,8.863331098754645e-43,0,,210,100
