window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.5216317659231466,1,,219,100
1,10,810,0.05042126696719998,1,,222,100
2,20,820,0.04713681431675553,1,,224,100
3,30,830,0.1228055502502925,1,,225,100
4,40,840,0.08510745673160762,1,,228,100
5,50,850,0.15094355006329901,1,,229,100
6,60,860,0.21930253403211564,1,,232,100
7,70,870,0.17244698811629328,1,,235,100
8,80,880,0.25257046613172834,1,,236,100
9,90,890,0.21076887360878205,1,,238,100
10,100,900,0.029019561907496872,1,,240,100
11,110,910,0.1987114814151656,1,,242,100
12,120,920,0.2565964771201324,1,,247,100
13,130,930,0.25469846142192326,1,,250,100
14,140,940,0.1486665028085922,1,,250,100
15,150,950,0.1783427539735906,1,,250,100
16,160,960,0.21397511287475968,1,,250,100
17,170,970,0.23514220792905613,1,,251,100
18,180,980,0.22912121766982266,1,,253,100
19,190,990,0.20047907107691654,1,,257,100
20,200,1000,0.17601611943162612,1,,259,100
21,210,1010,0.09356577188770768,1,,263,100
22,220,1020,0.13557044971489465,1,,265,100
23,230,1030,0.3041451467515749,1,,265,100
24,240,1040,0.8969691714484687,1,,262,100
25,250,1050,0.8624530960718882,1,,260,100
26,260,1060,0.8550983784554801,1,,256,100
27,270,1070,0.8874898119209623,1,,254,100
28,280,1080,0.9025113412176837,1,,252,100
29,290,1090,0.8483672607849208,1,,249,100
30,300,1100,0.8616100948600838,1,,244,100
31,310,1110,0.804747838245303,1,,243,100
32,320,1120,0.9030018962392056,1,,240,100
33,330,1130,0.897162242308144,1,,238,100
34,340,1140,0.8205064217892644,1,,236,100
35,350,1150,0.8266438003080534,1,,234,100
36,360,1160,0.6792329482654086,1,,232,100
37,370,1170,0.777373189270347,1,,230,100
38,380,1180,0.5008807645428902,1,,228,100
39,390,1190,0.6739471819282068,1,,225,100
40,400,1200,0.3399451030922083,1,,223,100
41,410,1210,0.5641991463331063,1,,220,100
42,420,1220,0.5314395721866064,1,,219,100
43,430,1230,0.46057155294422825,1,,218,100
44,440,1240,0.7453075922834752,1,,214,100
45,450,1250,0.6353256197826501,1,,212,100
46,460,1260,0.7578550709670027,1,,210,100
47,470,1270,0.19796110717231719,1,,208,100
48,480,1280,0.645550038921131,1,,207,100
49,490,1290,0.8109536354644461,1,,205,100
50,500,1300,0.5658641449341019,1,,205,100
51,510,1310,0.8155479726099006,1,,201,100
52,520,1320,0.0857949369085412,1,,200,100
53,530,1330,0.38245355155883615,1,,200,100
54,540,1340,0.650879311813513,1,,197,100
55,550,1350,0.7873475438716668,1,,194,100
56,560,1360,0.8457792472102253,1,,192,100
57,570,1370,0.12641991358931562,1,,187,100
58,580,1380,0.08309098992976142,1,,183,100
59,590,1390,0.04012613414592732,1,,179,100
60,600,1400,0.00432765391533137,1,,174,100
61,610,1410,0.034691394137305105,1,,169,100
62,620,1420,0.06751384371447923,1,,165,100
63,630,1430,0.049097961711576786,1,,160,100
64,640,1440,0.11348825591684891,1,,156,100
65,650,1450,0.6318159235722252,1,,151,100
66,660,1460,0.4772615735310918,1,,147,100
67,670,1470,0.9032987526032474,1,,144,100
68,680,1480,0.8788532744866104,1,,141,100
69,690,1490,0.5602383170629097,1,,137,100
70,700,1500,0.6821866792815082,1,,133,100
71,710,1510,0.5199448552940465,1,,128,100
72,720,1520,0.703677088280449,1,,123,100
73,730,1530,0.6386920141886528,1,,119,100
74,740,1540,0.7145095106565086,1,,114,100
75,750,1550,0.7317703371938001,1,,110,100
76,760,1560,0.8035312918292303,1,,106,100
77,770,1570,0.7658144254154744,1,,102,100
