window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.4689448509332578e-05,0,,230,100
1,10,810,0.0004364823563104011,0,,225,100
2,20,820,0.0002690027244876044,0,,224,100
3,30,830,0.0035645456217782475,1,,221,100
4,40,840,0.001760215041307503,1,,221,100
5,50,850,2.3908820824511235e-07,0,,219,100
6,60,860,9.943744485144697e-08,0,,220,100
7,70,870,1.5250745130469736e-07,0,,221,100
8,80,880,1.4209781534248054e-07,0,,222,100
9,90,890,1.6837974767806121e-07,0,,223,100
10,100,900,1.2004376349736411e-07,0,,222,100
11,110,910,5.185567116538355e-06,0,,221,100
12,120,920,6.658257620113054e-06,0,,219,100
13,130,930,0.0,0,,222,100
14,140,940,0.0,0,,222,100
15,150,950,0.0,0,,221,100
16,160,960,0.0,0,,220,100
17,170,970,0.0,0,,218,100
18,180,980,0.0,0,,217,100
19,190,990,0.0,0,,217,100
20,200,1000,0.0,0,,216,100
21,210,1010,0.0,0,,215,100
22,220,1020,0.0,0,,214,100
23,230,1030,0.0,0,,212,100
24,240,1040,0.0,0,,213,100
25,250,1050,0.0,0,,213,100
26,260,1060,0.0,0,,213,100
27,270,1070,0.0,0,,214,100
28,280,1080,0.0,0,,215,100
29,290,1090,0.0,0,,215,100
30,300,1100,0.0,0,,216,100
31,310,1110,7.062639621511375e-13,0,,216,100
32,320,1120,0.0,0,,218,100
33,330,1130,9.773879982430933e-18,0,,217,100
34,340,1140,4.1047443224112797e-19,0,,217,100
35,350,1150,7.662644480228616e-21,0,,220,100
36,360,1160,1.433501163255509e-14,0,,219,100
37,370,1170,1.6169297882565553e-22,0,,218,100
38,380,1180,3.9274814372703e-21,0,,218,100
39,390,1190,0.0,0,,220,100
40,400,1200,1.4395801859592293e-23,0,,219,100
41,410,1210,4.033250913012401e-23,0,,219,100
42,420,1220,7.6136735372687695e-22,0,,221,100
43,430,1230,3.605416592229322e-20,0,,220,100
44,440,1240,0.0,0,,219,100
45,450,1250,0.0,0,,219,100
46,460,1260,0.0,0,,220,100
47,470,1270,0.0,0,,219,100
48,480,1280,0.0,0,,219,100
49,490,1290,0.0,0,,216,100
50,500,1300,0.0,0,,219,100
51,510,1310,0.0,0,,218,100
52,520,1320,0.0,0,,216,100
53,530,1330,0.0,0,,219,100
54,540,1340,0.0,0,,220,100
55,550,1350,0.0,0,,219,100
56,560,1360,0.0,0,,221,100
57,570,1370,0.0,0,,222,100
58,580,1380,0.0,0,,224,100
59,590,1390,0.0,0,,227,100
60,600,1400,0.0,0,,228,100
61,610,1410,0.0,0,,228,100
62,620,1420,0.0,0,,228,100
63,630,1430,0.0,0,,228,100
64,640,1440,0.0,0,,227,100
65,650,1450,0.0,0,,230,100
66,660,1460,0.0,0,,230,100
67,670,1470,0.0,0,,231,100
68,680,1480,0.0,0,,230,100
69,690,1490,0.0,0,,227,100
70,700,1500,1.7243466501997653e-14,0,,226,100
71,710,1510,0.0,0,,226,100
72,720,1520,8.730033911634481e-08,0,,224,100
73,730,1530,3.314736956171657e-07,0,,224,100
74,740,1540,7.63375240486468e-08,0,,221,100
75,750,1550,3.868851310109879e-13,0,,220,100
76,760,1560,7.16235219592609e-10,0,,217,100
77,770,1570,1.9162824327042376e-11,0,,217,100
78,780,1580,1.1833999758193603e-11,0,,216,100
79,790,1590,2.26807696157714e-11,0,,215,100
80,800,1600,8.91871597983171e-11,0,,215,100
81,810,1610,2.210405531882361e-12,0,,215,100
82,820,1620,3.1138881952969303e-08,0,,215,100
