window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.6604368268975243,1,,188,100
1,10,810,0.5557712686708883,1,,188,100
2,20,820,0.6575509887496759,1,,184,100
3,30,830,0.4590742794017745,1,,179,100
4,40,840,0.03785611605078475,1,,179,100
5,50,850,0.15964962058317214,1,,180,100
6,60,860,0.17203501386851905,1,,178,100
7,70,870,0.11896766529858459,1,,178,100
8,80,880,0.08176749204127984,1,,177,100
9,90,890,0.00966121333112966,1,,177,100
10,100,900,0.12787738463622747,1,,175,100
11,110,910,0.10523951976623461,1,,175,100
12,120,920,0.13439744112245955,1,,175,100
13,130,930,0.022676869826188183,1,,175,100
14,140,940,0.10645663304853127,1,,176,100
15,150,950,0.18892213221229265,1,,177,100
16,160,960,0.18133591652351824,1,,177,100
17,170,970,0.18404571244129658,1,,177,100
18,180,980,0.15141190488182227,1,,179,100
19,190,990,0.15362582670833586,1,,180,100
20,200,1000,0.09573833549097176,1,,181,100
21,210,1010,0.1591068514690916,1,,180,100
22,220,1020,0.14831010627904512,1,,182,100
23,230,1030,0.1413830053131091,1,,181,100
24,240,1040,0.15045023030950946,1,,182,100
25,250,1050,0.11066812200742947,1,,180,100
26,260,1060,0.13580689825670467,1,,179,100
27,270,1070,0.1726435099863123,1,,179,100
28,280,1080,0.32782179913867254,1,,180,100
29,290,1090,0.08994067923186345,1,,181,100
30,300,1100,0.09007095923765739,1,,182,100
31,310,1110,0.06869533078864179,1,,182,100
32,320,1120,0.07821546181633837,1,,181,100
33,330,1130,0.13163768196669062,1,,180,100
34,340,1140,0.11208783215517035,1,,180,100
35,350,1150,0.12925542110516705,1,,180,100
36,360,1160,0.10451063798044359,1,,180,100
37,370,1170,0.15450910577197996,1,,182,100
38,380,1180,0.0993407111530161,1,,181,100
39,390,1190,0.07661416363168769,1,,183,100
40,400,1200,0.10986204142056145,1,,181,100
41,410,1210,0.08180055251495413,1,,181,100
42,420,1220,0.054815734232226236,1,,180,100
43,430,1230,0.07342843312963876,1,,180,100
44,440,1240,0.07770143796413947,1,,180,100
45,450,1250,0.029432438701967486,1,,182,100
46,460,1260,0.04431340099231638,1,,182,100
47,470,1270,0.0333193851839093,1,,182,100
48,480,1280,0.03980659773136969,1,,181,100
49,490,1290,0.04322839063892218,1,,179,100
50,500,1300,0.018248000148034377,1,,180,100
51,510,1310,0.034638322046225654,1,,177,100
52,520,1320,0.3776357457606982,1,,180,100
53,530,1330,0.4113374314409552,1,,179,100
54,540,1340,0.48804316984018625,1,,177,100
55,550,1350,0.41412172708661366,1,,176,100
56,560,1360,0.47193163871513166,1,,175,100
57,570,1370,0.3282544263817548,1,,178,100
58,580,1380,0.4559153772766961,1,,177,100
59,590,1390,0.3022639949991095,1,,179,100
60,600,1400,0.46650028699749263,1,,177,100
61,610,1410,0.4555295630578583,1,,177,100
62,620,1420,0.40339815310467164,1,,177,100
63,630,1430,0.681943512983614,1,,175,100
64,640,1440,0.5704450676379078,1,,176,100
65,650,1450,0.6165406923364137,1,,175,100
66,660,1460,0.6884323757652101,1,,175,100
67,670,1470,0.6754604124610535,1,,177,100
68,680,1480,0.706658588388571,1,,177,100
69,690,1490,0.75502544533308,1,,175,100
70,700,1500,0.7768696589225277,1,,176,100
71,710,1510,0.10996988150178859,1,,177,100
72,720,1520,0.21300677495236087,1,,177,100
73,730,1530,0.13751451497635392,1,,177,100
74,740,1540,0.07532223214958846,1,,177,100
75,750,1550,0.12464772436403687,1,,179,100
76,760,1560,0.1618433341625719,1,,178,100
77,770,1570,0.15490841892177679,1,,179,100
78,780,1580,0.19243013077577356,1,,177,100
79,790,1590,0.225481398458627,1,,179,100
80,800,1600,0.21893748033392804,1,,176,100
81,810,1610,0.21619080354141315,1,,178,100
82,820,1620,0.24643733873964374,1,,180,100
83,830,1630,0.18319594546275786,1,,180,100
84,840,1640,0.3683556689318666,1,,180,100
85,850,1650,0.057649577441103654,1,,181,100
86,860,1660,0.03232064109054439,1,,181,100
87,870,1670,0.01459253900183952,1,,183,100
88,880,1680,0.0068108290759229875,1,,181,100
89,890,1690,0.011069949733343512,1,,182,100
90,900,1700,0.007924479444897313,1,,182,100
91,910,1710,0.029096297218761943,1,,185,100
92,920,1720,0.049883760654280934,1,,182,100
93,930,1730,0.05125838927287038,1,,180,100
94,940,1740,0.08961998978753627,1,,182,100
95,950,1750,0.24192715173861778,1,,181,100
96,960,1760,0.3368855435135198,1,,180,100
97,970,1770,0.2969065065681413,1,,179,100
98,980,1780,0.22935100307999753,1,,179,100
99,990,1790,0.18937751697217978,1,,181,100
100,1000,1800,0.25239308753009854,1,,181,100
101,1010,1810,0.197827693562465,1,,181,100
102,1020,1820,0.17642369779406425,1,,181,100
103,1030,1830,0.27343706074169855,1,,179,100
104,1040,1840,0.17756673585385166,1,,182,100
105,1050,1850,0.34322814674042285,1,,182,100
106,1060,1860,0.3219966703042174,1,,182,100
107,1070,1870,0.30816919627178296,1,,181,100
108,1080,1880,0.28591807070036046,1,,180,100
109,1090,1890,0.6116145484789727,1,,180,100
110,1100,1900,0.5670076387653779,1,,179,100
111,1110,1910,0.5473166518104233,1,,180,100
112,1120,1920,0.5473836591669653,1,,179,100
113,1130,1930,0.48250275362412276,1,,180,100
114,1140,1940,0.47812722027380566,1,,180,100
115,1150,1950,0.5366521693031895,1,,178,100
116,1160,1960,0.2443111805066343,1,,176,100
117,1170,1970,0.1390396308787129,1,,176,100
118,1180,1980,0.18706008541935354,1,,176,100
119,1190,1990,0.1903817039513045,1,,177,100
120,1200,2000,0.023726966677331325,1,,178,100
121,1210,2010,0.02613437242722116,1,,177,100
122,1220,2020,0.013364012979202108,1,,178,100
123,1230,2030,0.03983802433635003,1,,177,100
124,1240,2040,0.027725323528471815,1,,178,100
125,1250,2050,0.05553864853138488,1,,178,100
126,1260,2060,0.03856138248353197,1,,179,100
127,1270,2070,0.038927041304844937,1,,178,100
128,1280,2080,0.04149645202384014,1,,178,100
129,1290,2090,0.04026209994833306,1,,180,100
130,1300,2100,0.11810529580078132,1,,182,100
131,1310,2110,0.004104041962877714,1,,182,100
132,1320,2120,0.017093529329408944,1,,180,100
133,1330,2130,0.017659026356565875,1,,181,100
134,1340,2140,0.014466696123762625,1,,182,100
135,1350,2150,0.04419346240590503,1,,182,100
136,1360,2160,0.013007056740385922,1,,182,100
137,1370,2170,0.03601887366768651,1,,183,100
138,1380,2180,0.04515009632798501,1,,183,100
139,1390,2190,0.036848262144572284,1,,183,100
140,1400,2200,0.015750340538110193,1,,183,100
141,1410,2210,0.023600832429688207,1,,184,100
142,1420,2220,0.03337482047144943,1,,185,100
143,1430,2230,0.04430213178056736,1,,185,100
144,1440,2240,0.020196459764977217,1,,185,100
145,1450,2250,0.03322721091646968,1,,186,100
146,1460,2260,0.024464311342349204,1,,186,100
147,1470,2270,0.002238559615345901,1,,185,100
148,1480,2280,0.004167625053405675,1,,183,100
149,1490,2290,0.0033452842351144574,1,,184,100
150,1500,2300,0.004000046086797618,1,,181,100
151,1510,2310,0.0011694813267905844,1,,180,100
152,1520,2320,0.015216474538089235,1,,180,100
153,1530,2330,0.014674554669998792,1,,180,100
154,1540,2340,0.015899425753894962,1,,178,100
155,1550,2350,0.01587157872692918,1,,179,100
156,1560,2360,0.022385855525955654,1,,177,100
157,1570,2370,0.01851806132547881,1,,177,100
158,1580,2380,0.019380271931104417,1,,178,100
159,1590,2390,0.020355924357005974,1,,178,100
160,1600,2400,0.02384833865678441,1,,181,100
161,1610,2410,0.02582018163185323,1,,179,100
162,1620,2420,0.018969900013613063,1,,179,100
163,1630,2430,0.01783273043168118,1,,179,100
164,1640,2440,0.021846791982045383,1,,178,100
165,1650,2450,0.03325351490876226,1,,179,100
166,1660,2460,0.23416522306983636,1,,179,100
167,1670,2470,0.1600667463812691,1,,180,100
168,1680,2480,0.09054229911722998,1,,181,100
169,1690,2490,0.05284187216814361,1,,181,100
170,1700,2500,0.08027702497734178,1,,180,100
171,1710,2510,0.09115330699671843,1,,179,100
172,1720,2520,0.1291728148582859,1,,179,100
173,1730,2530,0.17837123026332774,1,,181,100
174,1740,2540,0.11659707299145655,1,,178,100
175,1750,2550,0.0566915969378664,1,,178,100
176,1760,2560,0.10187889473629962,1,,180,100
177,1770,2570,0.11216954058056522,1,,179,100
178,1780,2580,0.04527149782557803,1,,179,100
179,1790,2590,0.025767205848139577,1,,177,100
180,1800,2600,0.034315004465011005,1,,177,100
181,1810,2610,0.0315265473557171,1,,177,100
182,1820,2620,0.03025294608660613,1,,179,100
183,1830,2630,0.04001950345248579,1,,179,100
184,1840,2640,0.06916056513606689,1,,180,100
185,1850,2650,0.07264802238042385,1,,179,100
186,1860,2660,0.048561697835944426,1,,181,100
187,1870,2670,0.06120893530213653,1,,183,100
188,1880,2680,0.07203306690984346,1,,186,100
189,1890,2690,0.06847128175764261,1,,185,100
190,1900,2700,0.03492797580860411,1,,185,100
191,1910,2710,0.09664768507304186,1,,185,100
192,1920,2720,0.2220164593249618,1,,184,100
193,1930,2730,0.2500086706459913,1,,185,100
194,1940,2740,0.3215728603612281,1,,184,100
195,1950,2750,0.4074304428217767,1,,186,100
196,1960,2760,0.3711991784304409,1,,186,100
197,1970,2770,0.3538186640491501,1,,187,100
198,1980,2780,0.38236724164589825,1,,185,100
199,1990,2790,0.3948471922413059,1,,183,100
200,2000,2800,0.40985098226746985,1,,183,100
201,2010,2810,0.334898814941305,1,,185,100
202,2020,2820,0.41806208900330344,1,,186,100
203,2030,2830,0.5714429171431721,1,,186,100
204,2040,2840,0.6129483608881188,1,,187,100
205,2050,2850,0.5783715432327249,1,,186,100
206,2060,2860,0.6202315708541087,1,,185,100
207,2070,2870,0.5356137303567436,1,,186,100
208,2080,2880,0.44773566418148214,1,,186,100
209,2090,2890,0.5801216338033113,1,,185,100
210,2100,2900,0.5243651485156262,1,,185,100
211,2110,2910,0.6307176279496365,1,,184,100
212,2120,2920,0.6367406756593003,1,,184,100
213,2130,2930,0.6681798449793305,1,,184,100
214,2140,2940,0.24094951536603867,1,,183,100
215,2150,2950,0.24742828461240382,1,,182,100
216,2160,2960,0.24785761904872022,1,,182,100
217,2170,2970,0.18236822750839074,1,,180,100
218,2180,2980,0.19452494161994616,1,,180,100
219,2190,2990,0.17989883846316995,1,,181,100
220,2200,3000,0.12667178647296728,1,,181,100
221,2210,3010,0.06391247969201617,1,,183,100
222,2220,3020,0.09537042407555646,1,,180,100
223,2230,3030,0.02671959834625282,1,,181,100
224,2240,3040,0.016351381991705403,1,,182,100
225,2250,3050,0.01772310828336726,1,,182,100
226,2260,3060,0.011351229305257974,1,,179,100
227,2270,3070,0.01264679091459137,1,,181,100
228,2280,3080,0.00810008138018197,1,,181,100
229,2290,3090,0.010916344989799376,1,,181,100
230,2300,3100,0.00637183438939336,1,,183,100
231,2310,3110,0.007739948618608014,1,,185,100
232,2320,3120,0.005387991614714322,1,,183,100
233,2330,3130,0.003632611293819995,1,,185,100
234,2340,3140,0.002404244828075614,1,,186,100
235,2350,3150,0.0071432715263943115,1,,186,100
236,2360,3160,0.015867981873202607,1,,187,100
237,2370,3170,0.0071021301017746945,1,,187,100
238,2380,3180,0.017427664881125876,1,,185,100
239,2390,3190,0.020093488486766644,1,,185,100
240,2400,3200,0.018742719639116025,1,,184,100
241,2410,3210,0.028753285949397373,1,,184,100
242,2420,3220,0.01695697915007122,1,,184,100
243,2430,3230,0.029266199207698497,1,,183,100
244,2440,3240,0.002339434817261916,1,,183,100
245,2450,3250,0.0,0,,181,100
246,2460,3260,0.0,0,,180,100
247,2470,3270,0.000962945045342405,0,,181,100
248,2480,3280,0.09593279908133559,1,,180,100
249,2490,3290,0.10624464618661392,1,,180,100
250,2500,3300,0.14813204258531434,1,,180,100
251,2510,3310,0.14316756329781255,1,,183,100
252,2520,3320,0.12746717173218297,1,,182,100
253,2530,3330,0.11378404377257166,1,,183,100
254,2540,3340,0.16122688291213066,1,,183,100
255,2550,3350,0.1234183995015829,1,,185,100
256,2560,3360,0.15146210924842096,1,,183,100
257,2570,3370,0.09513012871637798,1,,182,100
258,2580,3380,0.07249476616615241,1,,181,100
259,2590,3390,0.07599608439712531,1,,183,100
260,2600,3400,0.1370953889905157,1,,183,100
261,2610,3410,0.14175504381698198,1,,182,100
262,2620,3420,0.1540363032442318,1,,181,100
263,2630,3430,0.11959609201993258,1,,181,100
264,2640,3440,0.16923856137628174,1,,180,100
265,2650,3450,0.15292159506632727,1,,178,100
266,2660,3460,0.12754990528303325,1,,178,100
267,2670,3470,0.2614210084754857,1,,178,100
268,2680,3480,0.08938057309813775,1,,176,100
269,2690,3490,0.08933631945209805,1,,176,100
270,2700,3500,0.058624702615763365,1,,177,100
271,2710,3510,0.05710441589954394,1,,177,100
272,2720,3520,0.06697181546036023,1,,179,100
273,2730,3530,0.07140396985283567,1,,181,100
274,2740,3540,0.08311528509168022,1,,177,100
275,2750,3550,0.0827917689287415,1,,176,100
276,2760,3560,0.06999712579836728,1,,176,100
277,2770,3570,0.054467237185977194,1,,176,100
278,2780,3580,0.06941799642883587,1,,179,100
279,2790,3590,0.04649363215560652,1,,180,100
280,2800,3600,0.05901873748873395,1,,182,100
281,2810,3610,0.0918429118368387,1,,179,100
282,2820,3620,0.04929702756090107,1,,180,100
283,2830,3630,0.09565063193393572,1,,179,100
284,2840,3640,0.08284472835982291,1,,179,100
285,2850,3650,0.025934697404022447,1,,180,100
