window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.002625547193991809,1,,202,100
1,10,810,0.000704413937691146,0,,205,100
2,20,820,0.000532089737105964,0,,206,100
3,30,830,0.001079862223246053,1,,204,100
4,40,840,0.00027622053383095284,0,,200,100
5,50,850,0.000483791487198002,0,,198,100
6,60,860,0.00028337780627472994,0,,197,100
7,70,870,0.00011201713595978422,0,,194,100
8,80,880,0.012271705390004927,1,,192,100
9,90,890,0.011103553974705893,1,,191,100
10,100,900,0.05244947976915822,1,,186,100
11,110,910,0.07013756622265144,1,,184,100
12,120,920,0.04976059642738984,1,,184,100
13,130,930,0.040873592836843484,1,,181,100
14,140,940,0.05749869214890906,1,,176,100
15,150,950,0.03518682654145391,1,,175,100
16,160,960,0.08709769575647547,1,,171,100
17,170,970,0.0860952772252987,1,,168,100
18,180,980,0.1827618163036368,1,,167,100
19,190,990,1.334827125442001e-07,0,,164,100
20,200,1000,0.03785577086093917,1,,162,100
21,210,1010,2.2109349056411253e-06,0,,159,100
22,220,1020,2.659070564442851e-06,0,,157,100
23,230,1030,4.4471504484092e-05,0,,153,100
24,240,1040,2.248436105590391e-05,0,,153,100
25,250,1050,3.840470153451997e-05,0,,151,100
26,260,1060,0.000317025637175096,0,,148,100
27,270,1070,0.00010247027856014075,0,,145,100
28,280,1080,0.0004994902000610412,0,,143,100
29,290,1090,0.00027222726890876623,0,,140,100
30,300,1100,0.0003322722546237463,0,,137,100
31,310,1110,1.3626827817563289e-05,0,,135,100
32,320,1120,6.081732559207462e-05,0,,133,100
33,330,1130,1.0052594176851112e-05,0,,132,100
34,340,1140,7.309830554699646e-09,0,,126,100
35,350,1150,2.881748067855608e-12,0,,126,100
36,360,1160,5.625724896845594e-11,0,,123,100
37,370,1170,5.165266758001918e-15,0,,119,100
38,380,1180,2.5717733416384695e-13,0,,118,100
39,390,1190,2.630271580420788e-11,0,,113,100
40,400,1200,2.434568747076647e-11,0,,112,100
41,410,1210,0.0,0,,110,100
42,420,1220,3.70426244190123e-08,0,,107,100
43,430,1230,0.0,0,,105,100
44,440,1240,0.0,0,,102,100
45,450,1250,0.0,0,,100,100
