window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.6436472818116885,1,,174,100
1,5,805,0.5873252067921771,1,,175,100
2,11,811,0.5355148684239686,1,,175,100
3,15,815,0.5636262545438049,1,,175,100
4,21,821,0.5251853371464802,1,,174,100
5,27,827,0.6511299756075587,1,,175,100
6,31,831,0.5941159703097405,1,,175,100
7,35,835,0.6221092915759829,1,,175,100
8,43,843,0.5717841204564804,1,,177,100
9,51,851,0.50371902960628,1,,177,100
10,57,857,0.4010562822196351,1,,177,100
11,60,860,0.40497178935618766,1,,176,100
12,65,865,0.482730258027117,1,,176,100
13,76,876,0.5814658280491914,1,,177,100
14,78,878,0.47812099459248547,1,,176,100
15,82,882,0.4818112915230317,1,,177,100
16,90,890,0.4865022744973422,1,,178,100
17,100,900,0.6780307043740272,1,,179,100
18,103,903,0.6457032861317813,1,,180,100
19,112,912,0.7335694704889334,1,,178,100
20,116,916,0.6737957665523997,1,,180,100
21,126,926,0.3856118088813986,1,,181,100
22,129,929,0.45062471892138345,1,,179,100
23,133,933,0.42594278335554314,1,,180,100
24,145,945,0.21803680396363964,1,,181,100
25,150,950,0.17965172502139443,1,,181,100
26,154,954,0.1451476979055504,1,,180,100
27,158,958,0.11521812482235269,1,,180,100
28,162,962,0.1312786556254892,1,,180,100
29,170,970,0.0644465122915365,1,,180,100
30,178,978,0.0025674481429634904,1,,180,100
31,182,982,0.002521459787721643,1,,179,100
32,185,985,0.004091258565254926,1,,179,100
33,189,989,0.00440100804054383,1,,179,100
34,197,997,0.0034192475667742745,1,,179,100
35,200,1000,0.0025773325009447257,1,,179,100
36,202,1002,0.0023268019625631107,1,,179,100
37,208,1008,0.002680611407806007,1,,180,100
38,214,1014,0.003338046976691406,1,,180,100
39,219,1019,0.0060424873359198675,1,,179,100
40,227,1027,0.0027447450091237337,1,,180,100
41,235,1035,0.002765903931698347,1,,181,100
42,240,1040,0.0026753762360168807,1,,181,100
43,248,1048,0.0014012800749468263,1,,181,100
44,251,1051,0.0019067791691941705,1,,181,100
45,255,1055,0.0013893602777199242,1,,181,100
46,262,1062,0.0016277942380749117,1,,181,100
47,265,1065,0.0012227425769165356,1,,181,100
48,275,1075,0.002102218735135339,1,,181,100
49,279,1079,0.0017778965491362828,1,,181,100
50,282,1082,0.0016323856207929744,1,,182,100
51,293,1093,0.002887242413816256,1,,179,100
52,297,1097,0.0039109576314715466,1,,180,100
53,302,1102,0.004348796149362291,1,,181,100
54,310,1110,0.0014803179341324952,1,,179,100
55,313,1113,0.0017513477319366397,1,,179,100
56,317,1117,0.0012302494907864647,1,,179,100
57,321,1121,0.09285165283718792,1,,178,100
58,324,1124,0.09060147176684535,1,,178,100
59,326,1126,0.09551170906612272,1,,177,100
60,332,1132,0.11433369402619163,1,,177,100
61,345,1145,0.08051440933520773,1,,177,100
62,348,1148,0.09164553839661693,1,,177,100
63,353,1153,0.08515281368843924,1,,176,100
64,358,1158,0.1265018129353733,1,,175,100
65,361,1161,0.16328101156511454,1,,175,100
66,366,1166,0.15987971186011724,1,,174,100
67,371,1171,0.4949785033167599,1,,175,100
68,374,1174,0.5113358780441031,1,,176,100
69,383,1183,0.4416305852133575,1,,175,100
70,385,1185,0.5329818584908733,1,,175,100
71,393,1193,0.4184937332621033,1,,175,100
72,396,1196,0.4420757576043348,1,,175,100
73,401,1201,0.4550355461959671,1,,175,100
74,408,1208,0.4176915421380363,1,,173,100
75,411,1211,0.3273143023963517,1,,173,100
76,413,1213,0.37708306841993144,1,,173,100
77,419,1219,0.42009157579811046,1,,175,100
78,427,1227,0.4546547358088547,1,,173,100
79,433,1233,0.5925845309864,1,,173,100
80,437,1237,0.5380273508160058,1,,174,100
81,443,1243,0.5613924903935658,1,,173,100
82,447,1247,0.4957145422497602,1,,173,100
83,452,1252,0.5287383297503571,1,,173,100
84,457,1257,0.4760806689310063,1,,172,100
85,463,1263,0.5542966134279665,1,,174,100
86,469,1269,0.5310619673445515,1,,173,100
87,474,1274,0.5589074854807562,1,,172,100
88,479,1279,0.5491749526864356,1,,172,100
89,486,1286,0.397193550328354,1,,173,100
90,492,1292,0.4627968441769272,1,,173,100
91,498,1298,0.5524233010559817,1,,173,100
92,501,1301,0.4721299479480201,1,,172,100
93,504,1304,0.370579076888713,1,,173,100
94,515,1315,0.4237434821612529,1,,174,100
95,523,1323,0.40023393726579515,1,,175,100
96,527,1327,0.4062345426433533,1,,174,100
97,534,1334,0.42852999934064545,1,,175,100
98,539,1339,0.44248816798892165,1,,176,100
99,542,1342,0.5472376126123335,1,,175,100
100,549,1349,0.5141652750492122,1,,176,100
101,552,1352,0.5599380962856931,1,,175,100
102,559,1359,0.5710431997129347,1,,174,100
103,564,1364,0.4049116670832148,1,,173,100
104,567,1367,0.46632955289572897,1,,173,100
105,569,1369,0.4225885715166906,1,,174,100
106,576,1376,0.5138899432434823,1,,172,100
107,583,1383,0.459126054501852,1,,172,100
108,586,1386,0.4104994703009646,1,,172,100
