window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.00021490054220319127,0,,150,100
1,6,806,0.00013564316693217543,0,,148,100
2,8,808,0.0001306885798764326,0,,147,100
3,16,816,0.0001056642129148629,0,,147,100
4,21,821,0.00010071688782412115,0,,145,100
5,24,824,5.629977042559492e-05,0,,144,100
6,26,826,5.2622381467107094e-05,0,,143,100
7,35,835,3.434801478982315e-05,0,,141,100
8,40,840,4.919535249351212e-05,0,,139,100
9,45,845,0.0017022633247095718,1,,137,100
10,49,849,0.002440408753968392,1,,136,100
11,54,854,0.001643213154952442,1,,136,100
12,61,861,0.0013573564273853642,1,,134,100
13,65,865,0.001515925461395736,1,,133,100
14,70,870,0.0016013984972220216,1,,132,100
15,81,881,0.0011894301447963095,1,,129,100
16,87,887,0.0016294520464992458,1,,128,100
17,93,893,0.003705029283619489,1,,126,100
18,96,896,0.0032511875345370817,1,,125,100
19,102,902,0.0006385481152846028,0,,124,100
20,106,906,0.0007721512647161578,0,,124,100
21,114,914,0.0007511848537788666,0,,123,100
22,119,919,0.0007896997615690726,0,,121,100
23,122,922,0.0006470807294679768,0,,120,100
24,127,927,0.0007858803106457877,0,,118,100
25,131,931,0.00046696872770208615,0,,117,100
26,140,940,0.007503546781597172,1,,115,100
27,146,946,0.006741790033506903,1,,115,100
28,151,951,0.007211729122921711,1,,113,100
29,155,955,0.005934999277503905,1,,112,100
30,159,959,0.006596592056468129,1,,111,100
31,165,965,0.006485928207396752,1,,110,100
32,167,967,0.0048462327711102544,1,,109,100
33,173,973,0.00722304042243271,1,,107,100
34,182,982,0.006667316204089057,1,,105,100
35,186,986,0.007742593089868884,1,,104,100
36,190,990,0.006515827465553326,1,,103,100
37,194,994,0.0060098540800895325,1,,102,100
38,198,998,0.0056921110382686015,1,,101,100
39,201,1001,0.005879131207398459,1,,101,100
40,208,1008,0.0018425373365458747,1,,100,100
