window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.983015007321425,1,,174,100
1,5,805,0.930481373136237,1,,172,100
2,8,808,0.9292486199692863,1,,172,100
3,13,813,0.9361799832173016,1,,173,100
4,17,817,0.9318293727076883,1,,171,100
5,30,830,0.9534504510548645,1,,172,100
6,39,839,0.9346115288175955,1,,171,100
7,48,848,0.9182718776758709,1,,173,100
8,53,853,0.9283080573691666,1,,174,100
9,57,857,0.9320424452774249,1,,171,100
10,64,864,0.8929052612660242,1,,171,100
11,73,873,0.669874690685315,1,,171,100
12,80,880,0.8288560435207548,1,,170,100
13,83,883,0.8722527955009426,1,,170,100
14,88,888,0.8101883399334159,1,,169,100
15,91,891,0.8814933220176647,1,,169,100
16,97,897,0.8841740423527248,1,,169,100
17,105,905,0.8259493953789616,1,,169,100
18,114,914,0.890284676794632,1,,167,100
19,119,919,0.9242427883081036,1,,166,100
20,128,928,0.91632806012784,1,,166,100
21,134,934,0.8785493937318412,1,,165,100
22,137,937,0.9453487416034744,1,,164,100
23,148,948,0.938390985827355,1,,164,100
24,153,953,0.9475402717752709,1,,163,100
25,163,963,0.8932612090393557,1,,163,100
26,170,970,0.8755012191684078,1,,165,100
27,173,973,0.8840676999613962,1,,164,100
28,180,980,0.9096860230380953,1,,166,100
29,185,985,0.7967743990591667,1,,166,100
30,190,990,0.841092687187061,1,,167,100
31,193,993,0.8750569495247768,1,,165,100
32,196,996,0.8421587456208874,1,,165,100
33,198,998,0.8816613031271036,1,,164,100
34,207,1007,0.946245094532782,1,,164,100
35,215,1015,0.9330529742772559,1,,163,100
36,219,1019,0.9521167233411091,1,,163,100
37,223,1023,0.8989662879974578,1,,163,100
38,232,1032,0.8897366409385695,1,,163,100
39,243,1043,0.9053659746896564,1,,165,100
40,246,1046,0.8987057634272252,1,,163,100
41,262,1062,0.8904493886861172,1,,165,100
42,266,1066,0.8340892055422314,1,,165,100
43,269,1069,0.7017601968985736,1,,165,100
44,273,1073,0.6988030160559819,1,,165,100
45,281,1081,0.09046594160999609,1,,164,100
46,284,1084,0.11614570183340892,1,,165,100
47,298,1098,0.06529437776186378,1,,166,100
48,303,1103,0.0838386952303054,1,,165,100
49,313,1113,0.21747354248984618,1,,166,100
50,323,1123,0.3036751334423636,1,,168,100
51,329,1129,0.2351202417326363,1,,167,100
52,333,1133,0.22379899991371968,1,,166,100
53,340,1140,0.26353630477230516,1,,167,100
54,343,1143,0.2978618118562793,1,,168,100
55,351,1151,0.0703290124868184,1,,165,100
56,354,1154,0.06402357007966772,1,,164,100
57,359,1159,0.10143147062226422,1,,163,100
58,368,1168,0.11192938518127254,1,,163,100
59,377,1177,0.08711815705958861,1,,161,100
60,381,1181,0.058170169311625844,1,,160,100
61,385,1185,0.09383994193690547,1,,159,100
62,389,1189,0.09808640685810999,1,,158,100
63,399,1199,0.053672233484108184,1,,157,100
64,408,1208,0.05637925448373953,1,,156,100
65,411,1211,0.055112662976094864,1,,155,100
66,415,1215,0.01603260523502663,1,,153,100
67,424,1224,5.0227041623122516e-05,0,,152,100
68,427,1227,2.0256035044044876e-05,0,,151,100
69,431,1231,6.646666283829709e-05,0,,150,100
70,438,1238,2.980399254837631e-06,0,,149,100
71,446,1246,4.108222525247616e-05,0,,147,100
72,449,1249,2.7409921590531842e-05,0,,146,100
73,454,1254,1.514297234923314e-05,0,,145,100
74,459,1259,7.631111236970287e-06,0,,145,100
75,470,1270,0.0014978101874966925,1,,143,100
76,474,1274,0.0012882139132421126,1,,142,100
77,478,1278,0.0010819610906677068,1,,142,100
78,486,1286,0.164149134371624,1,,139,100
79,489,1289,0.16165389716495984,1,,138,100
80,493,1293,0.16580436114269034,1,,137,100
81,500,1300,0.19225672290868923,1,,136,100
82,503,1303,0.1917767022152997,1,,135,100
83,509,1309,0.22001016496836948,1,,134,100
84,513,1313,0.2223443527077768,1,,133,100
85,516,1316,0.27281455475698274,1,,132,100
86,520,1320,0.27180638432646975,1,,133,100
87,530,1330,0.30348639830915575,1,,130,100
88,533,1333,0.2845141084750794,1,,129,100
89,537,1337,0.19838618101789549,1,,129,100
90,543,1343,0.22636199995112505,1,,127,100
91,547,1347,0.38150267987208997,1,,125,100
92,559,1359,0.3635250891897023,1,,122,100
93,562,1362,0.28357360908557877,1,,122,100
94,569,1369,0.21401664293497055,1,,120,100
95,574,1374,0.24396881400940493,1,,120,100
96,585,1385,0.25251690589298753,1,,118,100
97,588,1388,0.26263606994382904,1,,117,100
98,591,1391,0.25454693573693543,1,,116,100
99,594,1394,0.24767144700282168,1,,116,100
100,600,1400,0.23992420860090224,1,,114,100
101,604,1404,0.26259501237717153,1,,113,100
102,607,1407,0.19997989994276888,1,,111,100
103,622,1422,0.11706629275800262,1,,107,100
104,625,1425,0.1393467692706263,1,,107,100
105,636,1436,0.16663340149811515,1,,104,100
106,639,1439,0.21373916988631614,1,,103,100
107,643,1443,0.16875017019376387,1,,102,100
108,651,1451,0.17271660255562427,1,,101,100
109,655,1455,0.0024760234801239796,1,,100,100
