window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.020449919687011618,1,,197,100
1,10,810,0.011600997129753378,1,,193,100
2,20,820,0.011001705803178979,1,,192,100
3,30,830,0.015525627661744996,1,,192,100
4,40,840,0.008928635531159307,1,,193,100
5,50,850,0.009637529267712708,1,,190,100
6,60,860,0.011115613354604174,1,,190,100
7,70,870,0.00917591767480784,1,,191,100
8,80,880,0.0027398959242169968,1,,190,100
9,90,890,0.00360031981498175,1,,190,100
10,100,900,0.003426204894905593,1,,190,100
11,110,910,0.002502521977370002,1,,188,100
12,120,920,5.30200736514029e-05,0,,187,100
13,130,930,6.143321726701447e-05,0,,188,100
14,140,940,7.667466193369857e-05,0,,187,100
15,150,950,0.00010487163099616335,0,,186,100
16,160,960,4.877426946439799e-05,0,,185,100
17,170,970,1.5304062775094566e-06,0,,184,100
18,180,980,3.154768553753746e-06,0,,183,100
19,190,990,4.624578146726383e-05,0,,185,100
20,200,1000,0.00013155969511702167,0,,183,100
21,210,1010,0.00012800752167502693,0,,182,100
22,220,1020,0.00015336241987489515,0,,182,100
23,230,1030,9.467819186284652e-06,0,,181,100
24,240,1040,6.23553581527591e-06,0,,181,100
25,250,1050,3.120085748540915e-05,0,,181,100
26,260,1060,5.843203454162595e-05,0,,182,100
27,270,1070,0.0586077990591353,1,,182,100
28,280,1080,0.05058240914751079,1,,183,100
29,290,1090,0.04454082785955229,1,,182,100
30,300,1100,0.06161513715667596,1,,185,100
31,310,1110,0.0006988774963392941,0,,186,100
32,320,1120,0.0007097297499972932,0,,186,100
33,330,1130,0.0006254093269191101,0,,185,100
34,340,1140,0.0008848955746873215,0,,184,100
35,350,1150,0.0007608146433481717,0,,185,100
36,360,1160,0.0011741785552199606,1,,185,100
37,370,1170,0.0013278360449864802,1,,183,100
38,380,1180,0.00615616627685352,1,,183,100
39,390,1190,0.0063643352473767316,1,,186,100
40,400,1200,0.0026715382178396515,1,,184,100
41,410,1210,0.002545056984960414,1,,185,100
42,420,1220,2.513086260129782e-09,0,,186,100
43,430,1230,0.0018876864385045683,1,,185,100
44,440,1240,0.001350900923868977,1,,184,100
45,450,1250,1.4695020174319935e-06,0,,185,100
46,460,1260,2.532999058742111e-07,0,,186,100
47,470,1270,3.843605373545998e-08,0,,185,100
48,480,1280,6.106123815844607e-14,0,,185,100
49,490,1290,2.2311038545491603e-09,0,,185,100
50,500,1300,1.1783029102516761e-11,0,,186,100
51,510,1310,7.225216339358282e-11,0,,185,100
52,520,1320,5.531218642420326e-10,0,,183,100
53,530,1330,3.796597847055834e-09,0,,185,100
54,540,1340,6.279027062278878e-07,0,,186,100
55,550,1350,1.214768223361125e-06,0,,184,100
56,560,1360,2.1779141844116306e-05,0,,185,100
57,570,1370,2.267402772962633e-09,0,,187,100
58,580,1380,1.0746475461403347e-21,0,,188,100
59,590,1390,3.490139740781184e-21,0,,190,100
60,600,1400,4.355206802597926e-24,0,,190,100
61,610,1410,1.8448976047194955e-25,0,,191,100
62,620,1420,3.931069004604572e-15,0,,191,100
63,630,1430,3.6925824281625816e-11,0,,191,100
64,640,1440,4.075254314121722e-09,0,,189,100
65,650,1450,1.9398945788215453e-09,0,,192,100
