window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.5899204359552551,1,,166,100
1,10,810,0.6240098296180836,1,,168,100
2,20,820,0.5802591855405376,1,,169,100
3,30,830,0.560567659220931,1,,167,100
4,40,840,0.5930141810791956,1,,165,100
5,50,850,0.6149672736647884,1,,163,100
6,60,860,0.5983587202056766,1,,162,100
7,70,870,0.6241463680504813,1,,160,100
8,80,880,0.6063959612499641,1,,158,100
9,90,890,0.6010146628065982,1,,156,100
10,100,900,0.6559585896526099,1,,154,100
11,110,910,0.6858413097945554,1,,152,100
12,120,920,0.6100966464623914,1,,151,100
13,130,930,0.5531560736140956,1,,149,100
14,140,940,0.465134991738644,1,,146,100
15,150,950,0.37082448428902115,1,,145,100
16,160,960,0.5636408063968057,1,,142,100
17,170,970,0.5112131974763571,1,,140,100
18,180,980,0.5235649815285467,1,,139,100
19,190,990,0.41883190131875686,1,,136,100
20,200,1000,0.4109609260970545,1,,134,100
21,210,1010,0.39656044997709233,1,,132,100
22,220,1020,0.34827820930827824,1,,131,100
23,230,1030,0.3380175444952671,1,,128,100
24,240,1040,0.3259386510923561,1,,127,100
25,250,1050,0.39462730775794536,1,,126,100
26,260,1060,0.45846822819614597,1,,123,100
27,270,1070,0.31371705406720035,1,,121,100
28,280,1080,0.5371701692336864,1,,120,100
29,290,1090,0.3881942097023095,1,,118,100
30,300,1100,0.5063934770087065,1,,116,100
31,310,1110,0.02866507454477693,1,,114,100
32,320,1120,0.17789855848904107,1,,112,100
33,330,1130,0.013954728932131863,1,,112,100
34,340,1140,0.19008192673402713,1,,109,100
35,350,1150,0.06731979436414184,1,,109,100
36,360,1160,0.13508312071971795,1,,107,100
37,370,1170,0.09588254837865458,1,,103,100
38,380,1180,0.12255925994586435,1,,103,100
39,390,1190,0.010801462653443216,1,,100,100
