window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.0,0,,213,100
1,6,806,0.0,0,,213,100
2,12,812,0.0,0,,214,100
3,18,818,0.0,0,,214,100
4,22,822,0.0,0,,215,100
5,28,828,0.0,0,,218,100
6,40,840,0.0,0,,221,100
7,51,851,0.0,0,,220,100
8,57,857,0.0,0,,220,100
9,61,861,0.0,0,,220,100
10,64,864,0.0,0,,223,100
11,72,872,0.0,0,,223,100
12,79,879,0.0,0,,225,100
13,90,890,0.0,0,,227,100
14,93,893,0.0,0,,228,100
15,100,900,0.0,0,,228,100
16,103,903,0.0,0,,228,100
17,110,910,0.0,0,,229,100
18,116,916,0.0,0,,231,100
19,124,924,0.0,0,,230,100
20,127,927,0.0,0,,231,100
21,132,932,0.0,0,,230,100
22,135,935,0.0,0,,230,100
23,141,941,0.0,0,,232,100
24,149,949,0.0,0,,232,100
25,154,954,0.0,0,,233,100
26,162,962,0.0,0,,235,100
27,175,975,0.0,0,,235,100
28,183,983,0.0,0,,233,100
29,191,991,0.0,0,,231,100
30,196,996,0.0,0,,229,100
31,199,999,0.0,0,,229,100
32,207,1007,0.0,0,,226,100
33,210,1010,4.236390344285883e-06,0,,225,100
34,213,1013,1.5992199230924382e-06,0,,225,100
35,221,1021,1.4021924395251983e-05,0,,225,100
36,232,1032,0.0019876919632221416,1,,222,100
37,237,1037,0.028345495341066684,1,,221,100
38,242,1042,0.031349455043193135,1,,219,100
39,248,1048,0.02911237727777379,1,,218,100
40,254,1054,0.09042108877036627,1,,216,100
41,257,1057,0.09928782917267706,1,,216,100
42,271,1071,0.06141101356218482,1,,213,100
43,274,1074,0.04056039039393365,1,,213,100
44,284,1084,0.05717609275524232,1,,211,100
45,290,1090,0.1067719745306154,1,,209,100
46,295,1095,0.09434045717716866,1,,209,100
47,301,1101,0.40245917704043316,1,,208,100
48,311,1111,0.5121073402087263,1,,204,100
49,321,1121,0.5162025402076734,1,,203,100
50,326,1126,0.49389586045841477,1,,202,100
51,335,1135,0.4990879928403423,1,,199,100
52,345,1145,0.4971083066900304,1,,196,100
53,349,1149,0.48661191506140344,1,,195,100
54,359,1159,0.37219488121393507,1,,193,100
55,364,1164,0.26418705340294246,1,,191,100
56,367,1167,0.2225288166937518,1,,191,100
57,373,1173,0.2072247683323869,1,,189,100
58,377,1177,0.00034948600523239853,0,,188,100
59,385,1185,2.2047021297659336e-06,0,,187,100
60,394,1194,5.955066274360481e-07,0,,185,100
61,401,1201,0.0,0,,182,100
62,406,1206,0.0,0,,181,100
63,409,1209,0.0,0,,180,100
64,413,1213,0.0,0,,180,100
65,422,1222,0.0,0,,176,100
66,428,1228,0.0,0,,173,100
67,431,1231,0.0,0,,172,100
68,438,1238,0.0,0,,170,100
69,443,1243,0.0,0,,169,100
70,450,1250,0.0,0,,167,100
71,458,1258,0.0,0,,165,100
72,467,1267,0.0,0,,162,100
73,474,1274,0.0,0,,160,100
74,481,1281,0.0,0,,157,100
75,487,1287,0.0,0,,155,100
76,493,1293,0.0,0,,153,100
77,500,1300,0.0,0,,151,100
78,512,1312,0.0,0,,147,100
79,517,1317,0.0,0,,145,100
80,527,1327,0.0,0,,142,100
81,532,1332,0.0,0,,140,100
82,540,1340,0.0,0,,137,100
83,544,1344,0.0,0,,136,100
84,550,1350,0.0,0,,132,100
85,558,1358,4.851619267120768e-13,0,,130,100
86,567,1367,6.05366465278909e-13,0,,127,100
87,579,1379,0.0,0,,125,100
88,586,1386,0.0,0,,122,100
89,592,1392,0.0,0,,121,100
90,599,1399,0.0,0,,120,100
91,606,1406,0.0,0,,118,100
92,615,1415,0.0,0,,114,100
93,618,1418,0.0,0,,113,100
94,625,1425,1.0806753713272419e-13,0,,110,100
95,634,1434,0.0,0,,108,100
96,638,1438,0.0,0,,107,100
97,646,1446,0.0,0,,105,100
98,654,1454,0.0,0,,102,100
99,658,1458,0.0,0,,101,100
