window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.52,1,,166,100
1,10,810,0.59,1,,168,100
2,20,820,0.57,1,,169,100
3,30,830,0.55,1,,167,100
4,40,840,0.7,1,,165,100
5,50,850,0.6,1,,163,100
6,60,860,0.64,1,,162,100
7,70,870,0.66,1,,160,100
8,80,880,0.52,1,,158,100
9,90,890,0.67,1,,156,100
10,100,900,0.62,1,,154,100
11,110,910,0.63,1,,152,100
12,120,920,0.61,1,,151,100
13,130,930,0.62,1,,149,100
14,140,940,0.47,1,,146,100
15,150,950,0.34,1,,145,100
16,160,960,0.55,1,,142,100
17,170,970,0.49,1,,140,100
18,180,980,0.59,1,,139,100
19,190,990,0.36,1,,136,100
20,200,1000,0.4,1,,134,100
21,210,1010,0.38,1,,132,100
22,220,1020,0.34,1,,131,100
23,230,1030,0.32,1,,128,100
24,240,1040,0.31,1,,127,100
25,250,1050,0.43,1,,126,100
26,260,1060,0.42,1,,123,100
27,270,1070,0.28,1,,121,100
28,280,1080,0.48,1,,120,100
29,290,1090,0.37,1,,118,100
30,300,1100,0.5,1,,116,100
31,310,1110,0.01,1,,114,100
32,320,1120,0.2,1,,112,100
33,330,1130,0.0,1,,112,100
34,340,1140,0.16,1,,109,100
35,350,1150,0.06,1,,109,100
36,360,1160,0.13,1,,107,100
37,370,1170,0.11,1,,103,100
38,380,1180,0.15,1,,103,100
39,390,1190,0.01,1,,100,100
