window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,4.158544072965488e-06,0,,185,100
1,10,810,8.848698701121981e-06,0,,183,100
2,20,820,5.674092743218424e-07,0,,183,100
3,30,830,6.3431270542152e-07,0,,184,100
4,40,840,1.672859620923909e-07,0,,182,100
5,50,850,2.342897096728196e-07,0,,183,100
6,60,860,1.1934193645949546e-08,0,,183,100
7,70,870,3.620477478686579e-08,0,,183,100
8,80,880,1.679298963599022e-08,0,,185,100
9,90,890,1.651141029034987e-11,0,,183,100
10,100,900,2.3914635156641458e-08,0,,184,100
11,110,910,1.1323343865524581e-06,0,,183,100
12,120,920,2.3212072181212363e-06,0,,182,100
13,130,930,1.8793479477067451e-06,0,,183,100
14,140,940,4.7727647578713845e-06,0,,182,100
15,150,950,7.5577113209892465e-06,0,,182,100
16,160,960,1.1096095918525798e-05,0,,184,100
17,170,970,3.856291804882439e-05,0,,183,100
18,180,980,0.013145947880781357,1,,181,100
19,190,990,0.018246189956138532,1,,184,100
20,200,1000,0.02282073739960335,1,,184,100
21,210,1010,0.0100599344340707,1,,185,100
22,220,1020,3.695685874215028e-05,0,,185,100
23,230,1030,6.674026474667805e-06,0,,185,100
24,240,1040,2.4225042391288128e-05,0,,186,100
25,250,1050,1.3647655557822062e-05,0,,187,100
26,260,1060,3.853631028495451e-05,0,,187,100
27,270,1070,8.478156486882304e-05,0,,187,100
28,280,1080,0.0015036231070620488,1,,189,100
29,290,1090,0.0008886323256687007,0,,189,100
30,300,1100,0.0005587307786659083,0,,190,100
31,310,1110,9.920975053794753e-06,0,,188,100
32,320,1120,0.00011248052426583233,0,,189,100
33,330,1130,2.640225690942783e-07,0,,189,100
34,340,1140,7.87180976045374e-11,0,,189,100
35,350,1150,4.165142503960312e-10,0,,191,100
36,360,1160,4.45991833010953e-09,0,,191,100
37,370,1170,1.8159312006712723e-09,0,,190,100
38,380,1180,8.027021960280838e-09,0,,189,100
39,390,1190,6.594527594971457e-10,0,,188,100
40,400,1200,9.143112984242973e-15,0,,187,100
41,410,1210,1.4679734912997835e-16,0,,186,100
42,420,1220,5.284710743083282e-16,0,,187,100
43,430,1230,2.2492592731537126e-14,0,,187,100
44,440,1240,5.114974531583819e-13,0,,189,100
45,450,1250,2.592621562912001e-08,0,,190,100
46,460,1260,5.787357689728711e-11,0,,189,100
47,470,1270,2.310710120174482e-10,0,,190,100
48,480,1280,3.0962443956118935e-12,0,,187,100
49,490,1290,1.624028669041559e-11,0,,189,100
50,500,1300,1.7557368144909388e-12,0,,190,100
51,510,1310,4.313323610110829e-12,0,,189,100
52,520,1320,3.390068900224888e-12,0,,188,100
53,530,1330,1.332229018275757e-12,0,,189,100
54,540,1340,1.7427022809971822e-12,0,,188,100
55,550,1350,5.3302532952089453e-17,0,,186,100
56,560,1360,1.1340783958135559e-20,0,,185,100
57,570,1370,2.6664261817968836e-26,0,,187,100
58,580,1380,2.9706870900659174e-25,0,,184,100
59,590,1390,9.108145098438227e-28,0,,186,100
60,600,1400,2.1756552146261171e-26,0,,183,100
61,610,1410,3.439227390297596e-14,0,,185,100
62,620,1420,4.4769852637792644e-11,0,,186,100
63,630,1430,7.810704545107325e-10,0,,186,100
64,640,1440,5.653038150208543e-17,0,,187,100
65,650,1450,1.056538421656731e-09,0,,188,100
66,660,1460,1.0089473230589408e-09,0,,187,100
67,670,1470,3.795746173328864e-05,0,,186,100
68,680,1480,0.00020302760854533106,0,,186,100
69,690,1490,0.00011042586790827383,0,,185,100
70,700,1500,0.002726279888255574,1,,184,100
71,710,1510,0.0028104086655590717,1,,183,100
72,720,1520,0.004111638755496837,1,,184,100
73,730,1530,0.003924394609202194,1,,185,100
74,740,1540,0.0022726327823777153,1,,186,100
75,750,1550,0.0055817202673054045,1,,183,100
76,760,1560,0.0027658220127938856,1,,184,100
77,770,1570,0.006583361550769194,1,,185,100
78,780,1580,0.0021319959841177845,1,,185,100
79,790,1590,0.0014382127906172125,1,,186,100
80,800,1600,0.003882842239523644,1,,186,100
81,810,1610,0.003894075186151828,1,,187,100
82,820,1620,0.0008580017363175106,0,,185,100
83,830,1630,0.004203439668788348,1,,183,100
84,840,1640,0.007210079483633803,1,,185,100
85,850,1650,0.018053249601653724,1,,183,100
86,860,1660,0.015224221373971062,1,,186,100
