window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.14602059903194847,1,,188,100
1,10,810,0.08093183100217609,1,,189,100
2,20,820,0.021287337542413305,1,,188,100
3,30,830,0.014195161637646432,1,,188,100
4,40,840,2.4209153228373354e-05,0,,185,100
5,50,850,1.6229042593956582e-08,0,,183,100
6,60,860,1.4095767048002168e-06,0,,181,100
7,70,870,0.0010620720372333536,1,,181,100
8,80,880,0.06899630353850524,1,,179,100
9,90,890,0.36846216679657645,1,,178,100
10,100,900,0.34683820516520925,1,,179,100
11,110,910,0.36830605361233787,1,,179,100
12,120,920,0.377584136405414,1,,181,100
13,130,930,0.4042196930230072,1,,181,100
14,140,940,0.11564432526305535,1,,180,100
15,150,950,0.20628689190194216,1,,180,100
16,160,960,0.2506630193152887,1,,180,100
17,170,970,0.13342889644654526,1,,182,100
18,180,980,0.16289615620954928,1,,182,100
19,190,990,0.17645193536369552,1,,183,100
20,200,1000,0.21725238173740513,1,,184,100
21,210,1010,0.17598723290745286,1,,186,100
22,220,1020,0.18378156331525325,1,,186,100
23,230,1030,0.1466303148357357,1,,187,100
24,240,1040,0.0787236974960376,1,,188,100
25,250,1050,0.11326586009440014,1,,189,100
26,260,1060,0.07865519869665451,1,,191,100
27,270,1070,0.0347688692439349,1,,191,100
28,280,1080,0.12304611138363121,1,,190,100
29,290,1090,0.09116670071352863,1,,192,100
30,300,1100,0.005496681084568134,1,,191,100
31,310,1110,0.000638571189873969,0,,188,100
32,320,1120,5.331660817002826e-05,0,,187,100
33,330,1130,2.4839495796313767e-10,0,,188,100
34,340,1140,4.368736267591777e-10,0,,189,100
35,350,1150,3.002615441479498e-11,0,,187,100
36,360,1160,1.1290856422809286e-11,0,,187,100
37,370,1170,3.770440482204565e-10,0,,190,100
38,380,1180,6.920188230454774e-10,0,,189,100
39,390,1190,1.572117539102941e-10,0,,188,100
40,400,1200,6.317591402968179e-11,0,,187,100
41,410,1210,4.1666598052438285e-11,0,,189,100
42,420,1220,2.6247008680076055e-11,0,,189,100
43,430,1230,9.06011202346681e-12,0,,190,100
44,440,1240,4.841243333089524e-10,0,,190,100
45,450,1250,8.400598531155319e-09,0,,188,100
46,460,1260,1.004879817843544e-08,0,,188,100
47,470,1270,1.077610170883339e-08,0,,187,100
48,480,1280,3.363039006328284e-09,0,,186,100
49,490,1290,1.8717615106412923e-08,0,,186,100
50,500,1300,1.528461108454099e-08,0,,188,100
51,510,1310,3.5308064178305467e-09,0,,189,100
52,520,1320,2.60295782257625e-09,0,,189,100
53,530,1330,0.0007248620088375162,0,,190,100
54,540,1340,0.014518763497172411,1,,192,100
55,550,1350,0.020678695795082823,1,,191,100
56,560,1360,0.03620028965389626,1,,192,100
57,570,1370,0.032900211955659925,1,,193,100
58,580,1380,0.01579023216953833,1,,192,100
59,590,1390,0.019802399553037982,1,,193,100
60,600,1400,0.016395722170840496,1,,193,100
61,610,1410,0.017875924300563756,1,,192,100
62,620,1420,0.018767029600521293,1,,192,100
63,630,1430,0.02396548903037436,1,,192,100
64,640,1440,0.025832743253029634,1,,192,100
65,650,1450,0.039998306156648,1,,195,100
66,660,1460,0.017706031074957905,1,,193,100
67,670,1470,0.05098450344402884,1,,192,100
68,680,1480,0.030151609431878876,1,,191,100
69,690,1490,0.05421021137591846,1,,192,100
70,700,1500,0.13869062591961273,1,,192,100
71,710,1510,0.12224417751803422,1,,194,100
72,720,1520,0.1688082683080516,1,,195,100
73,730,1530,0.16910164077576814,1,,197,100
74,740,1540,0.2500548631455864,1,,197,100
75,750,1550,0.14699191365142522,1,,199,100
76,760,1560,0.3627599148088078,1,,198,100
77,770,1570,0.00044898721237924123,0,,196,100
78,780,1580,0.0002841252675010263,0,,197,100
79,790,1590,0.0005761876208967565,0,,197,100
80,800,1600,0.06586409800468591,1,,198,100
81,810,1610,0.06726528475878855,1,,196,100
82,820,1620,0.024397868727780336,1,,196,100
83,830,1630,0.03731498907170691,1,,196,100
84,840,1640,0.05299103682956307,1,,196,100
85,850,1650,0.051110403882505685,1,,195,100
86,860,1660,0.018660863834283586,1,,196,100
87,870,1670,0.0006732459796314937,0,,194,100
88,880,1680,0.00042979547667817855,0,,195,100
89,890,1690,3.415500604646472e-05,0,,193,100
90,900,1700,8.662164143313235e-05,0,,193,100
91,910,1710,3.5534492927784832e-06,0,,192,100
92,920,1720,3.7515584170624835e-06,0,,192,100
93,930,1730,3.54020056130654e-09,0,,194,100
94,940,1740,2.8655342260109126e-09,0,,196,100
95,950,1750,3.9298433751584703e-10,0,,197,100
96,960,1760,2.6907187949738835e-11,0,,195,100
97,970,1770,2.2782315228295492e-10,0,,194,100
98,980,1780,3.248617935618022e-13,0,,194,100
99,990,1790,3.435118152455618e-14,0,,192,100
100,1000,1800,1.9745105872322695e-13,0,,192,100
101,1010,1810,6.688798083430113e-13,0,,195,100
102,1020,1820,2.1516850011923462e-13,0,,193,100
103,1030,1830,1.0680808026932449e-13,0,,194,100
104,1040,1840,2.1161146655385656e-13,0,,194,100
105,1050,1850,3.5252192090532804e-16,0,,193,100
106,1060,1860,3.8181263216705705e-19,0,,190,100
107,1070,1870,6.172873945070059e-20,0,,191,100
108,1080,1880,1.1681620917445493e-16,0,,190,100
