window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.028750806891857685,0,,152,55
1,10,810,0.02915214819347476,0,,151,55
2,20,820,0.002062847107845428,0,,149,55
3,30,830,0.0022836382393854916,0,,147,55
4,40,840,1.2107415394650886e-07,0,,144,55
5,50,850,0.0,0,,141,55
6,60,860,0.0,0,,139,55
7,70,870,0.0,0,,137,55
8,80,880,0.005905562072153371,0,,138,55
9,90,890,0.08058919792955123,0,,136,55
10,100,900,0.0,0,,134,55
11,110,910,0.0,0,,135,55
12,120,920,0.0,0,,137,55
13,130,930,0.0001584486348958814,0,,136,55
14,140,940,0.00043080581083431113,0,,137,55
15,150,950,2.6332457429007078e-05,0,,138,55
16,160,960,1.546152630273842e-05,0,,139,55
17,170,970,1.806620931051142e-06,0,,137,55
18,180,980,2.0562085327415262e-07,0,,136,55
19,190,990,2.1717718426398895e-07,0,,138,55
20,200,1000,2.722333095534968e-08,0,,138,55
21,210,1010,0.0,0,,135,55
22,220,1020,0.0,0,,134,55
23,230,1030,0.0,0,,137,55
24,240,1040,0.0,0,,136,55
25,250,1050,0.0,0,,136,55
26,260,1060,0.0,0,,136,55
27,270,1070,0.0,0,,136,55
28,280,1080,1.1099512317900405e-05,0,,135,55
29,290,1090,5.4298889103953405e-05,0,,135,55
30,300,1100,0.0013981317221222938,0,,134,55
31,310,1110,0.0002755143370550373,0,,133,55
32,320,1120,1.190411127273182e-05,0,,133,55
33,330,1130,7.850013093502791e-06,0,,133,55
34,340,1140,1.1074806582029776e-06,0,,131,55
35,350,1150,0.0,0,,132,55
36,360,1160,0.0,0,,134,55
37,370,1170,6.207684061002258e-05,0,,133,55
38,380,1180,5.199977675467345e-05,0,,134,55
39,390,1190,0.0,0,,134,55
40,400,1200,0.0,0,,135,55
41,410,1210,0.0,0,,135,55
42,420,1220,0.0,0,,137,55
43,430,1230,5.905936058913087e-06,0,,136,55
44,440,1240,1.954567115067819e-06,0,,138,55
45,450,1250,0.00014342736813608675,0,,139,55
46,460,1260,3.545297145299467e-06,0,,138,55
47,470,1270,3.9107187817274317e-05,0,,139,55
48,480,1280,0.002882690141484233,0,,139,55
49,490,1290,0.00464668517217403,0,,139,55
50,500,1300,0.0026812185329436276,0,,142,55
51,510,1310,1.7500528766933144e-05,0,,142,55
52,520,1320,0.0,0,,140,55
53,530,1330,0.0,0,,142,55
54,540,1340,0.0,0,,145,55
55,550,1350,0.0,0,,145,55
56,560,1360,0.0,0,,147,55
57,570,1370,0.0,0,,147,55
58,580,1380,0.0,0,,149,55
59,590,1390,0.0,0,,150,55
60,600,1400,0.0,0,,151,55
61,610,1410,0.0001876502551960128,0,,150,55
62,620,1420,6.572685982597393e-07,0,,150,55
63,630,1430,1.1453848158457836e-05,0,,150,55
64,640,1440,4.235235447414291e-05,0,,153,55
65,650,1450,0.007181404255648149,0,,154,55
66,660,1460,0.006875443651493705,0,,158,55
67,670,1470,1.682328137196189e-06,0,,160,55
68,680,1480,5.568321225483461e-09,0,,164,55
69,690,1490,6.033805262339101e-09,0,,164,55
70,700,1500,5.247195403684274e-08,0,,166,55
71,710,1510,0.006413876032917974,0,,166,55
72,720,1520,0.025437815894995507,0,,168,55
73,730,1530,0.018870098295128184,0,,172,55
74,740,1540,0.21376965728221495,0,,172,55
75,750,1550,0.06035576589337545,0,,172,55
76,760,1560,0.004376420123464426,0,,172,55
77,770,1570,1.602997068953138e-06,0,,171,55
78,780,1580,1.8099396765258558e-05,0,,170,55
79,790,1590,1.644183925535251e-07,0,,172,55
80,800,1600,3.1383377415210996e-05,0,,172,55
81,810,1610,0.010922216379380555,0,,171,55
82,820,1620,0.00944808295960973,0,,173,55
83,830,1630,0.022253078314393424,0,,175,55
84,840,1640,0.02633782376967885,0,,175,55
85,850,1650,0.005207436651298756,0,,174,55
86,860,1660,0.004040169122948953,0,,175,55
87,870,1670,0.07321681160256036,0,,175,55
88,880,1680,0.0,0,,174,55
89,890,1690,0.0,0,,174,55
90,900,1700,0.0,0,,175,55
91,910,1710,2.2258308116083706e-05,0,,174,55
92,920,1720,7.115244530408276e-05,0,,173,55
93,930,1730,5.969412945209088e-06,0,,173,55
94,940,1740,3.3113830992914743e-09,0,,174,55
95,950,1750,6.582790092554514e-09,0,,175,55
96,960,1760,1.6905182680868596e-05,0,,175,55
97,970,1770,0.0,0,,174,55
98,980,1780,0.0,0,,174,55
99,990,1790,0.0,0,,174,55
100,1000,1800,0.0,0,,177,55
101,1010,1810,0.044406714630957925,0,,176,55
102,1020,1820,0.0,0,,175,55
103,1030,1830,0.0,0,,173,55
104,1040,1840,0.010679039194300763,0,,175,55
105,1050,1850,0.22595420888382825,0,,174,55
106,1060,1860,0.06752926244202373,0,,175,55
107,1070,1870,0.0003780249440100618,0,,175,55
108,1080,1880,0.0,0,,177,55
109,1090,1890,0.0,0,,179,55
110,1100,1900,0.0,0,,180,55
111,1110,1910,0.0004423969870884431,0,,180,55
112,1120,1920,0.0009965578393212047,0,,182,55
113,1130,1930,0.0006913140899853851,0,,184,55
114,1140,1940,0.0018620106779615026,0,,183,55
115,1150,1950,0.0009711969801560145,0,,182,55
116,1160,1960,0.003170886470209851,0,,180,55
117,1170,1970,0.0,0,,180,55
118,1180,1980,0.0,0,,182,55
119,1190,1990,0.0,0,,183,55
120,1200,2000,0.04200126794223067,0,,183,55
121,1210,2010,0.013654217064424245,0,,184,55
122,1220,2020,0.006670648344236404,0,,188,55
123,1230,2030,0.0,0,,189,55
124,1240,2040,0.0,0,,186,55
125,1250,2050,0.2739265846173015,0,,187,55
126,1260,2060,0.37452537528700736,0,,187,55
127,1270,2070,0.4971156208718566,0,,188,55
128,1280,2080,0.555495694268747,1,,187,55
129,1290,2090,0.004965030901583848,0,,187,55
130,1300,2100,3.0878444103930434e-05,0,,186,55
131,1310,2110,0.0005463093180976062,0,,186,55
132,1320,2120,2.5409072319324056e-05,0,,187,55
133,1330,2130,2.7551073761773545e-07,0,,186,55
134,1340,2140,6.717575747373778e-05,0,,184,55
135,1350,2150,0.01396424139741794,0,,184,55
136,1360,2160,2.7940493708031255e-05,0,,183,55
137,1370,2170,1.0927655820717945e-06,0,,183,55
138,1380,2180,4.893716420550933e-07,0,,182,55
139,1390,2190,9.889043426555385e-08,0,,181,55
140,1400,2200,0.001714939069412986,0,,181,55
141,1410,2210,0.0022407461844539205,0,,182,55
142,1420,2220,0.0,0,,181,55
143,1430,2230,0.0009105106794186634,0,,180,55
144,1440,2240,6.223493015363226e-07,0,,178,55
145,1450,2250,0.0,0,,176,55
146,1460,2260,0.0,0,,177,55
147,1470,2270,0.009997340240140725,0,,175,55
148,1480,2280,7.493717637536818e-07,0,,172,55
149,1490,2290,4.412844445319615e-05,0,,172,55
150,1500,2300,0.0,0,,172,55
151,1510,2310,0.0,0,,171,55
152,1520,2320,1.1402214005679407e-06,0,,169,55
153,1530,2330,0.0,0,,168,55
154,1540,2340,0.0,0,,168,55
155,1550,2350,0.03100922342352032,0,,166,55
156,1560,2360,0.023995732646577894,0,,167,55
157,1570,2370,0.00236609039106123,0,,170,55
158,1580,2380,5.619210561461051e-06,0,,170,55
159,1590,2390,0.0,0,,170,55
160,1600,2400,0.0,0,,170,55
161,1610,2410,5.547637269239155e-06,0,,168,55
162,1620,2420,1.6279586141228565e-05,0,,168,55
163,1630,2430,3.415474613320191e-09,0,,168,55
164,1640,2440,1.4335548519496302e-07,0,,169,55
165,1650,2450,0.0,0,,169,55
166,1660,2460,0.0,0,,167,55
167,1670,2470,0.0,0,,168,55
168,1680,2480,4.69260264328531e-05,0,,170,55
169,1690,2490,2.452954651912443e-07,0,,171,55
170,1700,2500,1.0273637064538034e-05,0,,170,55
171,1710,2510,0.0,0,,171,55
172,1720,2520,0.0,0,,170,55
173,1730,2530,0.0,0,,169,55
174,1740,2540,0.0,0,,166,55
175,1750,2550,0.0,0,,166,55
176,1760,2560,0.0,0,,166,55
177,1770,2570,0.01531055699932831,0,,167,55
178,1780,2580,0.01273767119936385,0,,169,55
179,1790,2590,0.04538043253769171,0,,170,55
180,1800,2600,0.07502732684131261,0,,171,55
181,1810,2610,0.0420552214350418,0,,173,55
182,1820,2620,0.0023987025422196728,0,,172,55
183,1830,2630,0.0,0,,172,55
184,1840,2640,0.0,0,,169,55
185,1850,2650,0.0,0,,168,55
186,1860,2660,0.0,0,,169,55
187,1870,2670,0.0,0,,170,55
188,1880,2680,3.279004077883286e-08,0,,168,55
189,1890,2690,0.003442109265153434,0,,166,55
190,1900,2700,0.03199282515471808,0,,167,55
191,1910,2710,0.017284894540221984,0,,167,55
192,1920,2720,0.0,0,,167,55
193,1930,2730,0.0,0,,167,55
194,1940,2740,0.0,0,,166,55
195,1950,2750,0.0,0,,168,55
196,1960,2760,0.0,0,,167,55
197,1970,2770,6.467476019147465e-06,0,,165,55
198,1980,2780,0.0015526078930838164,0,,163,55
199,1990,2790,0.01189060460123328,0,,163,55
200,2000,2800,0.002304698474106939,0,,162,55
201,2010,2810,5.086626950869883e-05,0,,158,55
202,2020,2820,1.344291144175688e-06,0,,155,55
203,2030,2830,1.429958981827526e-06,0,,157,55
204,2040,2840,2.0964483904391404e-06,0,,159,55
205,2050,2850,2.4682040812137973e-06,0,,160,55
206,2060,2860,1.1678599877596277e-06,0,,159,55
207,2070,2870,0.00012532525167347963,0,,158,55
208,2080,2880,3.678219081661441e-05,0,,157,55
209,2090,2890,0.0002574711974696581,0,,158,55
210,2100,2900,0.0007756598265738545,0,,156,55
211,2110,2910,0.1710077302314596,0,,157,55
212,2120,2920,0.03139588398221095,0,,157,55
213,2130,2930,0.0,0,,155,55
214,2140,2940,0.0,0,,155,55
215,2150,2950,0.00148561469201929,0,,155,55
216,2160,2960,0.0015224384559890144,0,,156,55
217,2170,2970,0.005903861224553589,0,,156,55
218,2180,2980,0.0,0,,155,55
219,2190,2990,0.0,0,,156,55
220,2200,3000,0.0,0,,157,55
221,2210,3010,0.00035829823877441035,0,,156,55
222,2220,3020,0.0202015376247032,0,,155,55
223,2230,3030,0.0,0,,155,55
224,2240,3040,0.0,0,,155,55
225,2250,3050,0.0004502362650034523,0,,155,55
226,2260,3060,0.0,0,,153,55
227,2270,3070,0.0,0,,154,55
228,2280,3080,0.0,0,,155,55
229,2290,3090,3.3233323274454803e-07,0,,153,55
230,2300,3100,9.973617275011237e-07,0,,154,55
231,2310,3110,3.150697805701429e-06,0,,153,55
232,2320,3120,0.00016802294973903325,0,,154,55
233,2330,3130,0.000906585602117403,0,,155,55
234,2340,3140,0.009169578091955614,0,,154,55
235,2350,3150,0.0008601393249136137,0,,155,55
236,2360,3160,1.2495929118672178e-05,0,,152,55
237,2370,3170,4.287486841861539e-06,0,,150,55
238,2380,3180,6.7881925801373416e-06,0,,152,55
239,2390,3190,9.186102080812244e-07,0,,151,55
240,2400,3200,3.136355074109765e-06,0,,151,55
241,2410,3210,0.00039567735377810744,0,,149,55
242,2420,3220,0.0,0,,150,55
243,2430,3230,0.0,0,,153,55
244,2440,3240,0.0,0,,153,55
245,2450,3250,0.0,0,,154,55
246,2460,3260,0.0,0,,153,55
247,2470,3270,2.2203849854580365e-06,0,,151,55
248,2480,3280,0.0,0,,149,55
249,2490,3290,0.0,0,,150,55
250,2500,3300,0.0,0,,149,55
251,2510,3310,0.0,0,,149,55
252,2520,3320,1.3278259902561786e-07,0,,153,55
253,2530,3330,6.777207080405361e-07,0,,154,55
254,2540,3340,5.0590891678680574e-05,0,,153,55
255,2550,3350,0.0005684717923721501,0,,154,55
256,2560,3360,0.03807635518656713,0,,153,55
257,2570,3370,0.0012457434241818248,0,,153,55
258,2580,3380,0.0,0,,152,55
259,2590,3390,0.0,0,,150,55
260,2600,3400,2.1364103281364414e-07,0,,150,55
261,2610,3410,5.599727742129068e-06,0,,152,55
262,2620,3420,3.741246059545557e-06,0,,150,55
263,2630,3430,0.0,0,,149,55
264,2640,3440,0.0,0,,148,55
265,2650,3450,0.0,0,,149,55
266,2660,3460,4.263287227213492e-05,0,,149,55
267,2670,3470,9.968653213739232e-05,0,,147,55
268,2680,3480,8.962039068765284e-06,0,,146,55
269,2690,3490,2.9657527539551906e-05,0,,146,55
270,2700,3500,0.00024535202082164254,0,,145,55
271,2710,3510,0.0008222532116179752,0,,144,55
272,2720,3520,0.0002706894258833738,0,,145,55
273,2730,3530,0.00045957992227778463,0,,145,55
274,2740,3540,0.00021745070883639987,0,,146,55
275,2750,3550,0.0021073405350645093,0,,144,55
276,2760,3560,0.0005691573818804509,0,,145,55
277,2770,3570,0.0006175517557317543,0,,148,55
278,2780,3580,1.9921938046448027e-06,0,,149,55
279,2790,3590,6.341711837309883e-08,0,,150,55
280,2800,3600,3.153327312337013e-08,0,,154,55
281,2810,3610,1.8681181834012052e-07,0,,154,55
282,2820,3620,0.014128105800488427,0,,155,55
283,2830,3630,0.0,0,,153,55
284,2840,3640,0.0,0,,152,55
285,2850,3650,0.0,0,,151,55
286,2860,3660,0.00018305561813274595,0,,151,55
287,2870,3670,3.401118226763332e-07,0,,150,55
288,2880,3680,1.578446707131344e-05,0,,152,55
289,2890,3690,4.151548025423133e-07,0,,151,55
290,2900,3700,2.5731950127639602e-08,0,,151,55
291,2910,3710,1.085838528963549e-06,0,,152,55
292,2920,3720,0.0,0,,151,55
293,2930,3730,0.0,0,,151,55
294,2940,3740,0.0,0,,152,55
295,2950,3750,0.002987232706017369,0,,153,55
296,2960,3760,0.0004560912558564014,0,,154,55
297,2970,3770,4.968243198163263e-06,0,,156,55
298,2980,3780,1.1750478223761928e-06,0,,158,55
299,2990,3790,7.061411203137247e-08,0,,158,55
300,3000,3800,7.136539817882571e-06,0,,156,55
301,3010,3810,0.00017996617300562704,0,,156,55
302,3020,3820,0.0025493665145000627,0,,156,55
303,3030,3830,0.019931365597313677,0,,154,55
304,3040,3840,0.0013552502155670916,0,,155,55
305,3050,3850,2.2752666957244477e-05,0,,156,55
306,3060,3860,8.534231335983311e-07,0,,155,55
307,3070,3870,2.3286621060391344e-06,0,,155,55
308,3080,3880,0.0005130984811867801,0,,154,55
309,3090,3890,0.0,0,,154,55
310,3100,3900,0.0,0,,154,55
311,3110,3910,0.0018407735451600252,0,,155,55
312,3120,3920,0.0027662137494676633,0,,155,55
313,3130,3930,9.932895244359899e-05,0,,153,55
314,3140,3940,0.0023858849832554922,0,,155,55
315,3150,3950,0.003535180837217995,0,,155,55
316,3160,3960,0.0,0,,154,55
317,3170,3970,0.0001451282571777927,0,,158,55
318,3180,3980,0.0,0,,157,55
319,3190,3990,3.974024740592206e-05,0,,158,55
320,3200,4000,7.495394521777596e-06,0,,158,55
321,3210,4010,4.394944477397731e-05,0,,157,55
322,3220,4020,0.0002995413077078124,0,,156,55
323,3230,4030,0.0004724091067557758,0,,155,55
324,3240,4040,0.0,0,,153,55
325,3250,4050,0.0,0,,156,55
326,3260,4060,0.0,0,,157,55
327,3270,4070,0.0,0,,157,55
328,3280,4080,0.0,0,,156,55
329,3290,4090,0.0,0,,158,55
330,3300,4100,0.0005197432115604796,0,,160,55
331,3310,4110,0.013339595695110477,0,,159,55
332,3320,4120,0.0,0,,157,55
333,3330,4130,0.0,0,,159,55
334,3340,4140,0.0014402833175257864,0,,158,55
335,3350,4150,0.0,0,,159,55
336,3360,4160,0.0,0,,160,55
337,3370,4170,0.0,0,,159,55
338,3380,4180,0.0006333951497009502,0,,159,55
339,3390,4190,0.0019043426039490198,0,,158,55
340,3400,4200,0.001648281711761792,0,,156,55
341,3410,4210,0.0003683697158522542,0,,156,55
342,3420,4220,0.0001492339172861175,0,,157,55
343,3430,4230,0.0,0,,157,55
344,3440,4240,0.0,0,,159,55
