window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.6026540430697268,1,,162,100
1,10,810,0.0750917116984852,1,,162,100
2,20,820,0.07458987110952635,1,,158,100
3,30,830,0.10807017499514619,1,,155,100
4,40,840,0.067646362085702,1,,156,100
5,50,850,0.09079690701816162,1,,159,100
6,60,860,0.09191845910517855,1,,158,100
7,70,870,0.06836926837099573,1,,160,100
8,80,880,0.06133423682022151,1,,159,100
9,90,890,0.048591002675968754,1,,158,100
10,100,900,0.10603281802655468,1,,156,100
11,110,910,0.08309050999537315,1,,157,100
12,120,920,0.13273534710949192,1,,157,100
13,130,930,0.31020060200550176,1,,156,100
14,140,940,0.28612369377001884,1,,158,100
15,150,950,0.2635331755999752,1,,159,100
16,160,960,0.2322369772276358,1,,159,100
17,170,970,0.23353126956726503,1,,160,100
18,180,980,0.3078632399632932,1,,161,100
19,190,990,0.2932934212430132,1,,161,100
20,200,1000,0.27812661632252594,1,,162,100
21,210,1010,0.3056985258862473,1,,161,100
22,220,1020,0.30076045061776113,1,,162,100
23,230,1030,0.10901433269810352,1,,161,100
24,240,1040,0.12880055770113152,1,,160,100
25,250,1050,0.11217071481034097,1,,160,100
26,260,1060,0.2987683231478478,1,,158,100
27,270,1070,0.2739442896961728,1,,158,100
28,280,1080,0.26796938700044115,1,,159,100
29,290,1090,0.286992038537704,1,,159,100
30,300,1100,0.27673467227386456,1,,159,100
31,310,1110,0.22544068502489392,1,,160,100
32,320,1120,0.2670875511276114,1,,160,100
33,330,1130,0.19466767601674745,1,,160,100
34,340,1140,0.1955605894693239,1,,159,100
35,350,1150,0.1510580708229544,1,,159,100
36,360,1160,0.09536154507337125,1,,158,100
37,370,1170,0.1283412127500806,1,,158,100
38,380,1180,0.10542588066160384,1,,158,100
39,390,1190,0.08059345588668645,1,,158,100
40,400,1200,0.13338949831109262,1,,156,100
41,410,1210,0.13399214216325614,1,,156,100
42,420,1220,0.09844613489446787,1,,155,100
43,430,1230,0.10443496086319043,1,,156,100
44,440,1240,0.05957049211821231,1,,156,100
45,450,1250,0.042431304755777735,1,,158,100
46,460,1260,0.09129422201723426,1,,157,100
47,470,1270,0.11339255223215056,1,,157,100
48,480,1280,0.4794346879187778,1,,156,100
49,490,1290,0.40028456031105897,1,,155,100
50,500,1300,0.5492138672634238,1,,155,100
51,510,1310,0.32314705592498794,1,,153,100
52,520,1320,0.38373401448037464,1,,156,100
53,530,1330,0.38875212526469466,1,,155,100
54,540,1340,0.4840291237013166,1,,153,100
55,550,1350,0.41599328824167753,1,,151,100
56,560,1360,0.5046792610293178,1,,150,100
57,570,1370,0.4656888330190405,1,,152,100
58,580,1380,0.7835670166387688,1,,151,100
59,590,1390,0.8645866890718367,1,,153,100
60,600,1400,0.8486770198861511,1,,152,100
61,610,1410,0.8473664077870805,1,,153,100
62,620,1420,0.8618725151865095,1,,152,100
63,630,1430,0.7258671551745532,1,,152,100
64,640,1440,0.7730222347167751,1,,152,100
65,650,1450,0.6469975199275269,1,,152,100
66,660,1460,0.6656384791751626,1,,152,100
67,670,1470,0.6659020480494331,1,,152,100
68,680,1480,0.5897213868076348,1,,153,100
69,690,1490,0.456880576279579,1,,153,100
70,700,1500,0.5347967910046968,1,,151,100
71,710,1510,0.6147537548297084,1,,153,100
72,720,1520,0.6687907220805014,1,,153,100
73,730,1530,0.5597055491116747,1,,153,100
74,740,1540,0.6289869607110397,1,,152,100
75,750,1550,0.5917689800781325,1,,153,100
76,760,1560,0.580411544107437,1,,154,100
77,770,1570,0.4867952757483285,1,,154,100
78,780,1580,0.42474094022016,1,,154,100
79,790,1590,0.1209707296120258,1,,155,100
80,800,1600,0.2665320050978705,1,,153,100
81,810,1610,0.272915021664203,1,,155,100
82,820,1620,0.2975253004369691,1,,157,100
83,830,1630,0.3142376968384239,1,,156,100
84,840,1640,0.34006163307362114,1,,157,100
85,850,1650,0.26985123109236636,1,,158,100
86,860,1660,0.2516076819951937,1,,158,100
87,870,1670,0.2444070605253541,1,,158,100
88,880,1680,0.13417394584975115,1,,160,100
89,890,1690,0.1765588250029048,1,,161,100
90,900,1700,0.1750648237558709,1,,161,100
91,910,1710,0.3749010271101607,1,,161,100
92,920,1720,0.5221379291525095,1,,159,100
93,930,1730,0.5331904513460766,1,,157,100
94,940,1740,0.5085067123992818,1,,158,100
95,950,1750,0.5058634991969314,1,,158,100
96,960,1760,0.5537234179327549,1,,158,100
97,970,1770,0.6043192687264205,1,,157,100
98,980,1780,0.42125221788615724,1,,157,100
99,990,1790,0.34766559294455623,1,,158,100
100,1000,1800,0.5016793752455864,1,,159,100
101,1010,1810,0.5190520290633017,1,,160,100
102,1020,1820,0.5553289232888529,1,,160,100
103,1030,1830,0.5305151511026797,1,,158,100
104,1040,1840,0.7121483857735662,1,,159,100
105,1050,1850,0.6928661152399113,1,,161,100
106,1060,1860,0.8624222404418085,1,,160,100
107,1070,1870,0.8505417499825142,1,,160,100
108,1080,1880,0.837268570657765,1,,159,100
109,1090,1890,0.7798043149514231,1,,159,100
110,1100,1900,0.7181060506749776,1,,158,100
111,1110,1910,0.687574040791956,1,,159,100
112,1120,1920,0.7297206239602674,1,,158,100
113,1130,1930,0.7116531787182196,1,,158,100
114,1140,1940,0.7543394254212399,1,,160,100
115,1150,1950,0.7633671054683989,1,,160,100
116,1160,1960,0.6553272766813927,1,,158,100
117,1170,1970,0.6262081419438675,1,,158,100
118,1180,1980,0.6773250768433933,1,,156,100
119,1190,1990,0.5246949858442005,1,,159,100
120,1200,2000,0.48824530219685747,1,,160,100
121,1210,2010,0.5620365417218451,1,,159,100
122,1220,2020,0.5942863932660517,1,,161,100
123,1230,2030,0.5565714459823198,1,,160,100
124,1240,2040,0.5896244496269115,1,,161,100
125,1250,2050,0.08915125626855684,1,,159,100
126,1260,2060,0.07904419856283922,1,,161,100
127,1270,2070,0.08835252945120839,1,,160,100
128,1280,2080,0.0684325572927549,1,,160,100
129,1290,2090,0.06568563831013295,1,,163,100
130,1300,2100,0.07195765763689324,1,,164,100
131,1310,2110,0.17116608386279034,1,,164,100
132,1320,2120,0.043165790786809155,1,,162,100
133,1330,2130,0.09586984313580753,1,,163,100
134,1340,2140,0.10043019962933541,1,,164,100
135,1350,2150,0.08527366001280286,1,,164,100
136,1360,2160,0.06706444704754881,1,,165,100
137,1370,2170,0.0707151324887217,1,,166,100
138,1380,2180,0.05807501001741676,1,,165,100
139,1390,2190,0.05152479765500858,1,,164,100
140,1400,2200,0.03940170881607916,1,,163,100
141,1410,2210,0.047228271783780036,1,,165,100
142,1420,2220,0.05930611356966624,1,,164,100
143,1430,2230,0.047942667350072625,1,,165,100
144,1440,2240,0.06951771504423714,1,,164,100
145,1450,2250,0.07333330984527844,1,,163,100
