window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.12346057954924447,1,,149,100
1,10,810,0.3373131718327777,1,,149,100
2,20,820,0.3100073202604464,1,,149,100
3,30,830,0.4166456609040939,1,,148,100
4,40,840,0.4733973542819746,1,,149,100
5,50,850,0.4367698034540199,1,,147,100
6,60,860,0.6361147354345864,1,,147,100
7,70,870,0.5304284364321339,1,,148,100
8,80,880,0.5552278147200711,1,,147,100
9,90,890,0.5414818396723896,1,,148,100
10,100,900,0.45196257511566257,1,,150,100
11,110,910,0.4291611960023218,1,,149,100
12,120,920,0.45360585129498787,1,,150,100
13,130,930,0.5823784837006664,1,,150,100
14,140,940,0.48057188767582476,1,,151,100
15,150,950,0.28822243556800053,1,,151,100
16,160,960,0.37238407871962576,1,,150,100
17,170,970,0.4648862951749849,1,,151,100
18,180,980,0.785197743863117,1,,150,100
19,190,990,0.7644524575318361,1,,153,100
20,200,1000,0.7787651487331239,1,,153,100
21,210,1010,0.8429043444453554,1,,153,100
22,220,1020,0.8000524962177241,1,,156,100
23,230,1030,0.8536264598577092,1,,153,100
24,240,1040,0.8796428364280678,1,,149,100
25,250,1050,0.8653910281647551,1,,147,100
26,260,1060,0.7620479168010093,1,,144,100
27,270,1070,0.8143269888472753,1,,141,100
28,280,1080,0.7752183445767787,1,,141,100
29,290,1090,0.7594124354679124,1,,140,100
30,300,1100,0.7858992375695159,1,,136,100
31,310,1110,0.8036151316819508,1,,134,100
32,320,1120,0.8653327081572727,1,,131,100
33,330,1130,0.8925235228832632,1,,129,100
34,340,1140,0.8203648611907561,1,,128,100
35,350,1150,0.8646968172349446,1,,126,100
36,360,1160,0.8985328234731845,1,,123,100
37,370,1170,0.8287741715446302,1,,122,100
38,380,1180,0.8785576730141056,1,,121,100
39,390,1190,0.8638170510276709,1,,118,100
40,400,1200,0.8947231196814863,1,,115,100
41,410,1210,0.8780098497740313,1,,113,100
42,420,1220,0.8894854424447718,1,,112,100
43,430,1230,0.8831844596357508,1,,111,100
44,440,1240,0.8945762732844154,1,,108,100
45,450,1250,0.8985627150309893,1,,107,100
46,460,1260,0.8947707162934581,1,,106,100
47,470,1270,0.930082201898149,1,,103,100
48,480,1280,0.9262692173720775,1,,103,100
49,490,1290,0.8859598397860362,1,,101,100
