window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.6163879323139133,1,,161,100
1,10,810,0.3448908842622085,1,,162,100
2,20,820,0.31283167125604416,1,,158,100
3,30,830,0.00730746184571542,1,,155,100
4,40,840,0.002923838837609583,1,,155,100
5,50,850,0.006612693750848455,1,,159,100
6,60,860,0.0040713753893472475,1,,158,100
7,70,870,0.005380063183869334,1,,160,100
8,80,880,0.003960332061792064,1,,158,100
9,90,890,0.0046452163967815535,1,,158,100
10,100,900,0.008419920469930078,1,,155,100
11,110,910,0.004356432595865862,1,,157,100
12,120,920,0.010053597541658413,1,,157,100
13,130,930,0.01583469965578988,1,,157,100
14,140,940,0.02053247008943477,1,,158,100
15,150,950,0.029603384614860846,1,,159,100
16,160,960,0.015694305604690432,1,,158,100
17,170,970,0.022704241891933888,1,,160,100
18,180,980,0.020451404634133617,1,,161,100
19,190,990,0.012939154424632655,1,,161,100
20,200,1000,0.015011769524581423,1,,161,100
21,210,1010,0.011667030471974265,1,,161,100
22,220,1020,0.010586381996009558,1,,161,100
23,230,1030,0.008842503563289895,1,,160,100
24,240,1040,0.007901975893775746,1,,160,100
25,250,1050,0.005909881163916469,1,,159,100
26,260,1060,0.4141037210445072,1,,159,100
27,270,1070,0.4071542108085597,1,,159,100
28,280,1080,0.38855541146434686,1,,158,100
29,290,1090,0.41723769135936983,1,,159,100
30,300,1100,0.39391238694370606,1,,159,100
31,310,1110,0.4021406933532752,1,,160,100
32,320,1120,0.47151893556766317,1,,159,100
33,330,1130,0.362640067425644,1,,159,100
34,340,1140,0.4140287240198084,1,,159,100
35,350,1150,0.3772501162625455,1,,158,100
36,360,1160,0.27722227298659363,1,,158,100
37,370,1170,0.32852151399021845,1,,158,100
38,380,1180,0.23555840980014028,1,,158,100
39,390,1190,0.18367053163942834,1,,158,100
40,400,1200,0.2656241367983528,1,,156,100
41,410,1210,0.3732883038302522,1,,156,100
42,420,1220,0.2205943078485027,1,,157,100
43,430,1230,0.24435820501017166,1,,155,100
44,440,1240,0.15109622164134023,1,,156,100
45,450,1250,0.0653818951529089,1,,158,100
46,460,1260,0.1803682936739959,1,,157,100
47,470,1270,0.1635825058618298,1,,157,100
48,480,1280,0.6366534467669926,1,,156,100
49,490,1290,0.48719681303042606,1,,156,100
50,500,1300,0.6859027161400421,1,,155,100
51,510,1310,0.42605744343619645,1,,153,100
52,520,1320,0.38968930263498713,1,,155,100
53,530,1330,0.3383898092693169,1,,155,100
54,540,1340,0.48282491084108387,1,,153,100
55,550,1350,0.4423936877425672,1,,151,100
56,560,1360,0.5708253101905657,1,,151,100
57,570,1370,0.4715217229724385,1,,152,100
58,580,1380,0.8372994042597524,1,,151,100
59,590,1390,0.8781619018249683,1,,152,100
60,600,1400,0.9105072747327926,1,,152,100
61,610,1410,0.8763982307005124,1,,152,100
62,620,1420,0.8403087694401384,1,,153,100
63,630,1430,0.8522712541502195,1,,152,100
64,640,1440,0.7523733134055697,1,,152,100
65,650,1450,0.649213858021141,1,,152,100
66,660,1460,0.6633153268388732,1,,153,100
67,670,1470,0.6942198241406411,1,,152,100
68,680,1480,0.6605590131788465,1,,152,100
69,690,1490,0.5327124278728611,1,,151,100
70,700,1500,0.5229651751140223,1,,152,100
71,710,1510,0.5365290385848958,1,,153,100
72,720,1520,0.6338142359382586,1,,154,100
73,730,1530,0.5763146429470277,1,,154,100
74,740,1540,0.61598149640129,1,,153,100
75,750,1550,0.6568004303365065,1,,153,100
76,760,1560,0.4857259834480473,1,,155,100
77,770,1570,0.5331300970584004,1,,155,100
78,780,1580,0.5987163533053419,1,,154,100
79,790,1590,0.32923666446902705,1,,154,100
80,800,1600,0.26661929253449845,1,,153,100
81,810,1610,0.2991404238413797,1,,155,100
82,820,1620,0.21601658465245294,1,,157,100
83,830,1630,0.29064172000689475,1,,156,100
84,840,1640,0.33724485109361135,1,,158,100
85,850,1650,0.20338448719142185,1,,159,100
86,860,1660,0.24963246544006018,1,,159,100
87,870,1670,0.14080539739464906,1,,158,100
88,880,1680,0.2441020180577693,1,,159,100
89,890,1690,0.23232299311454832,1,,161,100
90,900,1700,0.26599912063094316,1,,161,100
91,910,1710,0.4366696493914103,1,,161,100
92,920,1720,0.40019500263809205,1,,160,100
93,930,1730,0.45717819268482973,1,,160,100
94,940,1740,0.4781382751814553,1,,159,100
95,950,1750,0.45981746064712414,1,,159,100
96,960,1760,0.6095672135204854,1,,157,100
97,970,1770,0.5889945796820383,1,,157,100
98,980,1780,0.3757462752490776,1,,157,100
99,990,1790,0.32774604511232036,1,,158,100
100,1000,1800,0.4908766014877246,1,,159,100
101,1010,1810,0.44548592447906876,1,,160,100
102,1020,1820,0.49712619927748736,1,,160,100
103,1030,1830,0.5868528383526752,1,,158,100
