window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.9288372171545737e-45,0,,152,100
1,10,810,1.194920669938393e-47,0,,151,100
2,20,820,1.8373714110360276e-52,0,,149,100
3,30,830,2.2762620697563705e-60,0,,147,100
4,40,840,9.023429020942167e-67,0,,144,100
5,50,850,7.77599905384861e-70,0,,141,100
6,60,860,6.104026570265415e-68,0,,139,100
7,70,870,1.784375544833134e-67,0,,137,100
8,80,880,2.0621402662960594e-64,0,,138,100
9,90,890,1.777374292601137e-64,0,,136,100
10,100,900,2.8306032980309066e-67,0,,134,100
11,110,910,1.200900516130734e-69,0,,135,100
12,120,920,4.060658493205441e-72,0,,137,100
13,130,930,9.257776647980649e-67,0,,136,100
14,140,940,3.5788678232064794e-67,0,,137,100
15,150,950,1.2980229022383743e-69,0,,138,100
16,160,960,2.3356943703898054e-70,0,,139,100
17,170,970,4.111232548195097e-71,0,,137,100
18,180,980,1.772394162200024e-71,0,,136,100
19,190,990,1.082678105033001e-71,0,,138,100
20,200,1000,6.220966793959851e-72,0,,138,100
21,210,1010,8.768403349312664e-70,0,,135,100
22,220,1020,2.1180569146616776e-67,0,,134,100
23,230,1030,5.441710644582269e-65,0,,137,100
24,240,1040,2.682299072371232e-59,0,,136,100
25,250,1050,2.551420053712397e-64,0,,136,100
26,260,1060,7.602030988027745e-66,0,,136,100
27,270,1070,7.4186263573786955e-65,0,,136,100
28,280,1080,3.71069654443562e-62,0,,135,100
29,290,1090,4.7545773715981865e-62,0,,135,100
30,300,1100,2.8870219608348524e-59,0,,134,100
31,310,1110,1.1401382154732002e-61,0,,133,100
32,320,1120,7.541985900993322e-63,0,,133,100
33,330,1130,1.0603722028373405e-60,0,,133,100
34,340,1140,2.8384965055289326e-62,0,,131,100
35,350,1150,2.4975642436777542e-62,0,,132,100
36,360,1160,3.706147367954666e-59,0,,134,100
37,370,1170,3.034055360878952e-60,0,,133,100
38,380,1180,8.984795578072974e-61,0,,134,100
39,390,1190,1.4108066265905245e-61,0,,134,100
40,400,1200,1.5007575823675683e-61,0,,135,100
41,410,1210,7.987248105509702e-60,0,,135,100
42,420,1220,5.6969036746432744e-58,0,,137,100
43,430,1230,4.9438714776772136e-55,0,,136,100
44,440,1240,2.3813931093741385e-54,0,,138,100
45,450,1250,9.546218469349351e-52,0,,139,100
46,460,1260,8.05229794617237e-52,0,,138,100
47,470,1270,4.314723837763344e-53,0,,139,100
48,480,1280,1.2379540363046046e-53,0,,139,100
49,490,1290,1.6587139392732068e-53,0,,139,100
50,500,1300,1.4401808736169066e-53,0,,142,100
51,510,1310,6.199725255157051e-55,0,,142,100
52,520,1320,5.443127297830759e-53,0,,140,100
53,530,1330,3.3453097044963944e-52,0,,142,100
54,540,1340,4.572471818134866e-52,0,,145,100
55,550,1350,1.102514207910772e-47,0,,145,100
56,560,1360,1.7815212185699944e-44,0,,147,100
57,570,1370,2.9320116620162133e-41,0,,147,100
58,580,1380,5.145651355123586e-39,0,,149,100
59,590,1390,1.514318269617841e-38,0,,150,100
60,600,1400,2.940547704484735e-42,0,,151,100
61,610,1410,5.896919374822469e-41,0,,150,100
62,620,1420,1.5794784278044949e-41,0,,150,100
