window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.9635506042956189,1,,161,55
1,10,810,0.9605137427515912,1,,162,55
2,20,820,0.9766543689937879,1,,158,55
3,30,830,0.95049916567915,1,,155,55
4,40,840,0.9026598739319518,1,,155,55
5,50,850,0.905652055891173,1,,159,55
6,60,860,0.8635350183899592,1,,158,55
7,70,870,0.9103661692833835,1,,160,55
8,80,880,0.5892302510606748,1,,158,55
9,90,890,0.5416205647689022,1,,158,55
10,100,900,0.6391131551249621,1,,155,55
11,110,910,0.43276082414344913,0,,157,55
12,120,920,0.5070179881806156,1,,157,55
13,130,930,0.9416877391372744,1,,157,55
14,140,940,0.9334083540651236,1,,158,55
15,150,950,0.9624869573031128,1,,159,55
16,160,960,0.9405569438731919,1,,158,55
17,170,970,0.9560374815102682,1,,160,55
18,180,980,0.9822007461575163,1,,161,55
19,190,990,0.9711336987722379,1,,161,55
20,200,1000,0.9440076833882083,1,,161,55
21,210,1010,0.9829878668343024,1,,161,55
22,220,1020,0.9801702615833606,1,,161,55
23,230,1030,0.028618620562107382,0,,160,55
24,240,1040,0.017081565564234735,0,,160,55
25,250,1050,0.012601954944715617,0,,159,55
26,260,1060,0.9848871032748452,1,,159,55
27,270,1070,0.9619951743901632,1,,159,55
28,280,1080,0.9754907265106882,1,,158,55
29,290,1090,0.9560885964186886,1,,159,55
30,300,1100,0.9372654031462307,1,,159,55
31,310,1110,0.9756767942315167,1,,160,55
32,320,1120,0.988291252324589,1,,159,55
33,330,1130,0.9816932804694584,1,,159,55
34,340,1140,0.9839484230481208,1,,159,55
35,350,1150,0.9836274557804273,1,,158,55
36,360,1160,0.9707374024188995,1,,158,55
37,370,1170,0.9771108429155656,1,,158,55
38,380,1180,0.8814841665541004,1,,158,55
39,390,1190,0.8864648383105368,1,,158,55
40,400,1200,0.9936762042109365,1,,156,55
41,410,1210,0.9898118148702962,1,,156,55
42,420,1220,0.8283195283013488,1,,157,55
43,430,1230,0.823803865235987,1,,155,55
44,440,1240,0.7229032105140031,1,,156,55
45,450,1250,0.6137060512764294,1,,158,55
46,460,1260,0.3678184000225627,0,,157,55
47,470,1270,0.2756041470456438,0,,157,55
48,480,1280,0.9571707160027932,1,,156,55
49,490,1290,0.9712967440808459,1,,156,55
50,500,1300,0.9893286470515099,1,,155,55
51,510,1310,0.9601528497921804,1,,153,55
52,520,1320,0.9594058461742079,1,,155,55
53,530,1330,0.9732662026746658,1,,155,55
54,540,1340,0.9790304795942465,1,,153,55
55,550,1350,0.9913611167071769,1,,151,55
56,560,1360,0.6034912378343686,1,,151,55
57,570,1370,0.5306080609162077,1,,152,55
58,580,1380,0.8835951121787707,1,,151,55
59,590,1390,0.9840703190553199,1,,152,55
60,600,1400,0.990197005775339,1,,152,55
61,610,1410,0.9885495561012759,1,,152,55
62,620,1420,0.9797364646072575,1,,153,55
63,630,1430,0.9897248345188968,1,,152,55
64,640,1440,0.9882083256052452,1,,152,55
65,650,1450,0.9825791700309336,1,,152,55
