window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.1256316364056916,1,,149,100
1,10,810,0.346069190591381,1,,149,100
2,20,820,0.31609597265476774,1,,149,100
3,30,830,0.42522918286430744,1,,148,100
4,40,840,0.48299597883372924,1,,149,100
5,50,850,0.4440685304209588,1,,147,100
6,60,860,0.6441840199604911,1,,147,100
7,70,870,0.5397006422434574,1,,148,100
8,80,880,0.5658854952545961,1,,147,100
9,90,890,0.5500368387283621,1,,148,100
10,100,900,0.4657534751694846,1,,150,100
11,110,910,0.4373182736521314,1,,149,100
12,120,920,0.45944934107863045,1,,150,100
13,130,930,0.5892330271955126,1,,150,100
14,140,940,0.48843517488520133,1,,151,100
15,150,950,0.2950678487212342,1,,151,100
16,160,960,0.38182956771719373,1,,150,100
17,170,970,0.472044384055792,1,,151,100
18,180,980,0.7953520440960811,1,,150,100
19,190,990,0.7742292709215581,1,,153,100
20,200,1000,0.7860091152153645,1,,153,100
21,210,1010,0.8482885665504765,1,,153,100
22,220,1020,0.8084205556767162,1,,156,100
23,230,1030,0.8589819396362083,1,,153,100
24,240,1040,0.8861035847922161,1,,149,100
25,250,1050,0.8796423924808924,1,,147,100
26,260,1060,0.7816614994606658,1,,144,100
27,270,1070,0.8299235247354378,1,,141,100
28,280,1080,0.7934497893270395,1,,141,100
29,290,1090,0.7802616202623779,1,,140,100
30,300,1100,0.8000974654863943,1,,136,100
31,310,1110,0.8174151451091052,1,,134,100
32,320,1120,0.8860593920044771,1,,131,100
33,330,1130,0.906349181978166,1,,129,100
34,340,1140,0.8530159950897915,1,,128,100
35,350,1150,0.8799225863552251,1,,126,100
36,360,1160,0.9103006719214638,1,,123,100
37,370,1170,0.8526191374480813,1,,122,100
38,380,1180,0.8937756194475759,1,,121,100
39,390,1190,0.8791543514645668,1,,118,100
40,400,1200,0.9084690414043258,1,,115,100
41,410,1210,0.8927174545462623,1,,113,100
42,420,1220,0.9047670914081432,1,,112,100
43,430,1230,0.9007288659187119,1,,111,100
44,440,1240,0.9128777106976632,1,,108,100
45,450,1250,0.9141983092668231,1,,107,100
46,460,1260,0.9160086802615368,1,,106,100
47,470,1270,0.9420009448408964,1,,103,100
48,480,1280,0.9366960871736948,1,,103,100
49,490,1290,0.911859776644613,1,,101,100
