window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,2.5871451204815106e-10,0,,194,100
1,10,810,6.386014610069673e-10,0,,194,100
2,20,820,3.325326387779409e-10,0,,196,100
3,30,830,3.6396799152578224e-09,0,,194,100
4,40,840,2.2202389922550817e-09,0,,192,100
5,50,850,1.5524477711525638e-09,0,,193,100
6,60,860,1.9816998366209196e-09,0,,193,100
7,70,870,3.4586039955642156e-10,0,,192,100
8,80,880,5.953030362537881e-10,0,,192,100
9,90,890,6.639113129226276e-10,0,,193,100
10,100,900,4.879043593371203e-09,0,,193,100
11,110,910,3.350801642332691e-09,0,,192,100
12,120,920,6.327778356611718e-09,0,,194,100
13,130,930,4.057758347727859e-09,0,,194,100
14,140,940,1.092274566337351e-08,0,,197,100
15,150,950,7.188369419520355e-07,0,,196,100
16,160,960,4.048407406312094e-10,0,,194,100
17,170,970,9.139851130541839e-10,0,,194,100
18,180,980,2.102758196544062e-05,0,,194,100
19,190,990,3.894099995837527e-05,0,,195,100
20,200,1000,4.760881065144756e-05,0,,195,100
21,210,1010,4.6892408739182546e-05,0,,196,100
22,220,1020,5.3341373990634756e-05,0,,194,100
23,230,1030,9.243041746266091e-05,0,,192,100
24,240,1040,0.0018826017336496575,1,,193,100
25,250,1050,0.0015231972293041182,1,,191,100
26,260,1060,0.0011228119919692802,1,,192,100
27,270,1070,0.0016844764587193928,1,,192,100
28,280,1080,0.03403477253163184,1,,189,100
29,290,1090,0.00023522801057690839,0,,190,100
30,300,1100,0.00013591563261074261,0,,190,100
31,310,1110,6.197653730497927e-05,0,,187,100
32,320,1120,3.746926983326995e-05,0,,188,100
33,330,1130,1.44951470393034e-05,0,,187,100
34,340,1140,1.3560322633334608e-06,0,,187,100
35,350,1150,8.410431740677771e-07,0,,188,100
36,360,1160,6.744358578806405e-06,0,,187,100
37,370,1170,9.2840106452883e-06,0,,190,100
38,380,1180,6.36970903601649e-07,0,,192,100
39,390,1190,0.0,0,,195,100
40,400,1200,0.0,0,,193,100
41,410,1210,0.0,0,,192,100
42,420,1220,0.0,0,,192,100
43,430,1230,0.0,0,,195,100
44,440,1240,0.0,0,,194,100
45,450,1250,0.0,0,,195,100
46,460,1260,0.0,0,,197,100
47,470,1270,0.0,0,,197,100
48,480,1280,0.0,0,,198,100
49,490,1290,0.0,0,,200,100
50,500,1300,0.0,0,,201,100
51,510,1310,0.0,0,,199,100
52,520,1320,0.000241863126216447,0,,198,100
53,530,1330,0.0003153949187148895,0,,199,100
54,540,1340,4.841980364618351e-05,0,,195,100
55,550,1350,3.3180104629056935e-05,0,,193,100
56,560,1360,6.696790927448433e-05,0,,194,100
57,570,1370,2.5996411482145056e-05,0,,193,100
58,580,1380,2.2867620189586044e-05,0,,194,100
59,590,1390,1.8152542399451838e-05,0,,193,100
60,600,1400,9.584972547547352e-05,0,,195,100
61,610,1410,6.878467704633283e-05,0,,192,100
62,620,1420,0.00010362563667503287,0,,194,100
63,630,1430,1.3207727856890982e-05,0,,191,100
64,640,1440,7.981516883740877e-06,0,,189,100
65,650,1450,2.9869227085308746e-05,0,,190,100
66,660,1460,4.2041951209430944e-05,0,,190,100
67,670,1470,1.1615963892779283e-05,0,,190,100
68,680,1480,1.2327276494145524e-06,0,,191,100
69,690,1490,3.3621366479241777e-07,0,,190,100
70,700,1500,1.527195961778112e-08,0,,189,100
71,710,1510,9.072011446176731e-09,0,,191,100
72,720,1520,3.299003014252737e-09,0,,190,100
73,730,1530,4.195850665842106e-09,0,,189,100
74,740,1540,1.3422359594000007e-11,0,,187,100
75,750,1550,1.6591590684363987e-11,0,,189,100
76,760,1560,3.6781871691234037e-11,0,,188,100
77,770,1570,9.348246518054034e-12,0,,188,100
78,780,1580,1.581192275713749e-11,0,,187,100
79,790,1590,6.568016945903505e-12,0,,188,100
80,800,1600,1.1557809386824115e-10,0,,187,100
81,810,1610,2.792860017949641e-12,0,,187,100
82,820,1620,1.9237242981979926e-11,0,,187,100
83,830,1630,8.13988182253173e-11,0,,188,100
84,840,1640,3.430240682868644e-11,0,,188,100
85,850,1650,2.5712511634918557e-09,0,,188,100
86,860,1660,1.7501916702353545e-09,0,,189,100
87,870,1670,2.2787162697783745e-07,0,,188,100
88,880,1680,1.6276851112318293e-06,0,,187,100
89,890,1690,1.2144416129365035e-05,0,,188,100
90,900,1700,1.0310546743300945e-05,0,,188,100
91,910,1710,1.087159552045341e-05,0,,187,100
92,920,1720,3.1745572479211505e-05,0,,187,100
93,930,1730,1.4560765801021407e-05,0,,186,100
94,940,1740,0.0009227652912297062,0,,185,100
95,950,1750,0.0005331212529890725,0,,188,100
96,960,1760,0.0007872847742292907,0,,187,100
97,970,1770,0.000972791660944942,0,,188,100
98,980,1780,0.0005067245712140397,0,,188,100
99,990,1790,0.0004012345566893357,0,,189,100
100,1000,1800,1.900324637480192e-05,0,,188,100
101,1010,1810,1.5473152419452282e-05,0,,192,100
102,1020,1820,1.914027899901041e-05,0,,191,100
103,1030,1830,7.995823867023294e-06,0,,192,100
104,1040,1840,8.894404282832543e-06,0,,194,100
105,1050,1850,4.193813667395421e-05,0,,192,100
106,1060,1860,6.971921442752237e-08,0,,191,100
107,1070,1870,1.7354041643948766e-06,0,,192,100
108,1080,1880,5.451677623612212e-07,0,,190,100
109,1090,1890,1.648402281116187e-06,0,,191,100
110,1100,1900,3.2348619242152797e-09,0,,191,100
111,1110,1910,9.621910530978066e-10,0,,191,100
112,1120,1920,1.1076692967013986e-10,0,,191,100
113,1130,1930,9.129807058672202e-11,0,,192,100
114,1140,1940,2.0875880908233913e-12,0,,191,100
115,1150,1950,7.919650302199481e-13,0,,190,100
