window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.82,1,,166,100
1,10,810,0.6,1,,166,100
2,20,820,0.71,1,,167,100
3,30,830,0.66,1,,166,100
4,40,840,0.78,1,,169,100
5,50,850,0.56,1,,167,100
6,60,860,0.68,1,,167,100
7,70,870,0.7,1,,168,100
8,80,880,0.67,1,,168,100
9,90,890,0.49,1,,169,100
10,100,900,0.52,1,,171,100
11,110,910,0.5,1,,172,100
12,120,920,0.53,1,,173,100
13,130,930,0.28,1,,174,100
14,140,940,0.32,1,,173,100
15,150,950,0.23,1,,173,100
16,160,960,0.24,1,,174,100
17,170,970,0.21,1,,175,100
18,180,980,0.1,1,,176,100
19,190,990,0.11,1,,177,100
20,200,1000,0.26,1,,177,100
21,210,1010,0.29,1,,179,100
22,220,1020,0.32,1,,182,100
23,230,1030,0.47,1,,179,100
24,240,1040,0.71,1,,175,100
25,250,1050,0.66,1,,173,100
26,260,1060,0.66,1,,170,100
27,270,1070,0.76,1,,167,100
28,280,1080,0.59,1,,167,100
29,290,1090,0.58,1,,164,100
30,300,1100,0.66,1,,159,100
31,310,1110,0.62,1,,157,100
32,320,1120,0.72,1,,154,100
33,330,1130,0.67,1,,152,100
34,340,1140,0.68,1,,151,100
35,350,1150,0.7,1,,149,100
36,360,1160,0.81,1,,146,100
37,370,1170,0.57,1,,145,100
38,380,1180,0.72,1,,143,100
39,390,1190,0.64,1,,140,100
40,400,1200,0.79,1,,137,100
41,410,1210,0.85,1,,135,100
42,420,1220,0.92,1,,134,100
43,430,1230,0.86,1,,133,100
44,440,1240,0.79,1,,129,100
45,450,1250,0.89,1,,127,100
46,460,1260,0.98,1,,126,100
47,470,1270,0.88,1,,123,100
48,480,1280,0.84,1,,123,100
49,490,1290,0.81,1,,121,100
50,500,1300,0.86,1,,119,100
51,510,1310,0.83,1,,117,100
52,520,1320,0.76,1,,115,100
53,530,1330,0.79,1,,115,100
54,540,1340,0.93,1,,113,100
55,550,1350,0.91,1,,111,100
56,560,1360,0.91,1,,109,100
57,570,1370,0.94,1,,106,100
58,580,1380,0.92,1,,105,100
59,590,1390,0.92,1,,101,100
