window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,9.413321169804706e-07,0,,202,100
1,10,810,1.8312435744191906e-08,0,,203,100
2,12,812,0.0,0,,201,100
3,21,821,0.0,0,,200,100
4,27,827,0.0,0,,199,100
5,32,832,0.0,0,,199,100
6,35,835,0.0,0,,200,100
7,39,839,0.0,0,,199,100
8,50,850,0.0,0,,200,100
9,53,853,0.0,0,,202,100
10,67,867,0.0,0,,201,100
11,70,870,0.0,0,,204,100
12,80,880,9.141087562329936e-06,0,,202,100
13,83,883,7.60986326145529e-06,0,,201,100
14,95,895,0.006989073725006667,1,,200,100
15,99,899,0.04134741377878083,1,,199,100
16,104,904,0.04558610888399088,1,,201,100
17,113,913,0.1902774422482574,1,,201,100
18,122,922,0.20515334400150728,1,,199,100
19,125,925,0.23463185361957653,1,,199,100
20,135,935,0.23673147502711406,1,,198,100
21,139,939,0.23267939391791637,1,,199,100
22,147,947,0.22527467468012918,1,,198,100
23,150,950,0.23454748309240805,1,,199,100
24,158,958,0.22359192272507747,1,,198,100
25,161,961,0.2044526017733026,1,,197,100
26,164,964,0.2270416321652177,1,,199,100
27,168,968,0.20851089981730156,1,,199,100
28,175,975,0.13658029095702146,1,,199,100
29,178,978,0.14133459768847365,1,,200,100
30,182,982,0.12542093876995583,1,,199,100
31,188,988,0.14247823793581008,1,,199,100
32,191,991,0.17834276421291848,1,,199,100
33,195,995,0.20283373992116596,1,,199,100
34,202,1002,0.25633546378544636,1,,201,100
35,212,1012,0.27068014252408834,1,,199,100
36,215,1015,0.25157145610727744,1,,200,100
37,225,1025,0.2306411361885314,1,,199,100
38,229,1029,0.23799293560508789,1,,199,100
39,232,1032,0.2764134815594573,1,,199,100
40,241,1041,0.2308985806758308,1,,199,100
41,245,1045,0.19398191315934166,1,,200,100
42,256,1056,0.11717876961331603,1,,201,100
43,260,1060,0.09126402239148196,1,,200,100
44,262,1062,0.16986328463371902,1,,199,100
45,270,1070,0.5092602067044282,1,,200,100
46,273,1073,0.45365882852636663,1,,199,100
47,287,1087,0.8555515569160731,1,,197,100
48,297,1097,0.7640322091098314,1,,198,100
49,300,1100,0.7745260481508272,1,,196,100
50,302,1102,0.7804101179380749,1,,196,100
51,307,1107,0.7752683267698764,1,,197,100
52,317,1117,0.7645059065284044,1,,197,100
53,326,1126,0.774489098697511,1,,195,100
54,332,1132,0.781199442581347,1,,196,100
55,342,1142,0.7613976719183987,1,,197,100
56,345,1145,0.7554883964868953,1,,197,100
57,349,1149,0.7766146408769935,1,,197,100
58,358,1158,0.7421472963793857,1,,197,100
59,361,1161,0.7636009169848735,1,,198,100
60,363,1163,0.7255377169536122,1,,197,100
61,368,1168,0.786608932287378,1,,198,100
62,375,1175,0.7450263595458038,1,,198,100
63,379,1179,0.7766278265926823,1,,199,100
64,385,1185,0.7243266538896553,1,,200,100
65,388,1188,0.7419832388694805,1,,200,100
66,392,1192,0.7790140649557958,1,,200,100
67,399,1199,0.7740504488719037,1,,199,100
68,402,1202,0.7874047825370588,1,,198,100
69,407,1207,0.7898457423578035,1,,199,100
70,411,1211,0.7016681494163132,1,,199,100
