window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.46617324008497324,1,,183,100
1,3,803,0.4163973568623848,1,,184,100
2,13,813,0.5236758583224767,1,,183,100
3,18,818,0.5873798791159958,1,,181,100
4,21,821,0.5742157894794437,1,,178,100
5,27,827,0.0056345691351582135,1,,174,100
6,31,831,0.0037570716049265527,1,,174,100
7,41,841,0.0031691696948134927,1,,172,100
8,53,853,0.002052743325292609,1,,174,100
9,56,856,0.0017733460437932974,1,,172,100
10,60,860,0.0030092657677855115,1,,173,100
11,69,869,0.003402030920000495,1,,175,100
12,76,876,0.004712157978575771,1,,174,100
13,83,883,0.0034289198321485626,1,,173,100
14,86,886,0.004470586379371165,1,,172,100
15,95,895,0.003932031626537818,1,,173,100
16,100,900,0.0029106079130349354,1,,172,100
17,103,903,0.0020594084635706055,1,,172,100
18,107,907,0.002277304096793882,1,,173,100
19,114,914,0.0027262019368972483,1,,172,100
20,117,917,0.00198192808634531,1,,172,100
21,123,923,0.0034232636625618385,1,,173,100
22,131,931,0.002576311557788301,1,,173,100
23,134,934,0.0014687133556105575,1,,174,100
24,142,942,0.0026043993167342455,1,,174,100
25,152,952,0.0019316813366541594,1,,175,100
26,156,956,0.003867031995476071,1,,174,100
27,160,960,0.0031834949625452937,1,,175,100
28,167,967,0.003470742394210588,1,,175,100
29,170,970,0.004802919140901919,1,,176,100
30,179,979,0.003237201307564001,1,,177,100
31,183,983,0.0036377058622496876,1,,177,100
32,193,993,0.004477272545698083,1,,178,100
33,199,999,0.004647915104720278,1,,177,100
34,205,1005,0.002855301659973233,1,,178,100
35,210,1010,0.003742420079452825,1,,178,100
36,220,1020,0.0050069523404644755,1,,180,100
37,225,1025,0.0031377643770197803,1,,178,100
38,230,1030,0.0038534525308926604,1,,179,100
39,239,1039,0.0034865736290731245,1,,177,100
40,243,1043,0.002207135815473359,1,,177,100
41,246,1046,0.003550399359387286,1,,177,100
42,253,1053,0.0026985412986454504,1,,177,100
43,259,1059,0.0026899710193899425,1,,176,100
44,263,1063,0.00474235367100784,1,,177,100
45,270,1070,0.008375676780753264,1,,176,100
46,273,1073,0.011876941093511173,1,,176,100
47,277,1077,0.011919675698796582,1,,177,100
48,284,1084,0.2638803553099664,1,,175,100
49,288,1088,0.2983433392465749,1,,177,100
50,297,1097,0.2819776078918232,1,,178,100
51,301,1101,0.21532018400754158,1,,178,100
52,307,1107,0.2331922558879405,1,,177,100
53,315,1115,0.23175924185851035,1,,178,100
54,318,1118,0.25103670125201943,1,,178,100
55,324,1124,0.25345922901234935,1,,178,100
56,328,1128,0.1899154853764144,1,,178,100
57,333,1133,0.18986837797360015,1,,176,100
58,336,1136,0.17737219709366528,1,,177,100
59,343,1143,0.20239663018248036,1,,176,100
60,347,1147,0.17033238745780585,1,,176,100
61,350,1150,0.14889442997503266,1,,177,100
62,359,1159,0.09143511670524665,1,,176,100
63,363,1163,0.1390302213877877,1,,177,100
64,371,1171,0.12750734361715346,1,,178,100
65,377,1177,0.16017944467975512,1,,177,100
66,379,1179,0.15531256994812512,1,,178,100
67,386,1186,0.1620329455138343,1,,177,100
68,394,1194,0.1364150008167977,1,,178,100
69,397,1197,0.09875712290222283,1,,178,100
70,401,1201,0.1429312201509371,1,,179,100
71,410,1210,0.11403660504069062,1,,177,100
72,413,1213,0.10509195883700927,1,,178,100
73,421,1221,0.14305939030642645,1,,179,100
74,430,1230,0.09273714820906333,1,,176,100
75,435,1235,0.09534133271060992,1,,176,100
76,440,1240,0.1314339392126426,1,,176,100
77,447,1247,0.1607806315640404,1,,177,100
78,455,1255,0.07150914080651265,1,,177,100
79,459,1259,0.07538762056595759,1,,178,100
80,466,1266,0.06444779968018823,1,,177,100
81,472,1272,0.05815934956940403,1,,178,100
82,478,1278,0.045158381422462916,1,,178,100
83,483,1283,0.10574239548431366,1,,177,100
84,486,1286,0.05430977610411469,1,,177,100
85,490,1290,0.08399815930152427,1,,176,100
86,502,1302,0.0177950235446539,1,,174,100
87,505,1305,0.04467632182746725,1,,174,100
