window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.15248527195286005,1,,220,100
1,4,804,0.3557201631383621,1,,216,100
2,7,807,0.3760022574355926,1,,216,100
3,11,811,0.38671602121510423,1,,217,100
4,21,821,0.3830999815067896,1,,219,100
5,25,825,0.3574367130933205,1,,218,100
6,33,833,0.4173068668532431,1,,219,100
7,37,837,0.3496179738388521,1,,220,100
8,44,844,0.391707998607272,1,,222,100
9,48,848,0.43800408534896473,1,,224,100
10,52,852,0.38396810606698817,1,,225,100
11,60,860,0.43261067794787994,1,,222,100
12,64,864,0.1270814650088751,1,,220,100
13,68,868,0.022488824611488222,1,,220,100
14,72,872,0.02001798640116658,1,,221,100
15,78,878,0.024612782521491752,1,,220,100
16,82,882,0.03628275256471196,1,,220,100
17,90,890,0.03105634663059793,1,,220,100
18,96,896,0.05384572096872437,1,,220,100
19,100,900,0.05214090228508738,1,,220,100
20,106,906,0.056102183881470966,1,,218,100
21,110,910,0.0477979238916606,1,,218,100
22,119,919,0.05250035384525828,1,,219,100
23,123,923,0.05627966767409009,1,,220,100
24,128,928,0.06832522086815576,1,,217,100
25,132,932,0.047199028910527706,1,,218,100
26,137,937,0.01658633492600275,1,,218,100
27,140,940,0.010068024631641775,1,,218,100
28,144,944,0.02342213525290795,1,,218,100
29,150,950,0.004057253746219021,1,,217,100
30,154,954,0.007806682807332501,1,,217,100
31,158,958,0.008135196019146952,1,,218,100
32,165,965,0.016069067146357856,1,,218,100
33,168,968,0.019283375326157717,1,,218,100
34,172,972,0.022643600286706814,1,,219,100
35,178,978,0.0312976088831421,1,,224,100
36,183,983,0.170893470347226,1,,224,100
37,187,987,0.15671050106872655,1,,224,100
38,192,992,0.16944112070575196,1,,224,100
39,195,995,0.15987192783882886,1,,224,100
40,199,999,0.16003317753886354,1,,223,100
41,208,1008,0.14525662603248504,1,,220,100
42,212,1012,0.1214596683572108,1,,218,100
43,216,1016,0.12195091903628816,1,,218,100
44,220,1020,0.10261480986764224,1,,219,100
45,226,1026,0.10936662043428931,1,,218,100
46,230,1030,0.12926863973572061,1,,217,100
47,236,1036,0.1199484839195741,1,,217,100
48,239,1039,0.10160839508323266,1,,216,100
49,246,1046,0.09658023855097633,1,,216,100
50,250,1050,0.29317717729010945,1,,216,100
51,256,1056,0.3242447200621192,1,,216,100
52,260,1060,0.3036853772395073,1,,215,100
53,268,1068,0.13739804567570393,1,,213,100
54,272,1072,0.25915566455837213,1,,213,100
55,276,1076,0.2704311547724054,1,,213,100
56,280,1080,0.19424350229490006,1,,214,100
57,284,1084,0.05710016474033968,1,,213,100
58,288,1088,0.042930852078598154,1,,212,100
59,295,1095,0.03522636815743377,1,,212,100
60,300,1100,0.035083143405305835,1,,212,100
61,303,1103,0.03744251274922461,1,,214,100
62,307,1107,0.022666820037254662,1,,217,100
63,313,1113,0.00752902054415743,1,,217,100
64,317,1117,0.009005009493751878,1,,217,100
65,321,1121,0.045545091225347945,1,,218,100
66,329,1129,0.03937625637620112,1,,218,100
67,333,1133,0.025107250576986605,1,,218,100
68,339,1139,0.00391779310149585,1,,218,100
69,344,1144,0.0032669846898660464,1,,217,100
70,348,1148,0.0023541026350001135,1,,218,100
71,359,1159,0.0001654985136449105,0,,216,100
72,363,1163,0.0031257314063085416,1,,214,100
73,367,1167,0.0034504778617146944,1,,215,100
74,371,1171,0.0033326252117881236,1,,214,100
75,378,1178,0.0035032714582151486,1,,216,100
76,382,1182,0.004107571270112969,1,,216,100
77,388,1188,0.0033568174379143756,1,,217,100
78,393,1193,0.002400593191949294,1,,216,100
79,397,1197,0.0034899528765858978,1,,215,100
80,401,1201,0.0031027085237623595,1,,217,100
81,410,1210,0.006403550782964639,1,,216,100
82,413,1213,0.011328161494530285,1,,216,100
83,420,1220,0.008438317488271818,1,,217,100
84,427,1227,0.013775281887450763,1,,214,100
85,431,1231,0.014283455653873367,1,,215,100
86,435,1235,0.01084084138358088,1,,216,100
87,443,1243,0.009622569713011033,1,,216,100
88,447,1247,0.01634049638410295,1,,217,100
89,451,1251,0.009719113356103917,1,,218,100
90,459,1259,0.01926156469910056,1,,218,100
91,464,1264,0.018906124643831082,1,,218,100
92,468,1268,0.014375345163096633,1,,217,100
93,474,1274,0.014607188598824527,1,,219,100
94,480,1280,0.2160422353542858,1,,216,100
95,484,1284,0.2959834109714021,1,,215,100
96,488,1288,0.2538457191680005,1,,218,100
97,492,1292,0.26868916820934075,1,,221,100
98,498,1298,0.15085372139730888,1,,219,100
99,502,1302,0.23336436778722106,1,,219,100
100,508,1308,0.20813953303469318,1,,219,100
101,511,1311,0.2239246504352842,1,,219,100
102,513,1313,0.2008220858848087,1,,219,100
103,523,1323,0.19029325079857207,1,,217,100
104,526,1326,0.18163823404211232,1,,218,100
105,530,1330,0.19621348404328157,1,,219,100
106,536,1336,0.21397751980332633,1,,219,100
107,539,1339,0.2218423566902085,1,,219,100
108,543,1343,0.2559002470119264,1,,219,100
109,551,1351,0.23731453053019308,1,,217,100
110,555,1355,0.23880481158856548,1,,217,100
111,559,1359,0.2626902127297206,1,,218,100
112,562,1362,0.2558861838133146,1,,218,100
113,569,1369,0.26581460676394775,1,,219,100
114,573,1373,0.22002269897330187,1,,220,100
115,580,1380,0.16563234676671068,1,,220,100
116,585,1385,0.23964856702534304,1,,219,100
117,589,1389,0.18067728960070803,1,,220,100
118,598,1398,0.12853677545225536,1,,218,100
119,602,1402,0.08098524766081451,1,,215,100
120,606,1406,0.16243388319820365,1,,215,100
121,610,1410,0.22055464918672296,1,,215,100
122,615,1415,0.2822038451091882,1,,215,100
123,619,1419,0.2603520057581635,1,,216,100
124,630,1430,0.2625784339360214,1,,216,100
125,634,1434,0.24509825017334932,1,,216,100
126,642,1442,0.21381110972370698,1,,217,100
127,646,1446,0.22510381373491395,1,,218,100
128,653,1453,0.21278992773279415,1,,218,100
129,659,1459,0.26079977615279276,1,,218,100
130,664,1464,0.2819979304828137,1,,217,100
131,670,1470,0.20803856956142133,1,,222,100
132,674,1474,0.2125970512162847,1,,224,100
133,684,1484,0.10793105580438972,1,,223,100
134,689,1489,0.12660755693043915,1,,223,100
135,693,1493,0.1893815114937793,1,,224,100
136,700,1500,0.2015144804100524,1,,224,100
137,706,1506,0.2096901706763833,1,,223,100
138,711,1511,0.17448910288678102,1,,224,100
139,717,1517,0.21631678532954732,1,,224,100
140,721,1521,0.18335821009654166,1,,224,100
141,732,1532,0.36264418460201875,1,,227,100
142,736,1536,0.441449545576639,1,,227,100
143,739,1539,0.46520562209955807,1,,227,100
144,743,1543,0.45465900434478657,1,,227,100
145,748,1548,0.159691637821392,1,,225,100
146,752,1552,0.2984556847740465,1,,222,100
147,756,1556,0.2749778526678407,1,,222,100
148,760,1560,0.17334645289970738,1,,222,100
149,767,1567,0.16701518794647943,1,,223,100
