window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.6873029348130402,1,,190,100
1,5,805,0.5117644654226549,1,,190,100
2,11,811,0.4520114940902797,1,,190,100
3,15,815,0.4702139238580098,1,,189,100
4,21,821,0.4396068657689639,1,,190,100
5,27,827,0.4366703743355038,1,,190,100
6,31,831,0.4574033313215373,1,,190,100
7,35,835,0.44255994992825054,1,,189,100
8,43,843,0.38016233901464036,1,,191,100
9,51,851,0.4099808444523824,1,,193,100
10,57,857,0.444370015846841,1,,191,100
11,60,860,0.43943595577411443,1,,190,100
12,65,865,0.4348527575101839,1,,191,100
13,76,876,0.41689494041909914,1,,191,100
14,78,878,0.4771451771553898,1,,190,100
15,82,882,0.5052787070790747,1,,192,100
16,90,890,0.4966069657207781,1,,191,100
17,100,900,0.3284239211793893,1,,192,100
18,103,903,0.365791057001941,1,,194,100
19,112,912,0.24874753920901674,1,,191,100
20,116,916,0.23967391857623974,1,,193,100
21,126,926,0.41512618674979074,1,,194,100
22,129,929,0.36870198065179827,1,,192,100
23,133,933,0.4410482604559023,1,,192,100
24,145,945,0.4521864053463716,1,,194,100
25,150,950,0.5205490372732043,1,,194,100
26,154,954,0.5103102059140108,1,,194,100
27,158,958,0.5301670932458897,1,,194,100
28,162,962,0.5620355544239196,1,,194,100
29,170,970,0.4042942682770441,1,,194,100
30,178,978,0.07513207223796245,1,,192,100
31,182,982,0.03912958773630708,1,,191,100
32,185,985,0.05900141035102272,1,,191,100
33,189,989,0.05995809412041373,1,,191,100
34,197,997,0.06510388112182716,1,,191,100
35,200,1000,0.05963737039898433,1,,191,100
36,202,1002,0.0769636566563527,1,,192,100
37,208,1008,0.08939372503605857,1,,193,100
38,214,1014,0.07602683642055501,1,,192,100
39,219,1019,0.0926031267871431,1,,191,100
40,227,1027,0.10560841166083225,1,,193,100
41,235,1035,0.09192423245868404,1,,193,100
42,240,1040,0.09155086191360669,1,,194,100
43,248,1048,0.08276042501990266,1,,193,100
44,251,1051,0.08847384973023897,1,,193,100
45,255,1055,0.02484533964830353,1,,194,100
46,262,1062,0.023441446400227196,1,,193,100
47,265,1065,0.022186635594196855,1,,192,100
48,275,1075,0.0400931249417905,1,,193,100
49,279,1079,0.011886389329647253,1,,192,100
50,282,1082,0.01335995740370166,1,,194,100
51,293,1093,0.019796989137282336,1,,190,100
52,297,1097,0.01413545877864526,1,,191,100
53,302,1102,0.01819166860942055,1,,192,100
54,310,1110,0.026545366705401058,1,,190,100
55,313,1113,0.030063148112386633,1,,190,100
56,317,1117,0.034500186646785634,1,,190,100
57,321,1121,0.01611867051078348,1,,190,100
58,324,1124,0.009712068021081113,1,,190,100
59,326,1126,0.018958380393872435,1,,190,100
60,332,1132,0.023850964838941696,1,,190,100
61,345,1145,0.054975639934053744,1,,188,100
62,348,1148,0.03377061352996444,1,,188,100
63,353,1153,0.014689913750914095,1,,188,100
64,358,1158,0.003038103833997677,1,,187,100
65,361,1161,0.011433732698908725,1,,187,100
66,366,1166,0.00906031998437003,1,,186,100
67,371,1171,0.08499313249757218,1,,187,100
68,374,1174,0.08545236134730495,1,,187,100
69,383,1183,0.11940684529509119,1,,186,100
70,385,1185,0.11123959463083419,1,,187,100
71,393,1193,0.7234956193074007,1,,186,100
72,396,1196,0.6870536774838639,1,,186,100
73,401,1201,0.6682180271209971,1,,186,100
74,408,1208,0.6334095114722386,1,,184,100
75,411,1211,0.6335463947842854,1,,184,100
76,413,1213,0.6789213273509616,1,,184,100
77,419,1219,0.680697466107265,1,,186,100
78,427,1227,0.6862076549271343,1,,186,100
79,433,1233,0.6657120979567036,1,,186,100
80,437,1237,0.6652601321869763,1,,187,100
81,443,1243,0.6014666485297121,1,,186,100
82,447,1247,0.7109401356072267,1,,186,100
83,452,1252,0.6997312223964057,1,,187,100
84,457,1257,0.7187981496571672,1,,186,100
85,463,1263,0.7435764464688094,1,,187,100
86,469,1269,0.7543091634049512,1,,186,100
87,474,1274,0.7550918536327901,1,,185,100
88,479,1279,0.7665180763923188,1,,186,100
89,486,1286,0.7360150011021497,1,,187,100
90,492,1292,0.6688711353420792,1,,186,100
91,498,1298,0.5289873819083356,1,,187,100
92,501,1301,0.6341870999843168,1,,187,100
93,504,1304,0.605862798176757,1,,187,100
94,515,1315,0.4496884776919755,1,,189,100
95,523,1323,0.42335251883983505,1,,189,100
96,527,1327,0.49080628233013296,1,,189,100
97,534,1334,0.5308886008087007,1,,189,100
98,539,1339,0.5851995010363462,1,,190,100
99,542,1342,0.5866208124866468,1,,190,100
100,549,1349,0.6307898697836888,1,,190,100
101,552,1352,0.6225437209811135,1,,189,100
102,559,1359,0.7234497163378619,1,,187,100
103,564,1364,0.5790605701930948,1,,186,100
104,567,1367,0.5150175043686689,1,,186,100
105,569,1369,0.5240156854778749,1,,187,100
106,576,1376,0.47019772758125317,1,,186,100
107,583,1383,0.4692355156453756,1,,185,100
108,586,1386,0.5573534323657452,1,,185,100
109,590,1390,0.6532995113829598,1,,184,100
